version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Australia
info,gender,male
info,season,2024
info,date,2024/06/11
info,event,ICC Men's T20 World Cup
info,match_number,24
info,venue,"Sir Vivian Richards Stadium, North Sound, Antigua"
info,city,North Sound
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,A Zampa
info,umpire,Nitin Menon
info,umpire,Rashid Riaz
info,reserve_umpire,A Paleker
info,tv_umpire,L Rusere
info,match_referee,J Srinath
info,winner,Australia
info,winner_wickets,9
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,ZE Green
info,player,Namibia,D Wiese
info,player,Namibia,R Trumpelmann
info,player,Namibia,BM Scholtz
info,player,Namibia,JT Brassell
info,player,Namibia,B Shikongo
info,player,Australia,DA Warner
info,player,Australia,TM Head
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,PJ Cummins
info,player,Australia,NT Ellis
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,registry,people,A Paleker,634b11ac
info,registry,people,A Zampa,14f96089
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DA Warner,dcce6f09
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Srinath,bad31fac
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,JT Brassell,537021f5
info,registry,people,L Rusere,6a4734ae
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,N Davin,72e361fe
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,ZE Green,8716233e
ball,1,0.1,Namibia,M van Lingen,N Davin,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.2,Namibia,M van Lingen,N Davin,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.3,Namibia,M van Lingen,N Davin,JR Hazlewood,0,2,2,,,,,"",""
ball,1,0.4,Namibia,N Davin,M van Lingen,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.5,Namibia,N Davin,M van Lingen,JR Hazlewood,1,0,,,,,,"",""
ball,1,0.6,Namibia,M van Lingen,N Davin,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.7,Namibia,M van Lingen,N Davin,JR Hazlewood,4,0,,,,,,"",""
ball,1,1.1,Namibia,N Davin,M van Lingen,MP Stoinis,0,0,,,,,,"",""
ball,1,1.2,Namibia,N Davin,M van Lingen,MP Stoinis,1,0,,,,,,"",""
ball,1,1.3,Namibia,M van Lingen,N Davin,MP Stoinis,0,0,,,,,,"",""
ball,1,1.4,Namibia,M van Lingen,N Davin,MP Stoinis,0,0,,,,,,"",""
ball,1,1.5,Namibia,M van Lingen,N Davin,MP Stoinis,4,0,,,,,,"",""
ball,1,1.6,Namibia,M van Lingen,N Davin,MP Stoinis,1,0,,,,,,"",""
ball,1,2.1,Namibia,M van Lingen,N Davin,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.2,Namibia,N Davin,M van Lingen,JR Hazlewood,0,0,,,,,,"",""
ball,1,2.3,Namibia,N Davin,M van Lingen,JR Hazlewood,0,0,,,,,,"",""
ball,1,2.4,Namibia,N Davin,M van Lingen,JR Hazlewood,0,0,,,,,,caught,N Davin
ball,1,2.5,Namibia,JN Frylinck,M van Lingen,JR Hazlewood,0,0,,,,,,"",""
ball,1,2.6,Namibia,JN Frylinck,M van Lingen,JR Hazlewood,1,0,,,,,,"",""
ball,1,3.1,Namibia,JN Frylinck,M van Lingen,PJ Cummins,0,0,,,,,,"",""
ball,1,3.2,Namibia,JN Frylinck,M van Lingen,PJ Cummins,0,0,,,,,,"",""
ball,1,3.3,Namibia,JN Frylinck,M van Lingen,PJ Cummins,0,0,,,,,,"",""
ball,1,3.4,Namibia,JN Frylinck,M van Lingen,PJ Cummins,0,0,,,,,,caught,JN Frylinck
