version,1.7.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,United Arab Emirates
info,gender,male
info,season,2024/25
info,date,2024/12/19
info,event,Gulf T20I Championship
info,match_number,13
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Usman Najeeb
info,umpire,G Pillai
info,umpire,Mohammad Nasim
info,reserve_umpire,Zahid Usman
info,tv_umpire,Asim Mehmood
info,match_referee,Iftikhar Ali
info,winner,Saudi Arabia
info,winner_runs,11
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Choudhry Md Imran
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Nawazish Akhtar
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,S Sankar
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Nilansh Keswani
info,player,United Arab Emirates,SS Kang
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ahmad Raza,6bfa638b
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,Asim Mehmood,4109cbec
info,registry,people,Choudhry Md Imran,d92d4f5e
info,registry,people,D Parashar,395179e8
info,registry,people,Faisal Khan,a7553f15
info,registry,people,G Pillai,c363921c
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Nawazish Akhtar,7503149b
info,registry,people,Nilansh Keswani,424a7994
info,registry,people,R Chopra,a71d0f89
info,registry,people,S Sankar,69997d9d
info,registry,people,SS Kang,797ee165
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahid Usman,5ee3b5bd
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,1,0,,,,,,"",""
ball,1,0.2,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,1,0,,,,,,"",""
ball,1,0.3,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,0,1,1,,,,,"",""
ball,1,0.4,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.5,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.6,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,1,0,,,,,,"",""
ball,1,0.7,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,4,0,,,,,,"",""
ball,1,1.1,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,1,0,,,,,,"",""
ball,1,1.2,Saudi Arabia,Faisal Khan,Usman Khalid,D Parashar,0,0,,,,,,"",""
ball,1,1.3,Saudi Arabia,Faisal Khan,Usman Khalid,D Parashar,0,0,,,,,,"",""
ball,1,1.4,Saudi Arabia,Faisal Khan,Usman Khalid,D Parashar,1,0,,,,,,"",""
ball,1,1.5,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,4,0,,,,,,"",""
ball,1,1.6,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,0,0,,,,,,"",""
ball,1,2.1,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,6,0,,,,,,"",""
ball,1,2.2,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.3,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,6,0,,,,,,"",""
ball,1,2.4,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,4,0,,,,,,"",""
ball,1,2.5,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,0,1,1,,,,,"",""
ball,1,2.6,Saudi Arabia,Faisal Khan,Usman Khalid,Junaid Siddique,1,0,,,,,,"",""
ball,1,2.7,Saudi Arabia,Usman Khalid,Faisal Khan,Junaid Siddique,1,0,,,,,,"",""
ball,1,3.1,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,0,0,,,,,,"",""
ball,1,3.2,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,0,0,,,,,,"",""
ball,1,3.3,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,2,0,,,,,,"",""
ball,1,3.4,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,0,0,,,,,,"",""
ball,1,3.5,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,4,0,,,,,,"",""
ball,1,3.6,Saudi Arabia,Usman Khalid,Faisal Khan,D Parashar,1,0,,,,,,"",""
ball,1,4.1,Saudi Arabia,Usman Khalid,Faisal Khan,Muhammad Jawadullah,6,0,,,,,,"",""
ball,1,4.2,Saudi Arabia,Usman Khalid,Faisal Khan,Muhammad Jawadullah,4,0,,,,,,"",""
ball,1,4.3,Saudi Arabia,Usman Khalid,Faisal Khan,Muhammad Jawadullah,0,0,,,,,,"",""
ball,1,4.4,Saudi Arabia,Usman Khalid,Faisal Khan,Muhammad Jawadullah,4,0,,,,,,"",""
ball,1,4.5,Saudi Arabia,Usman Khalid,Faisal Khan,Muhammad Jawadullah,1,0,,,,,,"",""
ball,1,4.6,Saudi Arabia,Faisal Khan,Usman Khalid,Muhammad Jawadullah,0,1,1,,,,,"",""
ball,1,4.7,Saudi Arabia,Faisal Khan,Usman Khalid,Muhammad Jawadullah,3,0,,,,,,"",""
ball,1,5.1,Saudi Arabia,Faisal Khan,Usman Khalid,SS Kang,0,0,,,,,,"",""
ball,1,5.2,Saudi Arabia,Faisal Khan,Usman Khalid,SS Kang,0,0,,,,,,"",""
ball,1,5.3,Saudi Arabia,Faisal Khan,Usman Khalid,SS Kang,0,0,,,,,,"",""
ball,1,5.4,Saudi Arabia,Faisal Khan,Usman Khalid,SS Kang,0,0,,,,,,bowled,Faisal Khan
ball,1,5.5,Saudi Arabia,Abdul Waheed,Usman Khalid,SS Kang,1,0,,,,,,"",""
ball,1,5.6,Saudi Arabia,Usman Khalid,Abdul Waheed,SS Kang,1,0,,,,,,"",""
