version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Kuwait
info,gender,female
info,season,2023/24
info,date,2024/02/04
info,event,Kuwait Women tour of Malaysia
info,match_number,1
info,venue,Johor Cricket Academy Oval
info,city,Johor
info,toss_winner,Kuwait
info,toss_decision,field
info,umpire,D Sevakumaran
info,umpire,Izmir Azraf
info,winner,Malaysia
info,winner_runs,26
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Wan Julia
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Mas Elysa
info,player,Malaysia,J Intan
info,player,Malaysia,Aina Najwa
info,player,Malaysia,SM Dhanusri
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nik Nur Atiela
info,player,Malaysia,Nur Dania Syuhada
info,player,Kuwait,Priyada Murali
info,player,Kuwait,B Shanti
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,Amna Tariq
info,player,Kuwait,S Lita D'Sa
info,player,Kuwait,SL Gomez
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Maryyam Ashraf
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,GR Menes
info,player,Kuwait,Madeeha Zuberi
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,GR Menes,50b2f0a8
info,registry,people,Izmir Azraf,43c90923
info,registry,people,J Intan,2dfdd316
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,Madeeha Zuberi,c86675a9
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryyam Ashraf,1b9d3eb3
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SL Gomez,02264be0
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
ball,1,0.1,Malaysia,Ainna Hamizah Hashim,Wan Julia,Mariamma Hyder,1,0,,,,,,"",""
ball,1,0.2,Malaysia,Wan Julia,Ainna Hamizah Hashim,Mariamma Hyder,1,0,,,,,,"",""
ball,1,0.3,Malaysia,Ainna Hamizah Hashim,Wan Julia,Mariamma Hyder,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Ainna Hamizah Hashim,Wan Julia,Mariamma Hyder,4,0,,,,,,"",""
ball,1,0.5,Malaysia,Ainna Hamizah Hashim,Wan Julia,Mariamma Hyder,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Ainna Hamizah Hashim,Wan Julia,Mariamma Hyder,2,0,,,,,,"",""
ball,1,1.1,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,1,1,,,,,"",""
ball,1,1.2,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,2,0,,,,,,"",""
ball,1,1.3,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,1,1,,,,,"",""
ball,1,1.4,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,1,0,,,,,,"",""
ball,1,1.7,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,1,1,,,,,"",""
ball,1,1.8,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,1,1,,,,,"",""
ball,1,1.9,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,0,,,,,,"",""
ball,1,1.10,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,2,0,,,,,,"",""
ball,1,2.2,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,0,1,1,,,,,"",""
ball,1,2.3,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,2,0,,,,,,"",""
ball,1,2.4,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Wan Julia,Ainna Hamizah Hashim,Madeeha Zuberi,3,0,,,,,,"",""
ball,1,2.7,Malaysia,Ainna Hamizah Hashim,Wan Julia,Madeeha Zuberi,1,0,,,,,,"",""
ball,1,3.1,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,2,0,,,,,,"",""
ball,1,3.2,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,0,,,,,,"",""
ball,1,3.3,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Ainna Hamizah Hashim,Wan Julia,Maria Jasvi,1,0,,,,,,"",""
ball,1,3.5,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,0,,,,,,"",""
ball,1,3.6,Malaysia,Wan Julia,Ainna Hamizah Hashim,Maria Jasvi,0,0,,,,,,"",""
ball,1,4.1,Malaysia,Ainna Hamizah Hashim,Wan Julia,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,4.2,Malaysia,Ainna Hamizah Hashim,Wan Julia,Madeeha Zuberi,0,0,,,,,,bowled,Ainna Hamizah Hashim
ball,1,4.3,Malaysia,WA Duraisingam,Wan Julia,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,4.4,Malaysia,WA Duraisingam,Wan Julia,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,4.5,Malaysia,WA Duraisingam,Wan Julia,Madeeha Zuberi,0,0,,,,,,"",""
ball,1,4.6,Malaysia,WA Duraisingam,Wan Julia,Madeeha Zuberi,1,0,,,,,,"",""
ball,1,5.1,Malaysia,WA Duraisingam,Wan Julia,Priyada Murali,1,0,,,,,,"",""
ball,1,5.2,Malaysia,Wan Julia,WA Duraisingam,Priyada Murali,1,0,,,,,,"",""
ball,1,5.3,Malaysia,WA Duraisingam,Wan Julia,Priyada Murali,1,0,,,,,,"",""
ball,1,5.4,Malaysia,Wan Julia,WA Duraisingam,Priyada Murali,1,0,,,,,,"",""
ball,1,5.5,Malaysia,WA Duraisingam,Wan Julia,Priyada Murali,0,0,,,,,,"",""
ball,1,5.6,Malaysia,WA Duraisingam,Wan Julia,Priyada Murali,2,0,,,,,,"",""
