version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2023/10/19
info,event,Nepal Tri-Nation T20I Series
info,match_number,2
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Karan KC
info,umpire,Sanjay Gurung
info,umpire,VK Jha
info,reserve_umpire,DN Subedi
info,match_referee,Muhammad Javed
info,winner,Nepal
info,winner_wickets,6
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,A Gorawara
info,player,Hong Kong,Haroon Arshad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Kushal Malla
info,player,Nepal,S Jora
info,player,Nepal,RK Paudel
info,player,Nepal,Gulsan Jha
info,player,Nepal,Sompal Kami
info,player,Nepal,Karan KC
info,player,Nepal,DS Airee
info,player,Nepal,SM Dhakal
info,player,Nepal,A Bohara
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Gorawara,c6b11959
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Haroon Arshad,be0f9ce9
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,M Coetzee,3f149080
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,SM Dhakal,9db1b072
info,registry,people,Sanjay Gurung,0ef792dc
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,VK Jha,5d46eb72
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,bowled,Nizakat Khan
ball,1,0.2,Hong Kong,Babar Hayat,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,0.3,Hong Kong,Anshuman Rath,Babar Hayat,Karan KC,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,Anshuman Rath,Babar Hayat,Karan KC,2,0,,,,,,"",""
ball,1,0.5,Hong Kong,Anshuman Rath,Babar Hayat,Karan KC,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,Anshuman Rath,Babar Hayat,Karan KC,4,0,,,,,,"",""
ball,1,1.1,Hong Kong,Babar Hayat,Anshuman Rath,Sompal Kami,1,0,,,,,,"",""
ball,1,1.2,Hong Kong,Anshuman Rath,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,1.3,Hong Kong,Anshuman Rath,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,1.4,Hong Kong,Anshuman Rath,Babar Hayat,Sompal Kami,1,0,,,,,,"",""
ball,1,1.5,Hong Kong,Babar Hayat,Anshuman Rath,Sompal Kami,1,0,,,,,,"",""
ball,1,1.6,Hong Kong,Anshuman Rath,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,Babar Hayat,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,2.2,Hong Kong,Babar Hayat,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,2.3,Hong Kong,Anshuman Rath,Babar Hayat,Karan KC,0,0,,,,,,caught,Anshuman Rath
ball,1,2.4,Hong Kong,M Coetzee,Babar Hayat,Karan KC,0,0,,,,,,"",""
ball,1,2.5,Hong Kong,M Coetzee,Babar Hayat,Karan KC,0,0,,,,,,"",""
ball,1,2.6,Hong Kong,M Coetzee,Babar Hayat,Karan KC,1,0,,,,,,"",""
ball,1,3.1,Hong Kong,M Coetzee,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,3.2,Hong Kong,M Coetzee,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,3.3,Hong Kong,M Coetzee,Babar Hayat,Sompal Kami,0,0,,,,,,"",""
ball,1,3.4,Hong Kong,M Coetzee,Babar Hayat,Sompal Kami,1,0,,,,,,"",""
ball,1,3.5,Hong Kong,Babar Hayat,M Coetzee,Sompal Kami,1,0,,,,,,"",""
ball,1,3.6,Hong Kong,M Coetzee,Babar Hayat,Sompal Kami,0,0,,,,,,bowled,M Coetzee
ball,1,4.1,Hong Kong,Babar Hayat,Aizaz Khan,Karan KC,0,0,,,,,,"",""
ball,1,4.2,Hong Kong,Babar Hayat,Aizaz Khan,Karan KC,0,0,,,,,,"",""
ball,1,4.3,Hong Kong,Babar Hayat,Aizaz Khan,Karan KC,0,0,,,,,,caught,Babar Hayat
ball,1,4.4,Hong Kong,Yasim Murtaza,Aizaz Khan,Karan KC,1,0,,,,,,"",""
ball,1,4.5,Hong Kong,Aizaz Khan,Yasim Murtaza,Karan KC,0,0,,,,,,"",""
ball,1,4.6,Hong Kong,Aizaz Khan,Yasim Murtaza,Karan KC,0,0,,,,,,"",""
ball,1,5.1,Hong Kong,Yasim Murtaza,Aizaz Khan,Gulsan Jha,4,0,,,,,,"",""
