version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/10/15
info,event,West Africa Trophy
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Nigeria
info,toss_decision,bat
info,player_of_match,I Danladi
info,umpire,Habib Enesi
info,umpire,Kehinde Olanbiwonnu
info,reserve_umpire,O Adekoya
info,match_referee,Tonye Timinadi
info,winner,Nigeria
info,winner_runs,17
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,D Ajekun
info,player,Nigeria,AA Onikoyi
info,player,Nigeria,JO Adedeji
info,player,Nigeria,I Danladi
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,IO Okpe
info,player,Nigeria,C Udekwe
info,player,Nigeria,Joshua Asia
info,player,Nigeria,P Aho
info,player,Nigeria,SA Okpe
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Sebareme
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,Hamza Khan
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,K Irakoze
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Rukiriza
info,player,Rwanda,Z Bimenyimana
info,registry,people,AA Onikoyi,409ce380
info,registry,people,C Udekwe,74a578d0
info,registry,people,D Ajekun,2494ff9e
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JO Adedeji,abee08c7
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Adekoya,0c8bce52
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Aho,2e392afa
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,Tonye Timinadi,5cc0fccb
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Nigeria,Sulaimon Runsewe,D Ajekun,E Sebareme,0,1,1,,,,,"",""
ball,1,0.2,Nigeria,Sulaimon Runsewe,D Ajekun,E Sebareme,2,0,,,,,,run out,D Ajekun
ball,1,0.3,Nigeria,AA Onikoyi,Sulaimon Runsewe,E Sebareme,0,0,,,,,,"",""
ball,1,0.4,Nigeria,AA Onikoyi,Sulaimon Runsewe,E Sebareme,0,0,,,,,,caught,AA Onikoyi
ball,1,0.5,Nigeria,JO Adedeji,Sulaimon Runsewe,E Sebareme,0,0,,,,,,"",""
ball,1,0.6,Nigeria,JO Adedeji,Sulaimon Runsewe,E Sebareme,0,0,,,,,,"",""
ball,1,0.7,Nigeria,JO Adedeji,Sulaimon Runsewe,E Sebareme,0,0,,,,,,"",""
ball,1,1.1,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.2,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.3,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.4,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.5,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.6,Nigeria,Sulaimon Runsewe,JO Adedeji,Muhammad Nadir,0,0,,,,,,"",""
ball,1,2.1,Nigeria,JO Adedeji,Sulaimon Runsewe,E Sebareme,1,0,,,,,,"",""
ball,1,2.2,Nigeria,Sulaimon Runsewe,JO Adedeji,E Sebareme,0,0,,,,,,"",""
ball,1,2.3,Nigeria,Sulaimon Runsewe,JO Adedeji,E Sebareme,0,0,,,,,,"",""
ball,1,2.4,Nigeria,Sulaimon Runsewe,JO Adedeji,E Sebareme,0,0,,,,,,run out,Sulaimon Runsewe
ball,1,2.5,Nigeria,I Danladi,JO Adedeji,E Sebareme,0,0,,,,,,"",""
ball,1,2.6,Nigeria,I Danladi,JO Adedeji,E Sebareme,4,0,,,,,,"",""
ball,1,3.1,Nigeria,JO Adedeji,I Danladi,Muhammad Nadir,0,0,,,,,,"",""
ball,1,3.2,Nigeria,JO Adedeji,I Danladi,Muhammad Nadir,0,0,,,,,,"",""
