version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Australia
info,gender,female
info,season,2023/24
info,date,2024/03/31
info,event,Australia Women tour of Bangladesh
info,match_number,1
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,AJ Healy
info,umpire,Ali Arman
info,umpire,VG Rathi
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Morshed Ali Khan
info,match_referee,Akhtar Ahmad
info,winner,Australia
info,winner_wickets,10
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Sultana Khatun
info,player,Bangladesh,Shorifa Khatun
info,player,Australia,AJ Healy
info,player,Australia,BL Mooney
info,player,Australia,EA Perry
info,player,Australia,A Gardner
info,player,Australia,TM McGrath
info,player,Australia,P Litchfield
info,player,Australia,GM Harris
info,player,Australia,G Wareham
info,player,Australia,A Sutherland
info,player,Australia,S Molineux
info,player,Australia,TJ Vlaeminck
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,Ali Arman,1342d8d8
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,EA Perry,be150fc8
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,S Molineux,99e23670
info,registry,people,S Mostary,94de63bf
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorifa Khatun,36d2face
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sultana Khatun,fb0c0bcc
info,registry,people,TJ Vlaeminck,ef70a34b
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,Bangladesh,Dilara Akter,Murshida Khatun,S Molineux,0,0,,,,,,caught,Dilara Akter
ball,1,0.2,Bangladesh,S Mostary,Murshida Khatun,S Molineux,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,S Mostary,Murshida Khatun,S Molineux,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,S Mostary,Murshida Khatun,S Molineux,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,S Mostary,Murshida Khatun,S Molineux,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,S Mostary,Murshida Khatun,S Molineux,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Murshida Khatun,S Mostary,TJ Vlaeminck,1,0,,,,,,"",""
ball,1,1.2,Bangladesh,S Mostary,Murshida Khatun,TJ Vlaeminck,0,1,,1,,,,"",""
ball,1,1.3,Bangladesh,S Mostary,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,S Mostary,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,bowled,S Mostary
ball,1,1.5,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,1,0,,,,,,"",""
ball,1,2.2,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,1,0,,,,,,"",""
ball,1,2.4,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,1,0,,,,,,"",""
ball,1,2.5,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,1,0,,,,,,"",""
ball,1,3.2,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,3.4,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,3.5,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,4,0,,,,,,"",""
ball,1,3.6,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,4.1,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,2,0,,,,,,"",""
ball,1,4.2,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,0,0,,,,,,"",""
ball,1,4.3,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,1,0,,,,,,"",""
ball,1,4.4,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,0,0,,,,,,"",""
ball,1,4.5,Bangladesh,Nigar Sultana,Murshida Khatun,A Gardner,1,0,,,,,,"",""
ball,1,4.6,Bangladesh,Murshida Khatun,Nigar Sultana,A Gardner,1,0,,,,,,"",""
ball,1,5.1,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,1,0,,,,,,"",""
ball,1,5.2,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,1,1,,,,,"",""
ball,1,5.3,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,0,5,5,,,,,"",""
ball,1,5.4,Bangladesh,Nigar Sultana,Murshida Khatun,TJ Vlaeminck,1,1,,1,,,,"",""
ball,1,5.5,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,5.6,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,5.7,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,5.8,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,4,0,,,,,,"",""
ball,1,5.9,Bangladesh,Murshida Khatun,Nigar Sultana,TJ Vlaeminck,0,0,,,,,,"",""
ball,1,6.1,Bangladesh,Nigar Sultana,Murshida Khatun,G Wareham,1,0,,,,,,"",""
ball,1,6.2,Bangladesh,Murshida Khatun,Nigar Sultana,G Wareham,0,0,,,,,,"",""
ball,1,6.3,Bangladesh,Murshida Khatun,Nigar Sultana,G Wareham,2,0,,,,,,"",""
