version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Bahrain
info,gender,male
info,season,2023/24
info,date,2024/03/07
info,event,Malaysia Open T20 Championship
info,match_number,5
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Umer Imtiaz
info,umpire,Sarika Prasad
info,umpire,Tabarak Dar
info,reserve_umpire,V Kalidas
info,tv_umpire,N Sivan
info,match_referee,Ramesh Menon
info,winner,Bahrain
info,winner_wickets,9
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Muhammad Wafiq
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ali Dawood
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Abdul Majid
info,registry,people,Abdul Majid,384cebed
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Ali Dawood,596982e6
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,N Sivan,8f4a0102
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Syed Aziz,6667067e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Ali Dawood,1,0,,,,,,"",""
ball,1,0.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,1,,,1,,,"",""
ball,1,0.4,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Ali Dawood,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Ali Dawood,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Ali Dawood,1,0,,,,,,"",""
ball,1,1.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,0,0,,,,,,"",""
ball,1,1.2,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,0,0,,,,,,"",""
ball,1,1.3,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,1,0,,,,,,"",""
ball,1,1.5,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Rizwan Butt,1,0,,,,,,"",""
ball,1,1.6,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,2,0,,,,,,"",""
ball,1,2.1,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,1,0,,,,,,"",""
ball,1,2.4,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Ali Dawood,1,0,,,,,,"",""
ball,1,2.5,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Ali Dawood,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,Rizwan Butt,1,0,,,,,,"",""
ball,1,3.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,Rizwan Butt,0,0,,,,,,caught,Virandeep Singh
ball,1,3.3,Malaysia,S Muniandy,Zubaidi Zulkifle,Rizwan Butt,0,0,,,,,,"",""
ball,1,3.4,Malaysia,S Muniandy,Zubaidi Zulkifle,Rizwan Butt,0,0,,,,,,"",""
ball,1,3.5,Malaysia,S Muniandy,Zubaidi Zulkifle,Rizwan Butt,1,0,,,,,,"",""
ball,1,3.6,Malaysia,Zubaidi Zulkifle,S Muniandy,Rizwan Butt,0,0,,,,,,"",""
ball,1,4.1,Malaysia,S Muniandy,Zubaidi Zulkifle,S Veerapathiran,1,0,,,,,,"",""
ball,1,4.2,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,0,0,,,,,,"",""
ball,1,4.3,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,0,0,,,,,,"",""
ball,1,4.4,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,4,0,,,,,,"",""
ball,1,4.5,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,0,0,,,,,,"",""
ball,1,4.6,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,0,0,,,,,,"",""
ball,1,5.1,Malaysia,S Muniandy,Zubaidi Zulkifle,Imran Anwar,1,0,,,,,,"",""
ball,1,5.2,Malaysia,Zubaidi Zulkifle,S Muniandy,Imran Anwar,4,0,,,,,,"",""
ball,1,5.3,Malaysia,Zubaidi Zulkifle,S Muniandy,Imran Anwar,4,0,,,,,,"",""
ball,1,5.4,Malaysia,Zubaidi Zulkifle,S Muniandy,Imran Anwar,4,0,,,,,,"",""
ball,1,5.5,Malaysia,Zubaidi Zulkifle,S Muniandy,Imran Anwar,1,0,,,,,,"",""
ball,1,5.6,Malaysia,S Muniandy,Zubaidi Zulkifle,Imran Anwar,1,0,,,,,,"",""
ball,1,6.1,Malaysia,S Muniandy,Zubaidi Zulkifle,S Veerapathiran,1,0,,,,,,"",""
ball,1,6.2,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,1,0,,,,,,"",""
ball,1,6.3,Malaysia,S Muniandy,Zubaidi Zulkifle,S Veerapathiran,1,0,,,,,,"",""
ball,1,6.4,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,0,0,,,,,,"",""
ball,1,6.5,Malaysia,Zubaidi Zulkifle,S Muniandy,S Veerapathiran,1,0,,,,,,"",""
ball,1,6.6,Malaysia,S Muniandy,Zubaidi Zulkifle,S Veerapathiran,2,0,,,,,,"",""
ball,1,7.1,Malaysia,Zubaidi Zulkifle,S Muniandy,Abdul Majid Abbasi,1,0,,,,,,"",""
ball,1,7.2,Malaysia,S Muniandy,Zubaidi Zulkifle,Abdul Majid Abbasi,2,0,,,,,,"",""
