version,1.7.0
info,balls_per_over,6
info,team,Argentina
info,team,Mexico
info,gender,male
info,season,2024/25
info,date,2024/12/14
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,28
info,venue,"Belgrano Athletic Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Mexico
info,toss_decision,field
info,player_of_match,H Fennell
info,umpire,A Gajjar
info,umpire,R Shah
info,reserve_umpire,Vijaya Mallela
info,match_referee,Phil Whitticase
info,winner,Argentina
info,winner_runs,23
info,player,Argentina,Lucas Rossi
info,player,Argentina,Guido Angeletti
info,player,Argentina,P Baron
info,player,Argentina,A Kirschbaum
info,player,Argentina,T Rossi
info,player,Argentina,A Ferguson
info,player,Argentina,AAP Rivero
info,player,Argentina,Manuel Iturbe
info,player,Argentina,H Fennell
info,player,Argentina,A Mustafa
info,player,Argentina,Santiago Iturbe
info,player,Mexico,Shashikant Laxman
info,player,Mexico,Praveen Santhanakrishnan
info,player,Mexico,Luis Hermida
info,player,Mexico,Shantanu Kaveri
info,player,Mexico,KB Patil
info,player,Mexico,Puneet Arora
info,player,Mexico,PK Mohanarangam
info,player,Mexico,Shoaib Rafiq
info,player,Mexico,R Poojary
info,player,Mexico,Y Jasti
info,player,Mexico,R Ankad
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,A Mustafa,a4571ba9
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,Guido Angeletti,6d6f52fc
info,registry,people,H Fennell,0d38ab25
info,registry,people,KB Patil,0474fd64
info,registry,people,Lucas Rossi,2064e555
info,registry,people,Luis Hermida,03beb59f
info,registry,people,Manuel Iturbe,bddbf5ec
info,registry,people,P Baron,c6d1b1e4
info,registry,people,PK Mohanarangam,d73891ad
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,Praveen Santhanakrishnan,22fb205e
info,registry,people,Puneet Arora,c2f8f36e
info,registry,people,R Ankad,5995707a
info,registry,people,R Poojary,d05e9052
info,registry,people,R Shah,3424e050
info,registry,people,Santiago Iturbe,851b0636
info,registry,people,Shantanu Kaveri,091880f7
info,registry,people,Shashikant Laxman,8cf61570
info,registry,people,Shoaib Rafiq,27df03d2
info,registry,people,T Rossi,5470418a
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,Y Jasti,3377f988
ball,1,0.1,Argentina,Lucas Rossi,Guido Angeletti,Y Jasti,2,0,,,,,,"",""
ball,1,0.2,Argentina,Lucas Rossi,Guido Angeletti,Y Jasti,0,0,,,,,,"",""
ball,1,0.3,Argentina,Lucas Rossi,Guido Angeletti,Y Jasti,1,0,,,,,,"",""
ball,1,0.4,Argentina,Guido Angeletti,Lucas Rossi,Y Jasti,1,0,,,,,,"",""
ball,1,0.5,Argentina,Lucas Rossi,Guido Angeletti,Y Jasti,4,0,,,,,,"",""
ball,1,0.6,Argentina,Lucas Rossi,Guido Angeletti,Y Jasti,1,0,,,,,,"",""
ball,1,1.1,Argentina,Lucas Rossi,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,1.2,Argentina,Lucas Rossi,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,1.3,Argentina,Lucas Rossi,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,bowled,Lucas Rossi
ball,1,1.4,Argentina,P Baron,Guido Angeletti,Shoaib Rafiq,4,0,,,,,,"",""
ball,1,1.5,Argentina,P Baron,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,bowled,P Baron
ball,1,1.6,Argentina,A Kirschbaum,Guido Angeletti,Shoaib Rafiq,1,0,,,,,,"",""
ball,1,2.1,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,4,0,,,,,,"",""
ball,1,2.2,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,0,0,,,,,,"",""
ball,1,2.3,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,0,0,,,,,,"",""
ball,1,2.4,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,0,0,,,,,,"",""
ball,1,2.5,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,0,0,,,,,,"",""
ball,1,2.6,Argentina,A Kirschbaum,Guido Angeletti,Y Jasti,2,0,,,,,,"",""
ball,1,3.1,Argentina,Guido Angeletti,A Kirschbaum,Shoaib Rafiq,1,0,,,,,,"",""
ball,1,3.2,Argentina,A Kirschbaum,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,3.3,Argentina,A Kirschbaum,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,3.4,Argentina,A Kirschbaum,Guido Angeletti,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,3.5,Argentina,A Kirschbaum,Guido Angeletti,Shoaib Rafiq,1,0,,,,,,"",""
ball,1,3.6,Argentina,Guido Angeletti,A Kirschbaum,Shoaib Rafiq,0,1,1,,,,,"",""
ball,1,3.7,Argentina,Guido Angeletti,A Kirschbaum,Shoaib Rafiq,0,0,,,,,,"",""
ball,1,4.1,Argentina,A Kirschbaum,Guido Angeletti,PK Mohanarangam,1,0,,,,,,"",""
ball,1,4.2,Argentina,Guido Angeletti,A Kirschbaum,PK Mohanarangam,0,0,,,,,,"",""
