version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Mozambique
info,gender,male
info,season,2024/25
info,date,2024/10/19
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,3
info,venue,"Ruaraka Sports Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Mozambique
info,toss_decision,field
info,player_of_match,RR Patel
info,umpire,F Mutizwa
info,umpire,Stephen Harris
info,reserve_umpire,Morshed Ali Khan
info,match_referee,ET Dube
info,winner,Kenya
info,winner_runs,111
info,method,D/L
info,player,Kenya,P Sharma
info,player,Kenya,DM Gondaria
info,player,Kenya,RN Patel
info,player,Kenya,RR Patel
info,player,Kenya,SR Bhudia
info,player,Kenya,S Gill
info,player,Kenya,IA Karim
info,player,Kenya,SO Ngoche
info,player,Kenya,F Mutua
info,player,Kenya,P Koech
info,player,Kenya,Vraj Patel
info,player,Mozambique,JJ Huo
info,player,Mozambique,LI Salomone
info,player,Mozambique,VE Tembo
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,AA Navicha
info,player,Mozambique,FFZ Nhaduate
info,player,Mozambique,FA Cossa
info,player,Mozambique,JM Joao
info,player,Mozambique,CB Roposo
info,player,Mozambique,DV Macome
info,player,Mozambique,EI Azine
info,registry,people,AA Navicha,5c805a60
info,registry,people,CB Roposo,31f01815
info,registry,people,DM Gondaria,9048c17e
info,registry,people,DV Macome,af4c15c5
info,registry,people,EI Azine,c3de315d
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,F Mutua,21b67523
info,registry,people,FA Cossa,3b52d247
info,registry,people,FFZ Nhaduate,a82e0db7
info,registry,people,GM Muthui,d7e51f87
info,registry,people,IA Karim,ca92a578
info,registry,people,JJ Huo,d816fc1c
info,registry,people,JM Joao,2ef6c852
info,registry,people,LI Salomone,a7b67d5d
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,P Koech,f4a0a615
info,registry,people,P Sharma,d047f983
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Gill,3e6e9a5f
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,VE Tembo,1439a13c
info,registry,people,Vraj Patel,2af28253
ball,1,0.1,Kenya,P Sharma,DM Gondaria,F Damiao Couana,1,0,,,,,,"",""
ball,1,0.2,Kenya,DM Gondaria,P Sharma,F Damiao Couana,1,0,,,,,,"",""
ball,1,0.3,Kenya,P Sharma,DM Gondaria,F Damiao Couana,0,1,1,,,,,"",""
ball,1,0.4,Kenya,P Sharma,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,0.5,Kenya,P Sharma,DM Gondaria,F Damiao Couana,0,0,,,,,,bowled,P Sharma
ball,1,0.6,Kenya,RN Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,0.7,Kenya,RN Patel,DM Gondaria,F Damiao Couana,4,0,,,,,,"",""
ball,1,1.1,Kenya,DM Gondaria,RN Patel,JJ Huo,1,0,,,,,,"",""
ball,1,1.2,Kenya,RN Patel,DM Gondaria,JJ Huo,0,1,1,,,,,"",""
ball,1,1.3,Kenya,RN Patel,DM Gondaria,JJ Huo,0,0,,,,,,"",""
ball,1,1.4,Kenya,RN Patel,DM Gondaria,JJ Huo,0,1,1,,,,,"",""
ball,1,1.5,Kenya,RN Patel,DM Gondaria,JJ Huo,6,0,,,,,,"",""
ball,1,1.6,Kenya,RN Patel,DM Gondaria,JJ Huo,0,0,,,,,,"",""
ball,1,1.7,Kenya,RN Patel,DM Gondaria,JJ Huo,4,0,,,,,,"",""
ball,1,1.8,Kenya,RN Patel,DM Gondaria,JJ Huo,1,0,,,,,,"",""
ball,1,2.1,Kenya,RN Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,2.2,Kenya,RN Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,caught,RN Patel
ball,1,2.3,Kenya,RR Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,2.4,Kenya,RR Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,2.5,Kenya,RR Patel,DM Gondaria,F Damiao Couana,0,0,,,,,,"",""
ball,1,2.6,Kenya,RR Patel,DM Gondaria,F Damiao Couana,2,0,,,,,,"",""
ball,1,3.1,Kenya,DM Gondaria,RR Patel,JJ Huo,0,0,,,,,,"",""
ball,1,3.2,Kenya,DM Gondaria,RR Patel,JJ Huo,4,0,,,,,,"",""
ball,1,3.3,Kenya,DM Gondaria,RR Patel,JJ Huo,0,0,,,,,,"",""
