version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Rwanda
info,gender,female
info,season,2024
info,date,2024/09/10
info,event,Rwanda Women tour of Kenya
info,match_number,1
info,venue,"Sikh Union Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,V Ooko
info,umpire,Charles Kariuki
info,umpire,D Odhiambo
info,reserve_umpire,D Angara
info,winner,Kenya
info,winner_runs,26
info,player,Kenya,C Muthoni
info,player,Kenya,KV Mehta
info,player,Kenya,MI Khagoitsa
info,player,Kenya,E Wachira
info,player,Kenya,Q Abel
info,player,Kenya,V Ooko
info,player,Kenya,JS Ndanu
info,player,Kenya,AW Wambua
info,player,Kenya,JM Nthenya
info,player,Kenya,F Odhiambo
info,player,Kenya,J Ajiambo
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,C Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,H Ishimwe
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,Rosine Irera
info,player,Rwanda,R Shimwamana
info,registry,people,A Ikuzwe,6762a445
info,registry,people,AW Wambua,968878a7
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Muthoni,f85462b1
info,registry,people,C Uwase,808bb510
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Angara,bfa866cc
info,registry,people,D Odhiambo,45994517
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,JM Nthenya,99efdb1b
info,registry,people,JS Ndanu,c27e0638
info,registry,people,KV Mehta,f7ae66f3
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,Q Abel,2e988457
info,registry,people,R Shimwamana,03fb10bd
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,V Ooko,2ae76bf6
ball,1,0.1,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,0.2,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,0.3,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,0.4,Kenya,C Muthoni,KV Mehta,B Murekatete,0,1,1,,,,,"",""
ball,1,0.5,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,0.6,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,0.7,Kenya,C Muthoni,KV Mehta,B Murekatete,0,0,,,,,,caught,C Muthoni
ball,1,1.1,Kenya,KV Mehta,MI Khagoitsa,Rosine Irera,0,0,,,,,,"",""
ball,1,1.2,Kenya,KV Mehta,MI Khagoitsa,Rosine Irera,0,0,,,,,,"",""
ball,1,1.3,Kenya,KV Mehta,MI Khagoitsa,Rosine Irera,1,0,,,,,,"",""
ball,1,1.4,Kenya,MI Khagoitsa,KV Mehta,Rosine Irera,0,0,,,,,,"",""
ball,1,1.5,Kenya,MI Khagoitsa,KV Mehta,Rosine Irera,2,0,,,,,,"",""
ball,1,1.6,Kenya,MI Khagoitsa,KV Mehta,Rosine Irera,1,0,,,,,,"",""
ball,1,2.1,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,2.2,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,2.3,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,2.4,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,4,0,,,,,,"",""
ball,1,2.5,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,2.6,Kenya,MI Khagoitsa,KV Mehta,B Murekatete,0,0,,,,,,"",""
ball,1,3.1,Kenya,KV Mehta,MI Khagoitsa,Rosine Irera,0,0,,,,,,lbw,KV Mehta
ball,1,3.2,Kenya,E Wachira,MI Khagoitsa,Rosine Irera,0,0,,,,,,"",""
ball,1,3.3,Kenya,E Wachira,MI Khagoitsa,Rosine Irera,0,0,,,,,,"",""
