version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Zimbabwe
info,gender,female
info,season,2023/24
info,date,2024/02/02
info,event,Ireland Women tour of Zimbabwe
info,match_number,5
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,O Prendergast
info,umpire,S Gogwe
info,umpire,T Musakwa
info,reserve_umpire,S Dambanevana
info,match_referee,J Chibhabha
info,winner,Ireland
info,winner_runs,14
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,L Little
info,player,Ireland,AN Kelly
info,player,Ireland,L Paul
info,player,Ireland,C Murray
info,player,Ireland,A Dalzell
info,player,Ireland,JR Loughran
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,B Biza
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,M Mavunga
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,L Mabhero
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,B Biza,8a522c6c
info,registry,people,C Murray,5a50471c
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,F Chipare,c0dc015b
info,registry,people,GH Lewis,1b9d1579
info,registry,people,J Chibhabha,4c5c47a4
info,registry,people,JR Loughran,ce3662d2
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Delany,b4f73b44
info,registry,people,L Little,4f86926b
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L Paul,07248d8e
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Mavunga,bb411d1e
info,registry,people,M Musonda,94b52754
info,registry,people,N Sibanda,edf62a25
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,R Stokell,def7b1bb
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Gogwe,fa6ba429
info,registry,people,T Musakwa,5f925536
ball,1,0.1,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,0.2,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,0.3,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,0.4,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,0.5,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,0.6,Ireland,A Hunter,GH Lewis,N Sibanda,0,0,,,,,,"",""
ball,1,1.1,Ireland,GH Lewis,A Hunter,P Marange,1,0,,,,,,"",""
ball,1,1.2,Ireland,A Hunter,GH Lewis,P Marange,1,0,,,,,,"",""
ball,1,1.3,Ireland,GH Lewis,A Hunter,P Marange,0,0,,,,,,"",""
ball,1,1.4,Ireland,GH Lewis,A Hunter,P Marange,0,0,,,,,,"",""
ball,1,1.5,Ireland,GH Lewis,A Hunter,P Marange,1,0,,,,,,"",""
ball,1,1.6,Ireland,A Hunter,GH Lewis,P Marange,0,0,,,,,,"",""
ball,1,2.1,Ireland,GH Lewis,A Hunter,K Ndlovu,1,0,,,,,,"",""
ball,1,2.2,Ireland,A Hunter,GH Lewis,K Ndlovu,0,0,,,,,,"",""
ball,1,2.3,Ireland,A Hunter,GH Lewis,K Ndlovu,0,0,,,,,,bowled,A Hunter
ball,1,2.4,Ireland,O Prendergast,GH Lewis,K Ndlovu,0,0,,,,,,"",""
ball,1,2.5,Ireland,O Prendergast,GH Lewis,K Ndlovu,0,0,,,,,,"",""
ball,1,2.6,Ireland,O Prendergast,GH Lewis,K Ndlovu,0,0,,,,,,"",""
ball,1,3.1,Ireland,GH Lewis,O Prendergast,M Mavunga,0,0,,,,,,"",""
ball,1,3.2,Ireland,GH Lewis,O Prendergast,M Mavunga,0,1,1,,,,,"",""
ball,1,3.3,Ireland,GH Lewis,O Prendergast,M Mavunga,1,0,,,,,,"",""
ball,1,3.4,Ireland,O Prendergast,GH Lewis,M Mavunga,4,0,,,,,,"",""
ball,1,3.5,Ireland,O Prendergast,GH Lewis,M Mavunga,0,0,,,,,,"",""
ball,1,3.6,Ireland,O Prendergast,GH Lewis,M Mavunga,1,0,,,,,,"",""
ball,1,3.7,Ireland,GH Lewis,O Prendergast,M Mavunga,4,0,,,,,,"",""
ball,1,4.1,Ireland,O Prendergast,GH Lewis,K Ndlovu,1,0,,,,,,"",""
ball,1,4.2,Ireland,GH Lewis,O Prendergast,K Ndlovu,0,0,,,,,,"",""
ball,1,4.3,Ireland,GH Lewis,O Prendergast,K Ndlovu,0,0,,,,,,"",""
ball,1,4.4,Ireland,GH Lewis,O Prendergast,K Ndlovu,4,0,,,,,,"",""
