version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/07/16
info,event,Valletta Cup
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,Waqas Ahmad
info,umpire,S Harnal
info,umpire,S Fernando
info,reserve_umpire,V Sridhar
info,match_referee,Vinay Malhotra
info,winner,Malta
info,winner_wickets,7
info,player,France,Zain Ahmad
info,player,France,HA Jackson
info,player,France,Mukhtar Ghulami
info,player,France,Dawood Ahmadzai
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Noman Amjad
info,player,France,P Pirabakaran
info,player,France,Ibrahim Jabarkhel
info,player,France,Rahmatullah Mangal
info,player,France,R Mangal
info,player,Malta,Zeeshan Khan
info,player,Malta,Fanyan Mughal
info,player,Malta,G Thakur
info,player,Malta,B Arora
info,player,Malta,Jaspal Singh
info,player,Malta,DR Patankar
info,player,Malta,Waqas Ahmad
info,player,Malta,E Mathew
info,player,Malta,C Sudarsanan
info,player,Malta,VP Thamotharam
info,player,Malta,Washeem Abbas
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,DR Patankar,e661915c
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,G Thakur,93720584
info,registry,people,HA Jackson,ee40679e
info,registry,people,Ibrahim Jabarkhel,c311564c
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Noman Amjad,c079c66a
info,registry,people,P Pirabakaran,5ab659d9
info,registry,people,R Mangal,5360c9be
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Harnal,756fe781
info,registry,people,Usman Khan,e8a552ef
info,registry,people,V Sridhar,42314166
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zain Ahmad,ea2c0aff
info,registry,people,Zeeshan Khan,3f9b1a96
ball,1,0.1,France,Zain Ahmad,HA Jackson,Fanyan Mughal,1,0,,,,,,"",""
ball,1,0.2,France,HA Jackson,Zain Ahmad,Fanyan Mughal,0,0,,,,,,caught,HA Jackson
ball,1,0.3,France,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,0,0,,,,,,"",""
ball,1,0.4,France,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,1,0,,,,,,"",""
ball,1,0.5,France,Zain Ahmad,Mukhtar Ghulami,Fanyan Mughal,1,0,,,,,,"",""
ball,1,0.6,France,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,0,0,,,,,,"",""
ball,1,1.1,France,Zain Ahmad,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.2,France,Zain Ahmad,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,bowled,Zain Ahmad
ball,1,1.3,France,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.4,France,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,0,1,1,,,,,"",""
ball,1,1.5,France,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,4,0,,,,,,"",""
ball,1,1.6,France,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,1,0,,,,,,"",""
ball,1,1.7,France,Mukhtar Ghulami,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,caught,Mukhtar Ghulami
ball,1,2.1,France,Dawood Ahmadzai,L Canessane,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.2,France,Dawood Ahmadzai,L Canessane,Fanyan Mughal,0,1,1,,,,,"",""
ball,1,2.3,France,Dawood Ahmadzai,L Canessane,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.4,France,Dawood Ahmadzai,L Canessane,Fanyan Mughal,1,0,,,,,,"",""
ball,1,2.5,France,L Canessane,Dawood Ahmadzai,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.6,France,L Canessane,Dawood Ahmadzai,Fanyan Mughal,1,0,,,,,,"",""
ball,1,2.7,France,Dawood Ahmadzai,L Canessane,Fanyan Mughal,0,1,,,1,,,"",""
ball,1,3.1,France,Dawood Ahmadzai,L Canessane,Waqas Ahmad,1,0,,,,,,"",""
ball,1,3.2,France,L Canessane,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,bowled,L Canessane
ball,1,3.3,France,Usman Khan,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,"",""
ball,1,3.4,France,Usman Khan,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,"",""
ball,1,3.5,France,Usman Khan,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,"",""
ball,1,3.6,France,Usman Khan,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,"",""
ball,1,4.1,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,0,0,,,,,,"",""
ball,1,4.2,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,0,1,1,,,,,"",""
ball,1,4.3,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,0,0,,,,,,"",""
ball,1,4.4,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,0,0,,,,,,"",""
ball,1,4.5,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,0,1,1,,,,,"",""
ball,1,4.6,France,Dawood Ahmadzai,Usman Khan,Fanyan Mughal,1,0,,,,,,"",""
ball,1,4.7,France,Usman Khan,Dawood Ahmadzai,Fanyan Mughal,0,0,,,,,,"",""
