version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,St Helena
info,gender,male
info,season,2022/23
info,date,2022/11/18
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,5
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,E Sebareme
info,umpire,John Mayeku
info,umpire,R D'Mello
info,reserve_umpire,Patric Makumbi
info,match_referee,S Wadvalla
info,winner,Rwanda
info,winner_runs,54
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Sebareme
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,V Mitari
info,player,Rwanda,K Irakoze
info,player,St Helena,A Langham
info,player,St Helena,AR Leo
info,player,St Helena,B Isaac
info,player,St Helena,S Crowie
info,player,St Helena,CR Richards
info,player,St Helena,A Yon
info,player,St Helena,J Henry
info,player,St Helena,R Francis
info,player,St Helena,BK Stroud
info,player,St Helena,G Johnson
info,player,St Helena,JKP Ellick
info,registry,people,A Langham,fe0b3bdf
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,B Isaac,2c14421f
info,registry,people,BK Stroud,6577a6ad
info,registry,people,C Rububagumya,8088632c
info,registry,people,CR Richards,c10a581f
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Sebareme,f99a219a
info,registry,people,G Johnson,ceec82cd
info,registry,people,J Henry,68e7e8d5
info,registry,people,JKP Ellick,77de6cfa
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R D'Mello,f3c22863
info,registry,people,R Francis,06b766f4
info,registry,people,S Crowie,4040951f
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,V Mitari,3a82673c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,0,0,,,,,,"",""
ball,1,0.2,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,0,0,,,,,,"",""
ball,1,0.3,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,2,0,,,,,,"",""
ball,1,0.4,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,0,0,,,,,,"",""
ball,1,0.5,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,1,0,,,,,,"",""
ball,1,0.6,Rwanda,E Dusingizimana,O Tuyisenge,G Johnson,0,0,,,,,,"",""
ball,1,1.1,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,2,0,,,,,,"",""
ball,1,1.2,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,1,0,,,,,,"",""
ball,1,1.3,Rwanda,E Dusingizimana,O Tuyisenge,BK Stroud,0,0,,,,,,"",""
ball,1,1.4,Rwanda,E Dusingizimana,O Tuyisenge,BK Stroud,0,0,,,,,,"",""
ball,1,1.5,Rwanda,E Dusingizimana,O Tuyisenge,BK Stroud,4,0,,,,,,"",""
ball,1,1.6,Rwanda,E Dusingizimana,O Tuyisenge,BK Stroud,0,0,,,,,,"",""
ball,1,2.1,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,1,0,,,,,,"",""
ball,1,2.2,Rwanda,E Dusingizimana,O Tuyisenge,G Johnson,1,0,,,,,,"",""
ball,1,2.3,Rwanda,O Tuyisenge,E Dusingizimana,G Johnson,1,0,,,,,,"",""
ball,1,2.4,Rwanda,E Dusingizimana,O Tuyisenge,G Johnson,0,0,,,,,,"",""
ball,1,2.5,Rwanda,E Dusingizimana,O Tuyisenge,G Johnson,2,0,,,,,,"",""
ball,1,2.6,Rwanda,E Dusingizimana,O Tuyisenge,G Johnson,0,0,,,,,,"",""
ball,1,3.1,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,0,0,,,,,,"",""
ball,1,3.2,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,0,0,,,,,,"",""
ball,1,3.3,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,0,0,,,,,,"",""
ball,1,3.4,Rwanda,O Tuyisenge,E Dusingizimana,BK Stroud,1,0,,,,,,"",""
