version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Nigeria
info,gender,male
info,season,2023/24
info,date,2023/10/07
info,event,West Africa Trophy
info,match_number,7
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Nigeria
info,toss_decision,field
info,umpire,Kehinde Olanbiwonnu
info,umpire,T Oladunjoye
info,reserve_umpire,O Akintokun
info,winner,Nigeria
info,winner_wickets,6
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Babar Ali
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Sebareme
info,player,Rwanda,K Irakoze
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,M Akayezu
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,E Rukiriza
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,D Ajekun
info,player,Nigeria,AE Isesele
info,player,Nigeria,JO Adedeji
info,player,Nigeria,I Danladi
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Aho
info,player,Nigeria,SA Okpe
info,player,Nigeria,IO Okpe
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,C Udekwe
info,registry,people,AE Isesele,5249f9c4
info,registry,people,Babar Ali,c65e0275
info,registry,people,C Udekwe,74a578d0
info,registry,people,D Ajekun,2494ff9e
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JO Adedeji,abee08c7
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Akintokun,6293933e
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Aho,2e392afa
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,T Oladunjoye,a6348da2
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,0,0,,,,,,"",""
ball,1,0.2,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,0,1,1,,,,,"",""
ball,1,0.3,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,0,0,,,,,,"",""
ball,1,0.4,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,0,0,,,,,,"",""
ball,1,0.5,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,1,0,,,,,,"",""
ball,1,0.6,Rwanda,E Dusingizimana,O Tuyisenge,C Udekwe,1,0,,,,,,"",""
ball,1,0.7,Rwanda,O Tuyisenge,E Dusingizimana,C Udekwe,0,0,,,,,,"",""
ball,1,1.1,Rwanda,E Dusingizimana,O Tuyisenge,P Aho,0,0,,,,,,"",""
ball,1,1.2,Rwanda,E Dusingizimana,O Tuyisenge,P Aho,1,0,,,,,,"",""
ball,1,1.3,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,1,1,,,,,"",""
ball,1,1.4,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,0,,,,,,"",""
ball,1,1.5,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,1,1,,,,,"",""
ball,1,1.6,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,1,1,,,,,"",""
ball,1,1.7,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,0,,,,,,"",""
ball,1,1.8,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,1,1,,,,,"",""
ball,1,1.9,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,0,,,,,,"",""
ball,1,1.10,Rwanda,O Tuyisenge,E Dusingizimana,P Aho,0,0,,,,,,"",""
ball,1,2.1,Rwanda,E Dusingizimana,O Tuyisenge,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,2.2,Rwanda,E Dusingizimana,O Tuyisenge,Mohameed Taiwo,1,0,,,,,,"",""
ball,1,2.3,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,2.4,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,2.5,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,1,,,,1,,"",""
ball,1,2.6,Rwanda,E Dusingizimana,O Tuyisenge,Mohameed Taiwo,2,0,,,,,,"",""
ball,1,3.1,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,0,0,,,,,,"",""
ball,1,3.2,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,0,0,,,,,,"",""
ball,1,3.3,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,0,0,,,,,,"",""
ball,1,3.4,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,0,0,,,,,,"",""
ball,1,3.5,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,4,0,,,,,,"",""
ball,1,3.6,Rwanda,O Tuyisenge,E Dusingizimana,I Danladi,2,0,,,,,,"",""
ball,1,4.1,Rwanda,E Dusingizimana,O Tuyisenge,Mohameed Taiwo,1,0,,,,,,"",""
ball,1,4.2,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,4.3,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,2,0,,,,,,"",""
ball,1,4.4,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,2,0,,,,,,"",""
ball,1,4.5,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,4.6,Rwanda,O Tuyisenge,E Dusingizimana,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,5.1,Rwanda,E Dusingizimana,O Tuyisenge,I Danladi,0,0,,,,,,bowled,E Dusingizimana
ball,1,5.2,Rwanda,Babar Ali,O Tuyisenge,I Danladi,0,1,,,,1,,"",""
ball,1,5.3,Rwanda,O Tuyisenge,Babar Ali,I Danladi,0,0,,,,,,"",""
ball,1,5.4,Rwanda,O Tuyisenge,Babar Ali,I Danladi,0,0,,,,,,"",""
ball,1,5.5,Rwanda,O Tuyisenge,Babar Ali,I Danladi,0,0,,,,,,"",""
ball,1,5.6,Rwanda,O Tuyisenge,Babar Ali,I Danladi,0,0,,,,,,"",""
ball,1,6.1,Rwanda,Babar Ali,O Tuyisenge,IO Okpe,1,0,,,,,,"",""
ball,1,6.2,Rwanda,O Tuyisenge,Babar Ali,IO Okpe,6,0,,,,,,"",""
ball,1,6.3,Rwanda,O Tuyisenge,Babar Ali,IO Okpe,0,0,,,,,,"",""
ball,1,6.4,Rwanda,O Tuyisenge,Babar Ali,IO Okpe,0,0,,,,,,"",""
ball,1,6.5,Rwanda,O Tuyisenge,Babar Ali,IO Okpe,1,0,,,,,,"",""
ball,1,6.6,Rwanda,Babar Ali,O Tuyisenge,IO Okpe,1,0,,,,,,"",""
ball,1,7.1,Rwanda,Babar Ali,O Tuyisenge,R Abdulkareem,1,0,,,,,,"",""
ball,1,7.2,Rwanda,O Tuyisenge,Babar Ali,R Abdulkareem,1,0,,,,,,"",""
ball,1,7.3,Rwanda,Babar Ali,O Tuyisenge,R Abdulkareem,1,0,,,,,,"",""
ball,1,7.4,Rwanda,O Tuyisenge,Babar Ali,R Abdulkareem,1,0,,,,,,"",""
ball,1,7.5,Rwanda,Babar Ali,O Tuyisenge,R Abdulkareem,1,0,,,,,,"",""
ball,1,7.6,Rwanda,O Tuyisenge,Babar Ali,R Abdulkareem,2,0,,,,,,"",""
ball,1,8.1,Rwanda,Babar Ali,O Tuyisenge,IO Okpe,2,0,,,,,,"",""
ball,1,8.2,Rwanda,Babar Ali,O Tuyisenge,IO Okpe,0,0,,,,,,caught,Babar Ali
ball,1,8.3,Rwanda,D Ndikubwimana,O Tuyisenge,IO Okpe,1,0,,,,,,"",""
ball,1,8.4,Rwanda,O Tuyisenge,D Ndikubwimana,IO Okpe,0,0,,,,,,"",""
ball,1,8.5,Rwanda,O Tuyisenge,D Ndikubwimana,IO Okpe,1,0,,,,,,"",""
ball,1,8.6,Rwanda,D Ndikubwimana,O Tuyisenge,IO Okpe,0,0,,,,,,"",""
ball,1,9.1,Rwanda,O Tuyisenge,D Ndikubwimana,R Abdulkareem,0,0,,,,,,"",""
ball,1,9.2,Rwanda,O Tuyisenge,D Ndikubwimana,R Abdulkareem,0,0,,,,,,"",""
ball,1,9.3,Rwanda,O Tuyisenge,D Ndikubwimana,R Abdulkareem,0,0,,,,,,"",""
ball,1,9.4,Rwanda,O Tuyisenge,D Ndikubwimana,R Abdulkareem,0,0,,,,,,"",""
ball,1,9.5,Rwanda,O Tuyisenge,D Ndikubwimana,R Abdulkareem,1,0,,,,,,"",""
ball,1,9.6,Rwanda,D Ndikubwimana,O Tuyisenge,R Abdulkareem,0,0,,,,,,"",""
ball,1,10.1,Rwanda,O Tuyisenge,D Ndikubwimana,C Udekwe,1,0,,,,,,"",""
ball,1,10.2,Rwanda,D Ndikubwimana,O Tuyisenge,C Udekwe,4,0,,,,,,"",""
