version,1.7.0
info,balls_per_over,6
info,team,West Indies
info,team,South Africa
info,gender,male
info,season,2024
info,date,2024/06/23
info,event,ICC Men's T20 World Cup
info,match_number,50
info,venue,"Sir Vivian Richards Stadium, North Sound, Antigua"
info,city,North Sound
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,T Shamsi
info,umpire,AG Wharf
info,umpire,RJ Tucker
info,reserve_umpire,Sharfuddoula
info,tv_umpire,CM Brown
info,match_referee,RS Madugalle
info,winner,South Africa
info,winner_wickets,3
info,method,D/L
info,player,West Indies,KR Mayers
info,player,West Indies,SD Hope
info,player,West Indies,N Pooran
info,player,West Indies,RL Chase
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,AD Russell
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,G Motie
info,player,West Indies,OC McCoy
info,player,South Africa,Q de Kock
info,player,South Africa,RR Hendricks
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,H Klaasen
info,player,South Africa,DA Miller
info,player,South Africa,M Jansen
info,player,South Africa,KA Maharaj
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,T Shamsi
info,registry,people,A Nortje,acdc62f5
info,registry,people,AD Russell,bbd41817
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AK Markram,6a26221c
info,registry,people,AS Joseph,b0946605
info,registry,people,CM Brown,448f4f1c
info,registry,people,DA Miller,d67d5f00
info,registry,people,G Motie,97bdec3d
info,registry,people,H Klaasen,235c2bb6
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KR Mayers,73c18486
info,registry,people,M Jansen,81c36ee9
info,registry,people,N Pooran,3241e3fd
info,registry,people,OC McCoy,529eb9e0
info,registry,people,Q de Kock,372455c4
info,registry,people,R Powell,650d5e49
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RL Chase,3feda4fa
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RS Madugalle,766b5798
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Shamsi,a03bba42
info,registry,people,T Stubbs,85b3fab2
ball,1,0.1,West Indies,KR Mayers,SD Hope,M Jansen,0,0,,,,,,"",""
ball,1,0.2,West Indies,KR Mayers,SD Hope,M Jansen,1,0,,,,,,"",""
ball,1,0.3,West Indies,SD Hope,KR Mayers,M Jansen,0,1,1,,,,,"",""
ball,1,0.4,West Indies,SD Hope,KR Mayers,M Jansen,0,0,,,,,,caught,SD Hope
ball,1,0.5,West Indies,N Pooran,KR Mayers,M Jansen,0,1,1,,,,,"",""
ball,1,0.6,West Indies,N Pooran,KR Mayers,M Jansen,0,0,,,,,,"",""
ball,1,0.7,West Indies,N Pooran,KR Mayers,M Jansen,0,1,1,,,,,"",""
ball,1,0.8,West Indies,N Pooran,KR Mayers,M Jansen,1,0,,,,,,"",""
ball,1,0.9,West Indies,KR Mayers,N Pooran,M Jansen,0,0,,,,,,"",""
ball,1,1.1,West Indies,N Pooran,KR Mayers,AK Markram,0,0,,,,,,caught,N Pooran
ball,1,1.2,West Indies,RL Chase,KR Mayers,AK Markram,4,0,,,,,,"",""
ball,1,1.3,West Indies,RL Chase,KR Mayers,AK Markram,1,0,,,,,,"",""
ball,1,1.4,West Indies,KR Mayers,RL Chase,AK Markram,0,0,,,,,,"",""
ball,1,1.5,West Indies,KR Mayers,RL Chase,AK Markram,0,0,,,,,,"",""
ball,1,1.6,West Indies,KR Mayers,RL Chase,AK Markram,0,0,,,,,,"",""
ball,1,2.1,West Indies,RL Chase,KR Mayers,M Jansen,2,0,,,,,,"",""
ball,1,2.2,West Indies,RL Chase,KR Mayers,M Jansen,0,1,1,,,,,"",""
ball,1,2.3,West Indies,RL Chase,KR Mayers,M Jansen,0,0,,,,,,"",""
ball,1,2.4,West Indies,RL Chase,KR Mayers,M Jansen,0,0,,,,,,"",""
ball,1,2.5,West Indies,RL Chase,KR Mayers,M Jansen,4,0,,,,,,"",""
ball,1,2.6,West Indies,RL Chase,KR Mayers,M Jansen,1,0,,,,,,"",""
ball,1,2.7,West Indies,KR Mayers,RL Chase,M Jansen,4,0,,,,,,"",""
ball,1,3.1,West Indies,RL Chase,KR Mayers,AK Markram,0,0,,,,,,"",""
ball,1,3.2,West Indies,RL Chase,KR Mayers,AK Markram,0,1,1,,,,,"",""
