version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Rwanda
info,gender,female
info,season,2024/25
info,date,2024/11/02
info,event,Kenya Women tour of Rwanda
info,match_number,4
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,Q Abel
info,umpire,Gaston Niyibizi
info,umpire,Vicky Prajapati
info,reserve_umpire,D Hagenimana
info,winner,Kenya
info,winner_runs,4
info,player,Kenya,Q Abel
info,player,Kenya,C Muthoni
info,player,Kenya,E Waithaka
info,player,Kenya,ZM Hamisi
info,player,Kenya,V Ooko
info,player,Kenya,L Idambo
info,player,Kenya,JM Nthenya
info,player,Kenya,A Wanjira
info,player,Kenya,F Odhiambo
info,player,Kenya,J Ajiambo
info,player,Kenya,JS Ndanu
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,C Uwase
info,player,Rwanda,H Ishimwe
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,G Ingabire
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,Sylvia Usabyimana
info,player,Rwanda,Rosine Irera
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Wanjira,b6015231
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Muthoni,f85462b1
info,registry,people,C Uwase,808bb510
info,registry,people,D Hagenimana,de167462
info,registry,people,E Waithaka,1e4c0204
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,G Ingabire,2c00691c
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,JM Nthenya,99efdb1b
info,registry,people,JS Ndanu,c27e0638
info,registry,people,K Ogola,7f7dc2ee
info,registry,people,L Idambo,27339093
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,Q Abel,2e988457
info,registry,people,Rosine Irera,b84718fd
info,registry,people,Sylvia Usabyimana,7a7e2be6
info,registry,people,V Ooko,2ae76bf6
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,ZM Hamisi,8f0fd229
ball,1,0.1,Kenya,Q Abel,C Muthoni,B Murekatete,2,0,,,,,,"",""
ball,1,0.2,Kenya,Q Abel,C Muthoni,B Murekatete,0,1,1,,,,,"",""
ball,1,0.3,Kenya,Q Abel,C Muthoni,B Murekatete,1,0,,,,,,"",""
ball,1,0.4,Kenya,C Muthoni,Q Abel,B Murekatete,0,0,,,,,,"",""
ball,1,0.5,Kenya,C Muthoni,Q Abel,B Murekatete,0,1,,,1,,,"",""
ball,1,0.6,Kenya,Q Abel,C Muthoni,B Murekatete,0,0,,,,,,"",""
ball,1,0.7,Kenya,Q Abel,C Muthoni,B Murekatete,0,0,,,,,,"",""
ball,1,1.1,Kenya,C Muthoni,Q Abel,Rosine Irera,0,0,,,,,,"",""
ball,1,1.2,Kenya,C Muthoni,Q Abel,Rosine Irera,0,0,,,,,,"",""
ball,1,1.3,Kenya,C Muthoni,Q Abel,Rosine Irera,0,0,,,,,,"",""
ball,1,1.4,Kenya,C Muthoni,Q Abel,Rosine Irera,0,1,1,,,,,"",""
ball,1,1.5,Kenya,C Muthoni,Q Abel,Rosine Irera,0,1,1,,,,,"",""
ball,1,1.6,Kenya,C Muthoni,Q Abel,Rosine Irera,0,0,,,,,,"",""
ball,1,1.7,Kenya,C Muthoni,Q Abel,Rosine Irera,1,0,,,,,,"",""
ball,1,1.8,Kenya,Q Abel,C Muthoni,Rosine Irera,0,0,,,,,,"",""
ball,1,2.1,Kenya,C Muthoni,Q Abel,B Murekatete,0,0,,,,,,"",""
ball,1,2.2,Kenya,C Muthoni,Q Abel,B Murekatete,0,0,,,,,,"",""
ball,1,2.3,Kenya,C Muthoni,Q Abel,B Murekatete,0,0,,,,,,"",""
ball,1,2.4,Kenya,C Muthoni,Q Abel,B Murekatete,1,0,,,,,,"",""
ball,1,2.5,Kenya,Q Abel,C Muthoni,B Murekatete,1,0,,,,,,"",""
ball,1,2.6,Kenya,C Muthoni,Q Abel,B Murekatete,2,0,,,,,,"",""
ball,1,3.1,Kenya,Q Abel,C Muthoni,Rosine Irera,0,0,,,,,,"",""
ball,1,3.2,Kenya,Q Abel,C Muthoni,Rosine Irera,1,0,,,,,,"",""
ball,1,3.3,Kenya,C Muthoni,Q Abel,Rosine Irera,1,0,,,,,,"",""
ball,1,3.4,Kenya,Q Abel,C Muthoni,Rosine Irera,2,0,,,,,,"",""
