version,1.7.0
info,balls_per_over,6
info,team,Austria
info,team,Hungary
info,gender,male
info,season,2024/25
info,date,2025/02/05
info,event,Malta Tri-Nation T20I Series
info,match_number,6
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Hungary
info,toss_decision,field
info,player_of_match,Muhammad Saqlain
info,umpire,S Fernando
info,umpire,V Sridhar
info,reserve_umpire,Vinay Malhotra
info,winner,Hungary
info,winner_wickets,2
info,player,Austria,Bilal Zalmai
info,player,Austria,Aqib Iqbal
info,player,Austria,Razmal Shigiwal
info,player,Austria,M Simpson-Parker
info,player,Austria,H Khogiyani
info,player,Austria,Umair Tariq
info,player,Austria,Arsalan Arif
info,player,Austria,Q Utmanzai
info,player,Austria,Hamid Safi
info,player,Austria,Sahel Zadran
info,player,Austria,Itibarshah Deedar
info,player,Hungary,Abbas Ghani
info,player,Hungary,JN du Plooy
info,player,Hungary,Zeeshan Kukikhel
info,player,Hungary,Sheikh Rasik
info,player,Hungary,Zahir Mohammed
info,player,Hungary,Muhammad Usman
info,player,Hungary,TV Valivarthi
info,player,Hungary,MP Ainsworth
info,player,Hungary,Amal Jacob
info,player,Hungary,SA Mohandas
info,player,Hungary,Muhammad Saqlain
info,registry,people,Abbas Ghani,a8f91f78
info,registry,people,Amal Jacob,5772882c
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Arsalan Arif,cc65e4a4
info,registry,people,Bilal Zalmai,33b67317
info,registry,people,H Khogiyani,b85c0597
info,registry,people,Hamid Safi,ec4ae12d
info,registry,people,Itibarshah Deedar,711e73ac
info,registry,people,JN du Plooy,945f5357
info,registry,people,M Simpson-Parker,fecd828e
info,registry,people,MP Ainsworth,ae4a47d8
info,registry,people,Muhammad Saqlain,f094e3b8
info,registry,people,Muhammad Usman,b7621723
info,registry,people,Q Utmanzai,5c2f10ed
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,S Fernando,bbeb5b15
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Sheikh Rasik,5f25b104
info,registry,people,TV Valivarthi,56153e74
info,registry,people,Umair Tariq,67ec2b09
info,registry,people,V Sridhar,42314166
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Zahir Mohammed,7c38942a
info,registry,people,Zeeshan Kukikhel,5d6a1f76
ball,1,0.1,Austria,Bilal Zalmai,Aqib Iqbal,SA Mohandas,0,0,,,,,,"",""
ball,1,0.2,Austria,Bilal Zalmai,Aqib Iqbal,SA Mohandas,0,0,,,,,,lbw,Bilal Zalmai
ball,1,0.3,Austria,Razmal Shigiwal,Aqib Iqbal,SA Mohandas,1,0,,,,,,"",""
ball,1,0.4,Austria,Aqib Iqbal,Razmal Shigiwal,SA Mohandas,0,0,,,,,,"",""
ball,1,0.5,Austria,Aqib Iqbal,Razmal Shigiwal,SA Mohandas,1,0,,,,,,"",""
ball,1,0.6,Austria,Razmal Shigiwal,Aqib Iqbal,SA Mohandas,1,0,,,,,,"",""
ball,1,1.1,Austria,Razmal Shigiwal,Aqib Iqbal,Muhammad Saqlain,0,1,1,,,,,"",""
ball,1,1.2,Austria,Razmal Shigiwal,Aqib Iqbal,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,1.3,Austria,Aqib Iqbal,Razmal Shigiwal,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,1.4,Austria,Razmal Shigiwal,Aqib Iqbal,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,1.5,Austria,Aqib Iqbal,Razmal Shigiwal,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,1.6,Austria,Aqib Iqbal,Razmal Shigiwal,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,1.7,Austria,Razmal Shigiwal,Aqib Iqbal,Muhammad Saqlain,0,0,,,,,,caught,Razmal Shigiwal
ball,1,2.1,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,0,0,,,,,,"",""
ball,1,2.2,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,4,0,,,,,,"",""
ball,1,2.3,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,0,0,,,,,,"",""
ball,1,2.4,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,0,1,1,,,,,"",""
ball,1,2.5,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,0,1,,,,1,,"",""
ball,1,2.6,Austria,M Simpson-Parker,Aqib Iqbal,SA Mohandas,1,0,,,,,,"",""
ball,1,2.7,Austria,Aqib Iqbal,M Simpson-Parker,SA Mohandas,1,0,,,,,,"",""
