version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Sri Lanka
info,gender,female
info,season,2024
info,date,2024/08/13
info,event,Sri Lanka Women tour of Ireland
info,match_number,2
info,venue,"Pembroke Cricket Club, Sandymount, Dublin"
info,city,Dublin
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,GH Lewis
info,umpire,M Hawthorne
info,umpire,S Redfern
info,reserve_umpire,Aidan Seaver
info,match_referee,G McCrea
info,winner,Ireland
info,winner_runs,7
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,R Stokell
info,player,Ireland,L Delany
info,player,Ireland,L Paul
info,player,Ireland,CE Coulter Reilly
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,J Maguire
info,player,Ireland,FA Sargent
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,S Nisansala
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,S Gimhani
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,C Murray,5a50471c
info,registry,people,CE Coulter Reilly,39f351c6
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,G McCrea,46f4a901
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,J Maguire,1b1c23bb
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,L Delany,b4f73b44
info,registry,people,L Paul,07248d8e
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,NND de Silva,f0b4294e
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Gimhani,11b78c67
info,registry,people,S Nisansala,1251a339
info,registry,people,S Redfern,5b038989
info,registry,people,SIP Fernando,5838cb64
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Ireland,A Hunter,GH Lewis,SIP Fernando,1,0,,,,,,"",""
ball,1,0.2,Ireland,GH Lewis,A Hunter,SIP Fernando,2,0,,,,,,"",""
ball,1,0.3,Ireland,GH Lewis,A Hunter,SIP Fernando,4,0,,,,,,"",""
ball,1,0.4,Ireland,GH Lewis,A Hunter,SIP Fernando,0,0,,,,,,"",""
ball,1,0.5,Ireland,GH Lewis,A Hunter,SIP Fernando,1,0,,,,,,"",""
ball,1,0.6,Ireland,A Hunter,GH Lewis,SIP Fernando,1,0,,,,,,"",""
ball,1,1.1,Ireland,A Hunter,GH Lewis,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,1.2,Ireland,A Hunter,GH Lewis,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,1.3,Ireland,A Hunter,GH Lewis,WGAKK Kulasuriya,4,0,,,,,,"",""
ball,1,1.4,Ireland,A Hunter,GH Lewis,WGAKK Kulasuriya,1,0,,,,,,"",""
ball,1,1.5,Ireland,GH Lewis,A Hunter,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,1.6,Ireland,GH Lewis,A Hunter,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,2.1,Ireland,A Hunter,GH Lewis,S Gimhani,1,0,,,,,,"",""
ball,1,2.2,Ireland,GH Lewis,A Hunter,S Gimhani,0,0,,,,,,"",""
ball,1,2.3,Ireland,GH Lewis,A Hunter,S Gimhani,4,0,,,,,,"",""
ball,1,2.4,Ireland,GH Lewis,A Hunter,S Gimhani,0,0,,,,,,"",""
ball,1,2.5,Ireland,GH Lewis,A Hunter,S Gimhani,0,0,,,,,,"",""
ball,1,2.6,Ireland,GH Lewis,A Hunter,S Gimhani,0,0,,,,,,"",""
ball,1,3.1,Ireland,A Hunter,GH Lewis,KADA Kanchana,0,0,,,,,,"",""
ball,1,3.2,Ireland,A Hunter,GH Lewis,KADA Kanchana,1,0,,,,,,"",""
ball,1,3.3,Ireland,GH Lewis,A Hunter,KADA Kanchana,0,0,,,,,,"",""
ball,1,3.4,Ireland,GH Lewis,A Hunter,KADA Kanchana,0,0,,,,,,"",""
ball,1,3.5,Ireland,GH Lewis,A Hunter,KADA Kanchana,0,0,,,,,,"",""
ball,1,3.6,Ireland,GH Lewis,A Hunter,KADA Kanchana,0,0,,,,,,"",""
ball,1,4.1,Ireland,A Hunter,GH Lewis,S Gimhani,0,0,,,,,,caught,A Hunter
ball,1,4.2,Ireland,O Prendergast,GH Lewis,S Gimhani,0,0,,,,,,"",""
