version,1.7.0
info,balls_per_over,6
info,team,West Indies
info,team,England
info,gender,female
info,season,2022/23
info,date,2023/02/11
info,event,ICC Women's T20 World Cup
info,match_number,2
info,venue,"Boland Park, Paarl"
info,city,Paarl
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,NR Sciver-Brunt
info,umpire,CA Polosak
info,umpire,VG Rathi
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,Kim Cotton
info,match_referee,SA Fritz
info,winner,England
info,winner_wickets,7
info,player,West Indies,HK Matthews
info,player,West Indies,SR Taylor
info,player,West Indies,SA Campbelle
info,player,West Indies,S Gajnabi
info,player,West Indies,CA Henry
info,player,West Indies,CN Nation
info,player,West Indies,ASS Fletcher
info,player,West Indies,Z James
info,player,West Indies,SS Connell
info,player,West Indies,RS Williams
info,player,West Indies,SC Selman
info,player,England,SIR Dunkley
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,KH Sciver-Brunt
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,S Glenn
info,player,England,LK Bell
info,registry,people,A Capsey,910dd54e
info,registry,people,AE Jones,b05e45e4
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,CA Henry,75820733
info,registry,people,CA Polosak,26a360d2
info,registry,people,CE Dean,c6625a26
info,registry,people,CN Nation,639000b6
info,registry,people,DN Wyatt,a139c379
info,registry,people,HC Knight,4ba0289e
info,registry,people,HK Matthews,d32cf49a
info,registry,people,KH Sciver-Brunt,6a434bd3
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LK Bell,38b4583c
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,RS Williams,406de451
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Glenn,b34e0c77
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SC Selman,c29ada99
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SR Taylor,92cf79a8
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,VG Rathi,144e5b16
info,registry,people,Z James,816af623
ball,1,0.1,West Indies,HK Matthews,SR Taylor,LK Bell,0,1,1,,,,,"",""
ball,1,0.2,West Indies,HK Matthews,SR Taylor,LK Bell,0,0,,,,,,"",""
ball,1,0.3,West Indies,HK Matthews,SR Taylor,LK Bell,1,0,,,,,,"",""
ball,1,0.4,West Indies,SR Taylor,HK Matthews,LK Bell,0,0,,,,,,"",""
ball,1,0.5,West Indies,SR Taylor,HK Matthews,LK Bell,0,0,,,,,,"",""
ball,1,0.6,West Indies,SR Taylor,HK Matthews,LK Bell,0,0,,,,,,"",""
ball,1,0.7,West Indies,SR Taylor,HK Matthews,LK Bell,0,1,1,,,,,"",""
ball,1,0.8,West Indies,SR Taylor,HK Matthews,LK Bell,0,0,,,,,,"",""
ball,1,1.1,West Indies,HK Matthews,SR Taylor,KH Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.2,West Indies,HK Matthews,SR Taylor,KH Sciver-Brunt,1,0,,,,,,"",""
ball,1,1.3,West Indies,SR Taylor,HK Matthews,KH Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.4,West Indies,SR Taylor,HK Matthews,KH Sciver-Brunt,0,1,,,,1,,"",""
ball,1,1.5,West Indies,HK Matthews,SR Taylor,KH Sciver-Brunt,1,0,,,,,,"",""
ball,1,1.6,West Indies,SR Taylor,HK Matthews,KH Sciver-Brunt,0,0,,,,,,"",""
ball,1,2.1,West Indies,HK Matthews,SR Taylor,LK Bell,0,1,1,,,,,"",""
ball,1,2.2,West Indies,HK Matthews,SR Taylor,LK Bell,0,1,1,,,,,"",""
ball,1,2.3,West Indies,HK Matthews,SR Taylor,LK Bell,0,0,,,,,,"",""
ball,1,2.4,West Indies,HK Matthews,SR Taylor,LK Bell,0,1,1,,,,,"",""
ball,1,2.5,West Indies,HK Matthews,SR Taylor,LK Bell,4,0,,,,,,"",""
ball,1,2.6,West Indies,HK Matthews,SR Taylor,LK Bell,4,0,,,,,,"",""
ball,1,2.7,West Indies,HK Matthews,SR Taylor,LK Bell,0,0,,,,,,"",""
ball,1,2.8,West Indies,HK Matthews,SR Taylor,LK Bell,1,0,,,,,,"",""
ball,1,2.9,West Indies,SR Taylor,HK Matthews,LK Bell,0,0,,,,,,"",""
ball,1,3.1,West Indies,HK Matthews,SR Taylor,CE Dean,0,0,,,,,,"",""
ball,1,3.2,West Indies,HK Matthews,SR Taylor,CE Dean,1,0,,,,,,"",""
ball,1,3.3,West Indies,SR Taylor,HK Matthews,CE Dean,0,0,,,,,,"",""
ball,1,3.4,West Indies,SR Taylor,HK Matthews,CE Dean,1,0,,,,,,"",""
ball,1,3.5,West Indies,HK Matthews,SR Taylor,CE Dean,4,0,,,,,,"",""
ball,1,3.6,West Indies,HK Matthews,SR Taylor,CE Dean,0,0,,,,,,"",""
ball,1,4.1,West Indies,SR Taylor,HK Matthews,S Ecclestone,0,0,,,,,,"",""
ball,1,4.2,West Indies,SR Taylor,HK Matthews,S Ecclestone,1,0,,,,,,"",""
ball,1,4.3,West Indies,HK Matthews,SR Taylor,S Ecclestone,4,0,,,,,,"",""
ball,1,4.4,West Indies,HK Matthews,SR Taylor,S Ecclestone,0,0,,,,,,"",""
