version,1.7.0
info,balls_per_over,6
info,team,Bhutan
info,team,Myanmar
info,gender,female
info,season,2024/25
info,date,2024/12/27
info,event,Myanmar Women tour of Bhutan
info,match_number,5
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Myanmar
info,toss_decision,field
info,player_of_match,Zon Lin
info,umpire,ON Pradhan
info,umpire,U Dorji
info,winner,Myanmar
info,winner_wickets,5
info,player,Bhutan,N Choden
info,player,Bhutan,K Dema
info,player,Bhutan,D Wangmo
info,player,Bhutan,S Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,Sonam
info,player,Bhutan,Kinley Bidha
info,player,Bhutan,Y Choden
info,player,Bhutan,A Gurung
info,player,Bhutan,R Choden
info,player,Bhutan,Tshering Choden
info,player,Myanmar,TT Aung
info,player,Myanmar,Zon Lin
info,player,Myanmar,MPP San
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,TT Soe
info,player,Myanmar,KM Myat
info,player,Myanmar,ZL Win
info,player,Myanmar,SY Win
info,player,Myanmar,Thae Thae Po
info,player,Myanmar,LL Htun
info,player,Myanmar,HH Aung
info,registry,people,A Gurung,10854c82
info,registry,people,D Wangmo,760fcf65
info,registry,people,HH Aung,860042f6
info,registry,people,K Dema,0b211a32
info,registry,people,KM Myat,c1b4e25c
info,registry,people,Kinley Bidha,f2a34cbc
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,N Choden,a904600a
info,registry,people,ON Pradhan,d41a08d6
info,registry,people,R Choden,c0266a6e
info,registry,people,S Choden,e1e0775d
info,registry,people,SY Win,33d65ab4
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,Tshering Choden,3f38caff
info,registry,people,U Dorji,12bba2d4
info,registry,people,Y Choden,6f17c546
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zon Lin,3b492b8d
ball,1,0.1,Bhutan,N Choden,K Dema,Zon Lin,0,1,1,,,,,"",""
ball,1,0.2,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,0.3,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,0.4,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,0.5,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,0.6,Bhutan,N Choden,K Dema,Zon Lin,0,1,1,,,,,"",""
ball,1,0.7,Bhutan,N Choden,K Dema,Zon Lin,0,1,1,,,,,"",""
ball,1,0.8,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,0.9,Bhutan,N Choden,K Dema,Zon Lin,0,1,1,,,,,"",""
ball,1,0.10,Bhutan,N Choden,K Dema,Zon Lin,0,0,,,,,,"",""
ball,1,1.1,Bhutan,K Dema,N Choden,ZL Win,0,0,,,,,,"",""
ball,1,1.2,Bhutan,K Dema,N Choden,ZL Win,0,0,,,,,,"",""
ball,1,1.3,Bhutan,K Dema,N Choden,ZL Win,0,0,,,,,,"",""
ball,1,1.4,Bhutan,K Dema,N Choden,ZL Win,1,0,,,,,,"",""
ball,1,1.5,Bhutan,N Choden,K Dema,ZL Win,0,0,,,,,,"",""
ball,1,1.6,Bhutan,N Choden,K Dema,ZL Win,0,0,,,,,,"",""
ball,1,2.1,Bhutan,K Dema,N Choden,Zon Lin,0,0,,,,,,"",""
ball,1,2.2,Bhutan,K Dema,N Choden,Zon Lin,0,0,,,,,,"",""
ball,1,2.3,Bhutan,K Dema,N Choden,Zon Lin,0,0,,,,,,"",""
ball,1,2.4,Bhutan,K Dema,N Choden,Zon Lin,0,1,1,,,,,"",""
ball,1,2.5,Bhutan,K Dema,N Choden,Zon Lin,0,0,,,,,,lbw,K Dema
ball,1,2.6,Bhutan,D Wangmo,N Choden,Zon Lin,4,0,,,,,,"",""
ball,1,2.7,Bhutan,D Wangmo,N Choden,Zon Lin,0,0,,,,,,"",""
ball,1,3.1,Bhutan,N Choden,D Wangmo,ZL Win,0,1,1,,,,,"",""
ball,1,3.2,Bhutan,N Choden,D Wangmo,ZL Win,0,1,1,,,,,"",""
ball,1,3.3,Bhutan,N Choden,D Wangmo,ZL Win,0,0,,,,,,"",""
ball,1,3.4,Bhutan,N Choden,D Wangmo,ZL Win,4,0,,,,,,"",""
ball,1,3.5,Bhutan,N Choden,D Wangmo,ZL Win,0,0,,,,,,"",""
ball,1,3.6,Bhutan,N Choden,D Wangmo,ZL Win,0,0,,,,,,"",""
ball,1,3.7,Bhutan,N Choden,D Wangmo,ZL Win,0,0,,,,,,"",""
ball,1,3.8,Bhutan,N Choden,D Wangmo,ZL Win,0,0,,,,,,"",""
ball,1,4.1,Bhutan,D Wangmo,N Choden,LL Htun,0,0,,,,,,"",""
ball,1,4.2,Bhutan,D Wangmo,N Choden,LL Htun,0,0,,,,,,"",""
ball,1,4.3,Bhutan,D Wangmo,N Choden,LL Htun,0,0,,,,,,"",""
ball,1,4.4,Bhutan,D Wangmo,N Choden,LL Htun,0,0,,,,,,"",""
ball,1,4.5,Bhutan,D Wangmo,N Choden,LL Htun,0,0,,,,,,"",""
ball,1,4.6,Bhutan,D Wangmo,N Choden,LL Htun,2,0,,,,,,"",""
ball,1,5.1,Bhutan,N Choden,D Wangmo,ZL Win,4,0,,,,,,"",""
ball,1,5.2,Bhutan,N Choden,D Wangmo,ZL Win,0,1,1,,,,,"",""
ball,1,5.3,Bhutan,N Choden,D Wangmo,ZL Win,1,0,,,,,,"",""
