version,1.7.0
info,balls_per_over,6
info,team,Japan
info,team,Indonesia
info,gender,male
info,season,2024
info,date,2024/10/01
info,event,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
info,match_number,5
info,venue,"Yeonhui Cricket Ground, Incheon"
info,city,Incheon
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,K Kadowaki-Fleming
info,umpire,AK Rana
info,umpire,Tanvir Ahmed
info,reserve_umpire,Suresh Subramanian
info,tv_umpire,Sarika Prasad
info,match_referee,TL Anderson
info,winner,Japan
info,winner_runs,53
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,L Yamamoto-Lake
info,player,Japan,I Takahashi
info,player,Japan,S Ravichandran
info,player,Japan,KH Abe
info,player,Japan,D Suzuki
info,player,Japan,A Patmore
info,player,Japan,R Sakurano-Thomas
info,player,Japan,M Taniyama
info,player,Japan,B Ito-Davis
info,player,Japan,C Hinze
info,player,Indonesia,GA Priandana
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,PR Surve
info,player,Indonesia,KC Ramamoorthy
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IK Gamantika
info,player,Indonesia,F Banunaek
info,player,Indonesia,GD Arta
info,player,Indonesia,RM Koda
info,registry,people,A Patmore,85119526
info,registry,people,AK Rana,562d74d0
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,B Ito-Davis,96275259
info,registry,people,C Hinze,626af7ff
info,registry,people,D Suzuki,64c81abf
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,I Takahashi,c988daa1
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,K Kubota,42581e6d
info,registry,people,KC Ramamoorthy,a89c270b
info,registry,people,KH Abe,f22d2247
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,PR Surve,206efeb1
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,RM Koda,f0a45427
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,Tanvir Ahmed,ea2df1f1
ball,1,0.1,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,0,0,,,,,,"",""
ball,1,0.3,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.4,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.5,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,2,0,,,,,,"",""
ball,1,0.6,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,1,0,,,,,,"",""
ball,1,1.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Gaurav Tiwari,0,0,,,,,,"",""
ball,1,1.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Gaurav Tiwari,0,0,,,,,,"",""
ball,1,1.3,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Gaurav Tiwari,0,0,,,,,,"",""
ball,1,1.4,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Gaurav Tiwari,1,0,,,,,,"",""
ball,1,1.5,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,4,0,,,,,,"",""
ball,1,1.6,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,0,0,,,,,,"",""
ball,1,2.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,4,0,,,,,,"",""
ball,1,2.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,DJ Hawoe,1,0,,,,,,"",""
ball,1,2.3,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,6,0,,,,,,"",""
ball,1,2.4,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,2,0,,,,,,"",""
ball,1,2.5,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,0,0,,,,,,"",""
ball,1,2.6,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,DJ Hawoe,1,0,,,,,,"",""
ball,1,3.1,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,4,0,,,,,,"",""
ball,1,3.2,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,2,0,,,,,,"",""
ball,1,3.3,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,0,0,,,,,,"",""
ball,1,3.4,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,2,0,,,,,,"",""
ball,1,3.5,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,4,0,,,,,,"",""
ball,1,3.6,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,Gaurav Tiwari,6,0,,,,,,"",""
ball,1,4.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,IKEG Artawan,0,1,1,,,,,"",""
ball,1,4.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,IKEG Artawan,0,0,,,,,,stumped,L Yamamoto-Lake
ball,1,4.3,Japan,I Takahashi,K Kadowaki-Fleming,IKEG Artawan,1,0,,,,,,"",""
ball,1,4.4,Japan,K Kadowaki-Fleming,I Takahashi,IKEG Artawan,6,0,,,,,,"",""
ball,1,4.5,Japan,K Kadowaki-Fleming,I Takahashi,IKEG Artawan,1,0,,,,,,"",""
ball,1,4.6,Japan,I Takahashi,K Kadowaki-Fleming,IKEG Artawan,0,0,,,,,,"",""
ball,1,4.7,Japan,I Takahashi,K Kadowaki-Fleming,IKEG Artawan,6,0,,,,,,"",""
ball,1,5.1,Japan,K Kadowaki-Fleming,I Takahashi,RM Koda,2,0,,,,,,"",""
ball,1,5.2,Japan,K Kadowaki-Fleming,I Takahashi,RM Koda,1,0,,,,,,"",""
ball,1,5.3,Japan,I Takahashi,K Kadowaki-Fleming,RM Koda,1,0,,,,,,"",""
ball,1,5.4,Japan,K Kadowaki-Fleming,I Takahashi,RM Koda,1,0,,,,,,"",""
ball,1,5.5,Japan,I Takahashi,K Kadowaki-Fleming,RM Koda,0,0,,,,,,caught,I Takahashi
ball,1,5.6,Japan,S Ravichandran,K Kadowaki-Fleming,RM Koda,0,0,,,,,,"",""
ball,1,6.1,Japan,K Kadowaki-Fleming,S Ravichandran,F Banunaek,1,0,,,,,,"",""
ball,1,6.2,Japan,S Ravichandran,K Kadowaki-Fleming,F Banunaek,2,0,,,,,,"",""
ball,1,6.3,Japan,S Ravichandran,K Kadowaki-Fleming,F Banunaek,0,0,,,,,,"",""
ball,1,6.4,Japan,S Ravichandran,K Kadowaki-Fleming,F Banunaek,0,1,1,,,,,"",""
ball,1,6.5,Japan,S Ravichandran,K Kadowaki-Fleming,F Banunaek,1,0,,,,,,"",""
ball,1,6.6,Japan,K Kadowaki-Fleming,S Ravichandran,F Banunaek,0,0,,,,,,"",""
ball,1,6.7,Japan,K Kadowaki-Fleming,S Ravichandran,F Banunaek,1,0,,,,,,"",""
ball,1,7.1,Japan,K Kadowaki-Fleming,S Ravichandran,RM Koda,4,0,,,,,,"",""
ball,1,7.2,Japan,K Kadowaki-Fleming,S Ravichandran,RM Koda,0,1,,,,1,,"",""
ball,1,7.3,Japan,S Ravichandran,K Kadowaki-Fleming,RM Koda,4,0,,,,,,"",""
ball,1,7.4,Japan,S Ravichandran,K Kadowaki-Fleming,RM Koda,1,0,,,,,,"",""
ball,1,7.5,Japan,K Kadowaki-Fleming,S Ravichandran,RM Koda,2,0,,,,,,"",""
ball,1,7.6,Japan,K Kadowaki-Fleming,S Ravichandran,RM Koda,0,0,,,,,,"",""
ball,1,8.1,Japan,S Ravichandran,K Kadowaki-Fleming,F Banunaek,1,0,,,,,,"",""
