version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Pakistan
info,gender,male
info,season,2021/22
info,date,2021/11/22
info,event,Pakistan tour of Bangladesh
info,match_number,3
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Haider Ali
info,umpire,Masudur Rahman
info,umpire,Tanvir Ahmed
info,reserve_umpire,Gazi Sohel
info,tv_umpire,Sharfuddoula
info,match_referee,Neeyamur Rashid
info,winner,Pakistan
info,winner_wickets,5
info,player,Bangladesh,Mohammad Naim
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Aminul Islam
info,player,Bangladesh,Shohidul Islam
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Nasum Ahmed
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Haider Ali
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Usman Qadir
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Shahnawaz Dhani
info,registry,people,Afif Hossain,37138918
info,registry,people,Aminul Islam,f8ce577b
info,registry,people,Babar Azam,8a75e999
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Nurul Hasan,d365d463
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Shahnawaz Dhani,7ccbb09f
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Shohidul Islam,607ed7c2
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Usman Qadir,33742f04
info,registry,people,Yasir Ali Chowdhury,5791b840
ball,1,0.1,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,Mohammad Nawaz,1,0,,,,,,"",""
ball,1,0.2,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Mohammad Nawaz,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Mohammad Nawaz,1,0,,,,,,"",""
ball,1,0.4,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,Mohammad Nawaz,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,Mohammad Nawaz,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,Mohammad Nawaz,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Shahnawaz Dhani,4,0,,,,,,"",""
ball,1,1.2,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Shahnawaz Dhani,0,1,1,,,,,"",""
ball,1,1.3,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,bowled,Nazmul Hossain Shanto
ball,1,1.5,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,4,0,,,,,,"",""
ball,1,1.6,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Mohammad Naim,Shamim Hossain,Mohammad Wasim,1,0,,,,,,"",""
ball,1,2.2,Bangladesh,Shamim Hossain,Mohammad Naim,Mohammad Wasim,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Shamim Hossain,Mohammad Naim,Mohammad Wasim,0,0,,,,,,"",""
ball,1,2.4,Bangladesh,Shamim Hossain,Mohammad Naim,Mohammad Wasim,1,0,,,,,,"",""
ball,1,2.5,Bangladesh,Mohammad Naim,Shamim Hossain,Mohammad Wasim,1,0,,,,,,"",""
ball,1,2.6,Bangladesh,Shamim Hossain,Mohammad Naim,Mohammad Wasim,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Mohammad Naim,Shamim Hossain,Shahnawaz Dhani,1,0,,,,,,"",""
ball,1,3.2,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
ball,1,3.4,Bangladesh,Shamim Hossain,Mohammad Naim,Shahnawaz Dhani,0,0,,,,,,"",""
