version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/06/05
info,event,ICC Men's T20 World Cup
info,match_number,10
info,venue,"Kensington Oval, Bridgetown, Barbados"
info,city,Bridgetown
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,MP Stoinis
info,umpire,Asif Yaqoob
info,umpire,JS Wilson
info,reserve_umpire,Nitin Menon
info,tv_umpire,J Madanagopal
info,match_referee,RS Madugalle
info,winner,Australia
info,winner_runs,39
info,player,Australia,DA Warner
info,player,Australia,TM Head
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,MA Starc
info,player,Australia,NT Ellis
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,player,Oman,KH Prajapati
info,player,Oman,PS Athavale
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,Ayan Khan
info,player,Oman,Shoaib Khan
info,player,Oman,Mehran Khan
info,player,Oman,Shakeel Ahmed
info,player,Oman,Kaleemullah
info,player,Oman,Bilal Khan
info,registry,people,A Zampa,14f96089
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,DA Warner,dcce6f09
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,MA Starc,3fb19989
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,Mehran Khan,d7bfcc0b
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PS Athavale,c2f12310
info,registry,people,RS Madugalle,766b5798
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shoaib Khan,21afb939
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Australia,DA Warner,TM Head,Bilal Khan,1,0,,,,,,"",""
ball,1,0.2,Australia,TM Head,DA Warner,Bilal Khan,4,0,,,,,,"",""
ball,1,0.3,Australia,TM Head,DA Warner,Bilal Khan,0,0,,,,,,"",""
ball,1,0.4,Australia,TM Head,DA Warner,Bilal Khan,0,0,,,,,,"",""
ball,1,0.5,Australia,TM Head,DA Warner,Bilal Khan,1,0,,,,,,"",""
ball,1,0.6,Australia,DA Warner,TM Head,Bilal Khan,0,0,,,,,,"",""
ball,1,1.1,Australia,TM Head,DA Warner,Kaleemullah,1,0,,,,,,"",""
ball,1,1.2,Australia,DA Warner,TM Head,Kaleemullah,4,0,,,,,,"",""
ball,1,1.3,Australia,DA Warner,TM Head,Kaleemullah,0,0,,,,,,"",""
ball,1,1.4,Australia,DA Warner,TM Head,Kaleemullah,0,1,,,,1,,"",""
ball,1,1.5,Australia,TM Head,DA Warner,Kaleemullah,0,0,,,,,,"",""
ball,1,1.6,Australia,TM Head,DA Warner,Kaleemullah,1,0,,,,,,"",""
ball,1,2.1,Australia,TM Head,DA Warner,Bilal Khan,1,0,,,,,,"",""
ball,1,2.2,Australia,DA Warner,TM Head,Bilal Khan,1,0,,,,,,"",""
ball,1,2.3,Australia,TM Head,DA Warner,Bilal Khan,4,0,,,,,,"",""
ball,1,2.4,Australia,TM Head,DA Warner,Bilal Khan,0,0,,,,,,caught,TM Head
ball,1,2.5,Australia,MR Marsh,DA Warner,Bilal Khan,0,0,,,,,,"",""
ball,1,2.6,Australia,MR Marsh,DA Warner,Bilal Khan,0,0,,,,,,"",""
ball,1,3.1,Australia,DA Warner,MR Marsh,Shakeel Ahmed,4,0,,,,,,"",""
ball,1,3.2,Australia,DA Warner,MR Marsh,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.3,Australia,DA Warner,MR Marsh,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.4,Australia,DA Warner,MR Marsh,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.5,Australia,DA Warner,MR Marsh,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,3.6,Australia,MR Marsh,DA Warner,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,4.1,Australia,MR Marsh,DA Warner,Kaleemullah,0,0,,,,,,"",""
