version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Kenya
info,gender,male
info,season,2022/23
info,date,2022/11/20
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,11
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,field
info,player_of_match,SO Ngoche
info,umpire,BM White
info,umpire,Patric Makumbi
info,reserve_umpire,D Odhiambo
info,match_referee,S Wadvalla
info,winner,Kenya
info,winner_wickets,9
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,E Sebareme
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,M Akayezu
info,player,Rwanda,K Irakoze
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,V Mitari
info,player,Kenya,RN Patel
info,player,Kenya,CO Obuya
info,player,Kenya,IA Karim
info,player,Kenya,LN Oluoch
info,player,Kenya,NM Odhiambo
info,player,Kenya,Vraj Patel
info,player,Kenya,SR Bhudia
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,SO Ngoche
info,player,Kenya,P Koech
info,player,Kenya,RR Patel
info,registry,people,BM White,66c21d35
info,registry,people,C Rububagumya,8088632c
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,D Odhiambo,45994517
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Sebareme,f99a219a
info,registry,people,IA Karim,ca92a578
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Koech,f4a0a615
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,V Mitari,3a82673c
info,registry,people,Vraj Patel,2af28253
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,O Tuyisenge,E Dusingizimana,LN Oluoch,4,0,,,,,,"",""
ball,1,0.2,Rwanda,O Tuyisenge,E Dusingizimana,LN Oluoch,0,1,1,,,,,"",""
ball,1,0.3,Rwanda,O Tuyisenge,E Dusingizimana,LN Oluoch,0,0,,,,,,"",""
ball,1,0.4,Rwanda,O Tuyisenge,E Dusingizimana,LN Oluoch,1,0,,,,,,"",""
ball,1,0.5,Rwanda,E Dusingizimana,O Tuyisenge,LN Oluoch,0,0,,,,,,"",""
ball,1,0.6,Rwanda,E Dusingizimana,O Tuyisenge,LN Oluoch,1,0,,,,,,"",""
ball,1,0.7,Rwanda,O Tuyisenge,E Dusingizimana,LN Oluoch,1,0,,,,,,"",""
ball,1,1.1,Rwanda,O Tuyisenge,E Dusingizimana,SO Ngoche,0,0,,,,,,"",""
ball,1,1.2,Rwanda,O Tuyisenge,E Dusingizimana,SO Ngoche,0,0,,,,,,"",""
ball,1,1.3,Rwanda,O Tuyisenge,E Dusingizimana,SO Ngoche,0,0,,,,,,caught,O Tuyisenge
ball,1,1.4,Rwanda,W Niyitanga,E Dusingizimana,SO Ngoche,0,0,,,,,,"",""
ball,1,1.5,Rwanda,W Niyitanga,E Dusingizimana,SO Ngoche,3,0,,,,,,"",""
ball,1,1.6,Rwanda,E Dusingizimana,W Niyitanga,SO Ngoche,0,0,,,,,,caught,E Dusingizimana
ball,1,2.1,Rwanda,W Niyitanga,C Rububagumya,Tanzeel Sheikh,0,1,1,,,,,"",""
ball,1,2.2,Rwanda,W Niyitanga,C Rububagumya,Tanzeel Sheikh,0,1,,,,1,,"",""
ball,1,2.3,Rwanda,C Rububagumya,W Niyitanga,Tanzeel Sheikh,1,0,,,,,,"",""
ball,1,2.4,Rwanda,W Niyitanga,C Rububagumya,Tanzeel Sheikh,1,0,,,,,,"",""
ball,1,2.5,Rwanda,C Rububagumya,W Niyitanga,Tanzeel Sheikh,0,0,,,,,,"",""
ball,1,2.6,Rwanda,C Rububagumya,W Niyitanga,Tanzeel Sheikh,0,1,1,,,,,"",""
ball,1,2.7,Rwanda,C Rububagumya,W Niyitanga,Tanzeel Sheikh,0,0,,,,,,"",""
ball,1,2.8,Rwanda,C Rububagumya,W Niyitanga,Tanzeel Sheikh,0,0,,,,,,"",""
