version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,gender,female
info,season,2024/25
info,date,2024/10/13
info,event,ICC Women's T20 World Cup
info,match_number,18
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,S Molineux
info,umpire,Kim Cotton
info,umpire,S Redfern
info,reserve_umpire,N Perera
info,tv_umpire,JM Williams
info,match_referee,SA Fritz
info,winner,Australia
info,winner_runs,9
info,player,Australia,GM Harris
info,player,Australia,BL Mooney
info,player,Australia,G Wareham
info,player,Australia,TM McGrath
info,player,Australia,EA Perry
info,player,Australia,A Gardner
info,player,Australia,P Litchfield
info,player,Australia,A Sutherland
info,player,Australia,S Molineux
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RM Ghosh
info,player,India,P Vastrakar
info,player,India,A Reddy
info,player,India,SR Patil
info,player,India,RP Yadav
info,player,India,Renuka Singh
info,registry,people,A Gardner,bc969efb
info,registry,people,A Reddy,eadc8924
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,D Brown,2e81be88
info,registry,people,DB Sharma,201fef33
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Perera,129709f9
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Molineux,99e23670
info,registry,people,S Redfern,5b038989
info,registry,people,S Sajana,a4dcac97
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Australia,GM Harris,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,0.2,Australia,GM Harris,BL Mooney,Renuka Singh,4,0,,,,,,"",""
ball,1,0.3,Australia,GM Harris,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,0.4,Australia,GM Harris,BL Mooney,Renuka Singh,0,1,1,,,,,"",""
ball,1,0.5,Australia,GM Harris,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,0.6,Australia,GM Harris,BL Mooney,Renuka Singh,2,0,,,,,,"",""
ball,1,0.7,Australia,GM Harris,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,1.1,Australia,BL Mooney,GM Harris,SR Patil,0,0,,,,,,"",""
ball,1,1.2,Australia,BL Mooney,GM Harris,SR Patil,0,0,,,,,,"",""
ball,1,1.3,Australia,BL Mooney,GM Harris,SR Patil,0,0,,,,,,"",""
ball,1,1.4,Australia,BL Mooney,GM Harris,SR Patil,1,0,,,,,,"",""
ball,1,1.5,Australia,GM Harris,BL Mooney,SR Patil,1,0,,,,,,"",""
ball,1,1.6,Australia,BL Mooney,GM Harris,SR Patil,0,0,,,,,,"",""
ball,1,2.1,Australia,GM Harris,BL Mooney,Renuka Singh,1,0,,,,,,"",""
ball,1,2.2,Australia,BL Mooney,GM Harris,Renuka Singh,0,5,5,,,,,"",""
ball,1,2.3,Australia,BL Mooney,GM Harris,Renuka Singh,1,0,,,,,,"",""
ball,1,2.4,Australia,GM Harris,BL Mooney,Renuka Singh,1,0,,,,,,"",""
ball,1,2.5,Australia,BL Mooney,GM Harris,Renuka Singh,0,0,,,,,,caught,BL Mooney
ball,1,2.6,Australia,G Wareham,GM Harris,Renuka Singh,0,0,,,,,,lbw,G Wareham
ball,1,2.7,Australia,TM McGrath,GM Harris,Renuka Singh,0,1,,,,1,,"",""
ball,1,3.1,Australia,TM McGrath,GM Harris,P Vastrakar,1,0,,,,,,"",""
ball,1,3.2,Australia,GM Harris,TM McGrath,P Vastrakar,0,0,,,,,,"",""
ball,1,3.3,Australia,GM Harris,TM McGrath,P Vastrakar,0,0,,,,,,"",""
