version,1.7.0
info,balls_per_over,6
info,team,Mozambique
info,team,Gambia
info,gender,male
info,season,2022/23
info,date,2022/12/08
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,24
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Mozambique
info,toss_decision,bat
info,player_of_match,J Bulele
info,umpire,R D'Mello
info,umpire,S Kintu
info,reserve_umpire,BP Jele
info,match_referee,SA Fritz
info,winner,Mozambique
info,winner_runs,40
info,method,D/L
info,player,Mozambique,J Bulele
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,JJ Huo
info,player,Mozambique,FA Cossa
info,player,Mozambique,AA Navicha
info,player,Mozambique,L Emilio
info,player,Mozambique,LI Salomone
info,player,Mozambique,LF Mavume
info,player,Mozambique,CB Roposo
info,player,Mozambique,ZE Matsinhe
info,player,Mozambique,DV Macome
info,player,Gambia,Andre Jarju
info,player,Gambia,Muhammed Manga
info,player,Gambia,Mustapha Suwareh
info,player,Gambia,A Conteh
info,player,Gambia,Ismaila Tanba
info,player,Gambia,Abubacarr Kuyateh
info,player,Gambia,F Campbell
info,player,Gambia,ML Bojang
info,player,Gambia,M Jobarteh
info,player,Gambia,P Campbell
info,player,Gambia,Ousman Bah
info,registry,people,A Conteh,97b9cb64
info,registry,people,AA Navicha,5c805a60
info,registry,people,Abubacarr Kuyateh,0ec45a9a
info,registry,people,Andre Jarju,53dd7d8e
info,registry,people,BP Jele,7bb1331e
info,registry,people,CB Roposo,31f01815
info,registry,people,DV Macome,af4c15c5
info,registry,people,F Campbell,02c3024c
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,FA Cossa,3b52d247
info,registry,people,Ismaila Tanba,180e2c15
info,registry,people,J Bulele,2dde3e62
info,registry,people,JJ Huo,d816fc1c
info,registry,people,L Emilio,31adde7f
info,registry,people,LF Mavume,5b531900
info,registry,people,LI Salomone,a7b67d5d
info,registry,people,M Jobarteh,4a2ce060
info,registry,people,ML Bojang,c2409632
info,registry,people,Muhammed Manga,6084f6ee
info,registry,people,Mustapha Suwareh,44116edc
info,registry,people,Ousman Bah,95c214dd
info,registry,people,P Campbell,3caaf69e
info,registry,people,R D'Mello,f3c22863
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,ZE Matsinhe,03ef382c
ball,1,0.1,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,0.2,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,0.3,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,0.4,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,0.5,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,4,0,,,,,,"",""
ball,1,0.6,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,1.1,Mozambique,F Damiao Couana,J Bulele,M Jobarteh,0,0,,,,,,"",""
ball,1,1.2,Mozambique,F Damiao Couana,J Bulele,M Jobarteh,0,1,1,,,,,"",""
ball,1,1.3,Mozambique,F Damiao Couana,J Bulele,M Jobarteh,1,0,,,,,,"",""
ball,1,1.4,Mozambique,J Bulele,F Damiao Couana,M Jobarteh,0,0,,,,,,"",""
ball,1,1.5,Mozambique,J Bulele,F Damiao Couana,M Jobarteh,0,0,,,,,,"",""
ball,1,1.6,Mozambique,J Bulele,F Damiao Couana,M Jobarteh,1,0,,,,,,"",""
ball,1,1.7,Mozambique,F Damiao Couana,J Bulele,M Jobarteh,0,0,,,,,,"",""
ball,1,2.1,Mozambique,J Bulele,F Damiao Couana,Abubacarr Kuyateh,1,0,,,,,,"",""
ball,1,2.2,Mozambique,F Damiao Couana,J Bulele,Abubacarr Kuyateh,0,0,,,,,,lbw,F Damiao Couana
ball,1,2.3,Mozambique,JJ Huo,J Bulele,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,2.4,Mozambique,JJ Huo,J Bulele,Abubacarr Kuyateh,1,0,,,,,,"",""
ball,1,2.5,Mozambique,J Bulele,JJ Huo,Abubacarr Kuyateh,0,0,,,,,,"",""
ball,1,2.6,Mozambique,J Bulele,JJ Huo,Abubacarr Kuyateh,1,0,,,,,,"",""
ball,1,3.1,Mozambique,J Bulele,JJ Huo,M Jobarteh,4,0,,,,,,"",""
ball,1,3.2,Mozambique,J Bulele,JJ Huo,M Jobarteh,4,0,,,,,,"",""
ball,1,3.3,Mozambique,J Bulele,JJ Huo,M Jobarteh,0,0,,,,,,"",""
