version,1.7.0
info,balls_per_over,6
info,team,Botswana
info,team,Nigeria
info,gender,female
info,season,2024
info,date,2024/06/03
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,15
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Botswana
info,toss_decision,bat
info,player_of_match,L Piety
info,umpire,Gasana Christian
info,umpire,R Singinzwa
info,reserve_umpire,TJ Onikoyi
info,winner,Nigeria
info,winner_wickets,9
info,player,Botswana,O Kgeresi
info,player,Botswana,L Mophakedi
info,player,Botswana,S Mosweu
info,player,Botswana,T Shadrack
info,player,Botswana,P Mapotsane
info,player,Botswana,G Matome
info,player,Botswana,A Mokgotlhe
info,player,Botswana,W Moutswi
info,player,Botswana,O Keitsemang
info,player,Botswana,M Phiase
info,player,Botswana,A Letuba
info,player,Nigeria,V Igbinedion
info,player,Nigeria,A Akhigbe
info,player,Nigeria,L Piety
info,player,Nigeria,F Eseigbe
info,player,Nigeria,S Sunday
info,player,Nigeria,L Udeh
info,player,Nigeria,U Peace
info,player,Nigeria,S Etim
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,A Igbobie
info,player,Nigeria,P Agboya
info,registry,people,A Akhigbe,ed0ec1fe
info,registry,people,A Igbobie,8e75f2c7
info,registry,people,A Letuba,6c712276
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,F Eseigbe,292d11ee
info,registry,people,G Matome,a6898f7a
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,L Piety,46a29dd0
info,registry,people,L Udeh,8451562a
info,registry,people,M Phiase,537cc79f
info,registry,people,O Keitsemang,5145239b
info,registry,people,O Kgeresi,cba01c28
info,registry,people,P Agboya,532ddb12
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,S Etim,aa197946
info,registry,people,S Mosweu,10726a80
info,registry,people,S Sunday,594a0dec
info,registry,people,T Shadrack,6d972d02
info,registry,people,TJ Onikoyi,b68d9bc6
info,registry,people,U Peace,3798b336
info,registry,people,V Igbinedion,9525b9e5
info,registry,people,W Moutswi,e8c42000
ball,1,0.1,Botswana,O Kgeresi,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,0.2,Botswana,O Kgeresi,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,0.3,Botswana,O Kgeresi,L Mophakedi,L Udeh,0,0,,,,,,lbw,O Kgeresi
ball,1,0.4,Botswana,S Mosweu,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,0.5,Botswana,S Mosweu,L Mophakedi,L Udeh,0,0,,,,,,lbw,S Mosweu
ball,1,0.6,Botswana,T Shadrack,L Mophakedi,L Udeh,0,1,1,,,,,"",""
ball,1,0.7,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,1.1,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,1.2,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,1.3,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,1.4,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,1.5,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,1.6,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,2.1,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,2.2,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,2.3,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,2.4,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,2.5,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,2.6,Botswana,T Shadrack,L Mophakedi,L Udeh,0,0,,,,,,"",""
ball,1,3.1,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,3.2,Botswana,L Mophakedi,T Shadrack,P Agboya,0,0,,,,,,"",""
ball,1,3.3,Botswana,L Mophakedi,T Shadrack,P Agboya,1,0,,,,,,"",""
