version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Portugal
info,gender,male
info,season,2023
info,date,2023/05/04
info,event,Gibraltar Tri-Nation T20I Series
info,match_number,2
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,KJ Stagno
info,umpire,JJ Perez
info,umpire,S Maynard
info,reserve_umpire,R Cunningham
info,winner,Portugal
info,winner_wickets,7
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,J West
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,K Nestor
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,A Reyes
info,player,Gibraltar,K Mirpuri
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,S Bodha
info,player,Portugal,Kuldeep
info,player,Portugal,Azhar Andani
info,player,Portugal,M Machado
info,player,Portugal,Suman Ghimire
info,player,Portugal,Amir Zaib
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,Najjam Shahzad
info,player,Portugal,Mubeen Tariq
info,player,Portugal,F Stoman
info,player,Portugal,Junaid Khan
info,player,Portugal,Sirajullah Khadim
info,registry,people,A Reyes,fd2b8c06
info,registry,people,Amir Zaib,973006cc
info,registry,people,Azhar Andani,b5bd99da
info,registry,people,BA Pai,716bf559
info,registry,people,F Stoman,69e53eb3
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,J West,1d1c6410
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,JJ Perez,3378a304
info,registry,people,Junaid Khan,be0077ba
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,Kuldeep,61c48027
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Machado,fd34bcb0
info,registry,people,Mubeen Tariq,5d6e07a5
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,R Cunningham,6779e840
info,registry,people,S Bodha,00467a76
info,registry,people,S Maynard,12a7e02a
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Suman Ghimire,7d990412
info,registry,people,Zohaib Sarwar,bd3cecc6
ball,1,0.1,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,caught,BA Pai
ball,1,0.2,Gibraltar,J West,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.3,Gibraltar,J West,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.4,Gibraltar,J West,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.5,Gibraltar,J West,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,0.6,Gibraltar,L Bruce,J West,Junaid Khan,0,0,,,,,,"",""
ball,1,1.1,Gibraltar,J West,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.2,Gibraltar,J West,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,1.3,Gibraltar,J West,L Bruce,Najjam Shahzad,4,0,,,,,,"",""
ball,1,1.4,Gibraltar,J West,L Bruce,Najjam Shahzad,0,0,,,,,,lbw,J West
ball,1,1.5,Gibraltar,IDM Latin,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,1.6,Gibraltar,IDM Latin,L Bruce,Najjam Shahzad,4,0,,,,,,"",""
ball,1,1.7,Gibraltar,IDM Latin,L Bruce,Najjam Shahzad,1,0,,,,,,"",""
ball,1,1.8,Gibraltar,L Bruce,IDM Latin,Najjam Shahzad,0,0,,,,,,"",""
ball,1,2.1,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.2,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.3,Gibraltar,IDM Latin,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,2.4,Gibraltar,L Bruce,IDM Latin,Junaid Khan,0,0,,,,,,"",""
ball,1,2.5,Gibraltar,L Bruce,IDM Latin,Junaid Khan,1,0,,,,,,"",""
ball,1,2.6,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,3.1,Gibraltar,L Bruce,IDM Latin,Najjam Shahzad,2,0,,,,,,"",""
ball,1,3.2,Gibraltar,L Bruce,IDM Latin,Najjam Shahzad,0,1,,,,1,,"",""
