version,1.7.0
info,balls_per_over,6
info,team,Maldives
info,team,Kuwait
info,gender,male
info,season,2023/24
info,date,2023/09/29
info,event,ICC Men's T20 World Cup Sub Regional Asia Qualifier A
info,match_number,3
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Kuwait
info,toss_decision,field
info,umpire,Bismillah Shinwari
info,umpire,Shivani Mishra
info,reserve_umpire,Rahul Asher
info,match_referee,GS Lakshmi
info,winner,Kuwait
info,winner_wickets,7
info,player,Maldives,Azyan Farhath
info,player,Maldives,Umar Adam
info,player,Maldives,KTK Rodrigo
info,player,Maldives,Mohamed Rishwan
info,player,Maldives,Mohamed Azzam
info,player,Maldives,Ameel Mauroof
info,player,Maldives,Ibrahim Nashath
info,player,Maldives,Ibrahim Rizan
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,WJ Malinda
info,player,Maldives,L Shafeeg
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Ilyas Ahmed
info,registry,people,Ameel Mauroof,1579d497
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,CV Anto,c01ca5af
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Nashath,98514dce
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,KTK Rodrigo,a482add2
info,registry,people,L Shafeeg,ed82d9a5
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,Mohamed Rishwan,7d15170b
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Umar Adam,5d77a96a
info,registry,people,Usman Patel,415c6ccf
info,registry,people,WJ Malinda,8f5313ce
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Maldives,Azyan Farhath,Umar Adam,Ilyas Ahmed,2,0,,,,,,"",""
ball,1,0.2,Maldives,Azyan Farhath,Umar Adam,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,0.3,Maldives,Azyan Farhath,Umar Adam,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,0.4,Maldives,Azyan Farhath,Umar Adam,Ilyas Ahmed,1,0,,,,,,"",""
ball,1,0.5,Maldives,Umar Adam,Azyan Farhath,Ilyas Ahmed,3,0,,,,,,"",""
ball,1,0.6,Maldives,Azyan Farhath,Umar Adam,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,1.1,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,0,0,,,,,,"",""
ball,1,1.2,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,0,0,,,,,,"",""
ball,1,1.3,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,0,0,,,,,,"",""
ball,1,1.4,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,4,0,,,,,,"",""
ball,1,1.5,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,2,0,,,,,,"",""
ball,1,1.6,Maldives,Umar Adam,Azyan Farhath,Yasin Patel,6,0,,,,,,"",""
ball,1,2.1,Maldives,Azyan Farhath,Umar Adam,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.2,Maldives,Azyan Farhath,Umar Adam,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.3,Maldives,Azyan Farhath,Umar Adam,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.4,Maldives,Azyan Farhath,Umar Adam,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,2.5,Maldives,Umar Adam,Azyan Farhath,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.6,Maldives,Umar Adam,Azyan Farhath,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,3.1,Maldives,Azyan Farhath,Umar Adam,MNM Aslam,0,0,,,,,,"",""
ball,1,3.2,Maldives,Azyan Farhath,Umar Adam,MNM Aslam,0,0,,,,,,"",""
ball,1,3.3,Maldives,Azyan Farhath,Umar Adam,MNM Aslam,4,0,,,,,,"",""
ball,1,3.4,Maldives,Azyan Farhath,Umar Adam,MNM Aslam,0,0,,,,,,"",""
ball,1,3.5,Maldives,Azyan Farhath,Umar Adam,MNM Aslam,0,0,,,,,,"",""
