version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Ireland
info,gender,female
info,season,2022/23
info,date,2023/02/20
info,event,ICC Women's T20 World Cup
info,match_number,18
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,S Mandhana
info,umpire,AY Harris
info,umpire,Kim Cotton
info,reserve_umpire,JM Williams
info,tv_umpire,N Perera
info,match_referee,JM Pereira
info,winner,India
info,winner_runs,5
info,method,D/L
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,H Kaur
info,player,India,RM Ghosh
info,player,India,JI Rodrigues
info,player,India,DB Sharma
info,player,India,P Vastrakar
info,player,India,DP Vaidya
info,player,India,S Pandey
info,player,India,RS Gayakwad
info,player,India,Renuka Singh
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,EAJ Richardson
info,player,Ireland,L Little
info,player,Ireland,MV Waldron
info,player,Ireland,L Paul
info,player,Ireland,G Dempsey
info,player,Ireland,C Murray
info,player,Ireland,AN Kelly
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,AY Harris,90d95b82
info,registry,people,C Murray,5a50471c
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,G Dempsey,940feccc
info,registry,people,GH Lewis,1b9d1579
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JM Pereira,f9a4a039
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Delany,b4f73b44
info,registry,people,L Little,4f86926b
info,registry,people,L Paul,07248d8e
info,registry,people,MV Waldron,2e4f11e9
info,registry,people,N Perera,129709f9
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,Shafali Verma,d8f59089
ball,1,0.1,India,Shafali Verma,S Mandhana,O Prendergast,0,0,,,,,,"",""
ball,1,0.2,India,Shafali Verma,S Mandhana,O Prendergast,0,0,,,,,,"",""
ball,1,0.3,India,Shafali Verma,S Mandhana,O Prendergast,0,0,,,,,,"",""
ball,1,0.4,India,Shafali Verma,S Mandhana,O Prendergast,1,0,,,,,,"",""
ball,1,0.5,India,S Mandhana,Shafali Verma,O Prendergast,3,0,,,,,,"",""
ball,1,0.6,India,Shafali Verma,S Mandhana,O Prendergast,0,0,,,,,,"",""
ball,1,1.1,India,S Mandhana,Shafali Verma,G Dempsey,2,0,,,,,,"",""
ball,1,1.2,India,S Mandhana,Shafali Verma,G Dempsey,0,0,,,,,,"",""
ball,1,1.3,India,S Mandhana,Shafali Verma,G Dempsey,1,0,,,,,,"",""
ball,1,1.4,India,Shafali Verma,S Mandhana,G Dempsey,4,0,,,,,,"",""
ball,1,1.5,India,Shafali Verma,S Mandhana,G Dempsey,0,0,,,,,,"",""
ball,1,1.6,India,Shafali Verma,S Mandhana,G Dempsey,0,0,,,,,,"",""
ball,1,2.1,India,S Mandhana,Shafali Verma,O Prendergast,0,0,,,,,,"",""
ball,1,2.2,India,S Mandhana,Shafali Verma,O Prendergast,0,0,,,,,,"",""
ball,1,2.3,India,S Mandhana,Shafali Verma,O Prendergast,0,0,,,,,,"",""
ball,1,2.4,India,S Mandhana,Shafali Verma,O Prendergast,4,0,,,,,,"",""
ball,1,2.5,India,S Mandhana,Shafali Verma,O Prendergast,0,0,,,,,,"",""
ball,1,2.6,India,S Mandhana,Shafali Verma,O Prendergast,0,1,1,,,,,"",""
ball,1,2.7,India,S Mandhana,Shafali Verma,O Prendergast,0,0,,,,,,"",""
ball,1,3.1,India,Shafali Verma,S Mandhana,G Dempsey,1,0,,,,,,"",""
ball,1,3.2,India,S Mandhana,Shafali Verma,G Dempsey,2,0,,,,,,"",""
ball,1,3.3,India,S Mandhana,Shafali Verma,G Dempsey,4,0,,,,,,"",""
ball,1,3.4,India,S Mandhana,Shafali Verma,G Dempsey,0,1,1,,,,,"",""
ball,1,3.5,India,S Mandhana,Shafali Verma,G Dempsey,2,0,,,,,,"",""
