version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Netherlands
info,gender,male
info,season,2024
info,date,2024/06/16
info,event,ICC Men's T20 World Cup
info,match_number,38
info,venue,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
info,city,Gros Islet
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,KIC Asalanka
info,umpire,AG Wharf
info,umpire,A Paleker
info,reserve_umpire,Asif Yaqoob
info,tv_umpire,MA Gough
info,match_referee,JJ Crowe
info,winner,Sri Lanka
info,winner_runs,83
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,N Thushara
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,SA Edwards
info,player,Netherlands,BFW de Leede
info,player,Netherlands,LV van Beek
info,player,Netherlands,TJG Pringle
info,player,Netherlands,A Dutt
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,VJ Kingma
info,registry,people,A Dutt,803dbf1d
info,registry,people,A Paleker,634b11ac
info,registry,people,AD Mathews,896d78ad
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,DM de Silva,7d608e12
info,registry,people,JJ Crowe,2e760301
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LV van Beek,782fb776
info,registry,people,M Levitt,6a71ba3a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MP O'Dowd,b699df47
info,registry,people,N Thushara,ee1b6c27
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,TJG Pringle,8ce2080b
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vikramjit Singh,2a9eee66
ball,1,0.1,Sri Lanka,P Nissanka,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,P Nissanka,BKG Mendis,VJ Kingma,0,0,,,,,,caught,P Nissanka
ball,1,0.3,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,1,1,,,,,"",""
ball,1,0.6,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,1,1,,,,,"",""
ball,1,0.7,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,0.8,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,1,1,,,,,"",""
ball,1,0.9,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,BKG Mendis,PHKD Mendis,A Dutt,1,0,,,,,,"",""
ball,1,1.2,Sri Lanka,PHKD Mendis,BKG Mendis,A Dutt,0,0,,,,,,"",""
ball,1,1.3,Sri Lanka,PHKD Mendis,BKG Mendis,A Dutt,1,0,,,,,,"",""
ball,1,1.4,Sri Lanka,BKG Mendis,PHKD Mendis,A Dutt,1,0,,,,,,"",""
ball,1,1.5,Sri Lanka,PHKD Mendis,BKG Mendis,A Dutt,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,PHKD Mendis,BKG Mendis,A Dutt,1,0,,,,,,"",""
ball,1,2.1,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,1,0,,,,,,"",""
ball,1,2.3,Sri Lanka,BKG Mendis,PHKD Mendis,VJ Kingma,1,0,,,,,,"",""
ball,1,2.4,Sri Lanka,PHKD Mendis,BKG Mendis,VJ Kingma,1,0,,,,,,"",""
ball,1,2.5,Sri Lanka,BKG Mendis,PHKD Mendis,VJ Kingma,4,0,,,,,,"",""
ball,1,2.6,Sri Lanka,BKG Mendis,PHKD Mendis,VJ Kingma,0,0,,,,,,"",""
ball,1,3.1,Sri Lanka,PHKD Mendis,BKG Mendis,LV van Beek,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,PHKD Mendis,BKG Mendis,LV van Beek,0,0,,,,,,"",""
