version,1.7.0
info,balls_per_over,6
info,team,Timor-Leste
info,team,Indonesia
info,gender,male
info,season,2025/26
info,date,2025/11/08
info,event,Indonesia Tri-Nation T20I Series
info,match_number,4
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,umpire,Aye Min Than
info,umpire,Febri Irwanto
info,winner,Indonesia
info,winner_wickets,10
info,player,Timor-Leste,Yahya Suhail
info,player,Timor-Leste,Rahat Kazi
info,player,Timor-Leste,D Mendonca
info,player,Timor-Leste,Nazmul Huda
info,player,Timor-Leste,GF Cardos
info,player,Timor-Leste,Raihan Hossain
info,player,Timor-Leste,EDS Pimheiro
info,player,Timor-Leste,Suhail Sattar
info,player,Timor-Leste,Elias Tilman
info,player,Timor-Leste,Arif Hosen
info,player,Timor-Leste,RDS Morein
info,player,Indonesia,D Nanda
info,player,Indonesia,PR Surve
info,player,Indonesia,F Banunaek
info,player,Indonesia,J Dzulfikar
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,KD Kesuma
info,player,Indonesia,GD Arta
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,AA Rahayu
info,player,Indonesia,S Kharvi
info,player,Indonesia,DK Shetty
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,Anjar Tadarus,72275237
info,registry,people,Arif Hosen,a21dfb66
info,registry,people,Aye Min Than,37f3bba0
info,registry,people,D Mendonca,8c2ce459
info,registry,people,D Nanda,22651574
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,DK Shetty,65cfc56b
info,registry,people,EDS Pimheiro,88d574fd
info,registry,people,Elias Tilman,53c35b3a
info,registry,people,F Banunaek,3c8faed4
info,registry,people,Febri Irwanto,762ac6fc
info,registry,people,GD Arta,e969e580
info,registry,people,GF Cardos,09e5baeb
info,registry,people,J Dzulfikar,05ea0342
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,Nazmul Huda,837be376
info,registry,people,PR Surve,206efeb1
info,registry,people,RDS Morein,3e90fbfd
info,registry,people,Rahat Kazi,d4bebd88
info,registry,people,Raihan Hossain,3f05c34d
info,registry,people,S Kharvi,41a61623
info,registry,people,Suhail Sattar,5ffb535d
info,registry,people,Yahya Suhail,d1f14716
ball,1,0.1,Timor-Leste,Rahat Kazi,Yahya Suhail,DK Shetty,0,0,,,,,,"",""
ball,1,0.2,Timor-Leste,Rahat Kazi,Yahya Suhail,DK Shetty,0,0,,,,,,bowled,Rahat Kazi
ball,1,0.3,Timor-Leste,D Mendonca,Yahya Suhail,DK Shetty,0,0,,,,,,"",""
ball,1,0.4,Timor-Leste,D Mendonca,Yahya Suhail,DK Shetty,0,0,,,,,,"",""
ball,1,0.5,Timor-Leste,D Mendonca,Yahya Suhail,DK Shetty,1,0,,,,,,"",""
ball,1,0.6,Timor-Leste,Yahya Suhail,D Mendonca,DK Shetty,0,0,,,,,,"",""
ball,1,1.1,Timor-Leste,D Mendonca,Yahya Suhail,F Banunaek,1,0,,,,,,"",""
ball,1,1.2,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,1,1,,,,,"",""
ball,1,1.3,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,1,1,,,,,"",""
ball,1,1.4,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,0,,,,,,"",""
ball,1,1.5,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,0,,,,,,"",""
ball,1,1.6,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,1,1,,,,,"",""
ball,1,1.7,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,0,,,,,,"",""
ball,1,1.8,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,0,,,,,,"",""
ball,1,1.9,Timor-Leste,Yahya Suhail,D Mendonca,F Banunaek,0,0,,,,,,"",""
ball,1,2.1,Timor-Leste,D Mendonca,Yahya Suhail,DK Shetty,0,0,,,,,,"",""
ball,1,2.2,Timor-Leste,D Mendonca,Yahya Suhail,DK Shetty,1,0,,,,,,"",""
ball,1,2.3,Timor-Leste,Yahya Suhail,D Mendonca,DK Shetty,0,5,5,,,,,"",""
ball,1,2.4,Timor-Leste,Yahya Suhail,D Mendonca,DK Shetty,0,1,1,,,,,"",""
ball,1,2.5,Timor-Leste,Yahya Suhail,D Mendonca,DK Shetty,0,0,,,,,,"",""
