version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2024
info,date,2024/05/10
info,event,Zimbabwe tour of Bangladesh
info,match_number,4
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,Mustafizur Rahman
info,umpire,Gazi Sohel
info,umpire,Sharfuddoula
info,reserve_umpire,Masudur Rahman
info,tv_umpire,Tanvir Ahmed
info,match_referee,RS Madugalle
info,winner,Bangladesh
info,winner_runs,5
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Jaker Ali
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Tanzim Hasan Sakib
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Tanvir Islam
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,J Campbell
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,M Faraz Akram
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,R Ngarava
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Madande,3560a786
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,J Campbell,0e63259d
info,registry,people,Jaker Ali,cd56a813
info,registry,people,LM Jongwe,b8704508
info,registry,people,M Faraz Akram,38214163
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,T Marumani,3d5d51a5
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Tanvir Islam,aa467af0
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Tanzim Hasan Sakib,0b0cc297
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.3,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.4,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.6,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,1,1,,,,,"",""
ball,1,1.2,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.3,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,4,0,,,,,,"",""
ball,1,1.4,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,2,0,,,,,,"",""
ball,1,1.5,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,1,0,,,,,,"",""
ball,1,2.3,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,4,0,,,,,,"",""
ball,1,2.4,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,2,0,,,,,,"",""
ball,1,2.5,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,4,0,,,,,,"",""
ball,1,2.6,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,1,0,,,,,,"",""
ball,1,3.1,Bangladesh,Tanzid Hasan,Soumya Sarkar,R Ngarava,2,0,,,,,,"",""
ball,1,3.2,Bangladesh,Tanzid Hasan,Soumya Sarkar,R Ngarava,4,0,,,,,,"",""
ball,1,3.3,Bangladesh,Tanzid Hasan,Soumya Sarkar,R Ngarava,4,0,,,,,,"",""
ball,1,3.4,Bangladesh,Tanzid Hasan,Soumya Sarkar,R Ngarava,1,0,,,,,,"",""
