version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Ghana
info,gender,male
info,season,2023/24
info,date,2024/03/18
info,event,African Games
info,match_number,8
info,venue,"Achimota Senior Secondary School B Field, Accra"
info,city,Accra
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,S Sesazi
info,umpire,IO Oyieko
info,umpire,S Dambanevana
info,reserve_umpire,S Lackay
info,match_referee,O Chirombe
info,winner,Uganda
info,winner_runs,121
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,DM Nakrani
info,player,Uganda,K Waiswa
info,player,Uganda,R Obuya
info,player,Uganda,AR Ramjani
info,player,Uganda,B Masaba
info,player,Uganda,H Ssenyondo
info,player,Uganda,C Kyewuta
info,player,Uganda,CN Kakuru
info,player,Uganda,J Miyaji
info,player,Ghana,R Baaleri
info,player,Ghana,JK Vifah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,Devender Singh
info,player,Ghana,A Osei
info,player,Ghana,M Aboagye
info,player,Ghana,TK Joseph
info,player,Ghana,G Bakiweyem
info,player,Ghana,KS Bagabena
info,player,Ghana,L Nyarko
info,registry,people,A Osei,375322d1
info,registry,people,AR Ramjani,30d8136b
info,registry,people,B Masaba,f33cfd25
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,Devender Singh,68e21fb1
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Miyaji,414d8a10
info,registry,people,JK Vifah,a1448a10
info,registry,people,K Waiswa,a3a275ec
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,L Nyarko,c391d077
info,registry,people,M Aboagye,afe8ff08
info,registry,people,O Chirombe,6345307f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Baaleri,26c9b5be
info,registry,people,R Bakum,c74c583b
info,registry,people,R Obuya,6bc04a3e
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Lackay,d3a9aadd
info,registry,people,S Sesazi,c2c975f9
info,registry,people,TK Joseph,4fafd79a
ball,1,0.1,Uganda,RG Mukasa,S Sesazi,KS Bagabena,2,0,,,,,,"",""
ball,1,0.2,Uganda,RG Mukasa,S Sesazi,KS Bagabena,4,0,,,,,,"",""
ball,1,0.3,Uganda,RG Mukasa,S Sesazi,KS Bagabena,0,0,,,,,,"",""
ball,1,0.4,Uganda,RG Mukasa,S Sesazi,KS Bagabena,1,1,,1,,,,"",""
ball,1,0.5,Uganda,S Sesazi,RG Mukasa,KS Bagabena,4,0,,,,,,"",""
ball,1,0.6,Uganda,S Sesazi,RG Mukasa,KS Bagabena,0,0,,,,,,"",""
ball,1,0.7,Uganda,S Sesazi,RG Mukasa,KS Bagabena,0,0,,,,,,"",""
ball,1,1.1,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,1,0,,,,,,"",""
ball,1,1.2,Uganda,S Sesazi,RG Mukasa,G Bakiweyem,1,0,,,,,,"",""
ball,1,1.3,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.4,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,0,1,,1,,,,"",""
ball,1,1.5,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.6,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.7,Uganda,RG Mukasa,S Sesazi,G Bakiweyem,0,0,,,,,,"",""
ball,1,2.1,Uganda,S Sesazi,RG Mukasa,KS Bagabena,1,0,,,,,,"",""
ball,1,2.2,Uganda,RG Mukasa,S Sesazi,KS Bagabena,0,0,,,,,,"",""
ball,1,2.3,Uganda,RG Mukasa,S Sesazi,KS Bagabena,0,0,,,,,,"",""
ball,1,2.4,Uganda,RG Mukasa,S Sesazi,KS Bagabena,1,0,,,,,,"",""
ball,1,2.5,Uganda,S Sesazi,RG Mukasa,KS Bagabena,1,0,,,,,,"",""
ball,1,2.6,Uganda,RG Mukasa,S Sesazi,KS Bagabena,0,0,,,,,,"",""
ball,1,3.1,Uganda,S Sesazi,RG Mukasa,L Nyarko,0,0,,,,,,"",""
ball,1,3.2,Uganda,S Sesazi,RG Mukasa,L Nyarko,4,0,,,,,,"",""
