version,1.7.0
info,balls_per_over,6
info,team,Myanmar
info,team,Kuwait
info,gender,male
info,season,2024
info,date,2024/09/03
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,11
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Yasin Patel
info,umpire,Tabarak Dar
info,umpire,V Kalidas
info,reserve_umpire,BB Pradhan
info,match_referee,V Narayan Kutty
info,winner,Kuwait
info,winner_wickets,8
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,Khin Aye
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,Paing Danu
info,player,Myanmar,H Lin Oo
info,player,Myanmar,Swann Htet Ko Ko
info,player,Myanmar,Aung Ko Ko
info,player,Myanmar,Myat Thu Aung
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Mohamed Shafeeq
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Aung Ko Ko,648d060e
info,registry,people,BB Pradhan,8603d942
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,Paing Danu,1eb5affb
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Swann Htet Ko Ko,9ee21ee4
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Myanmar,KK Lin Thu,Pyae Phyo Wai,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.2,Myanmar,KK Lin Thu,Pyae Phyo Wai,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,0.3,Myanmar,Pyae Phyo Wai,KK Lin Thu,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.4,Myanmar,Pyae Phyo Wai,KK Lin Thu,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.5,Myanmar,Pyae Phyo Wai,KK Lin Thu,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.6,Myanmar,Pyae Phyo Wai,KK Lin Thu,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,1.1,Myanmar,Pyae Phyo Wai,KK Lin Thu,Yasin Patel,0,0,,,,,,"",""
ball,1,1.2,Myanmar,Pyae Phyo Wai,KK Lin Thu,Yasin Patel,1,0,,,,,,"",""
ball,1,1.3,Myanmar,KK Lin Thu,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,bowled,KK Lin Thu
ball,1,1.4,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,1.5,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,1.6,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,2.1,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,2.2,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.3,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,2.4,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.5,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,0,1,1,,,,,"",""
ball,1,2.6,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.7,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,3.1,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,3.2,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,3.3,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,3.4,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,3.5,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,3.6,Myanmar,Khin Aye,Pyae Phyo Wai,Yasin Patel,0,0,,,,,,"",""
ball,1,4.1,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.2,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.3,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.4,Myanmar,Pyae Phyo Wai,Khin Aye,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,4.5,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.6,Myanmar,Khin Aye,Pyae Phyo Wai,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,5.1,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,0,0,,,,,,"",""
ball,1,5.2,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,0,0,,,,,,"",""
ball,1,5.3,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,0,0,,,,,,"",""
ball,1,5.4,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,0,0,,,,,,"",""
ball,1,5.5,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,0,0,,,,,,"",""
ball,1,5.6,Myanmar,Pyae Phyo Wai,Khin Aye,MNM Aslam,1,0,,,,,,"",""
ball,1,6.1,Myanmar,Pyae Phyo Wai,Khin Aye,Shiraz Khan,0,0,,,,,,"",""
ball,1,6.2,Myanmar,Pyae Phyo Wai,Khin Aye,Shiraz Khan,0,0,,,,,,"",""
