version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/05/05
info,event,Gibraltar Tri-Nation T20I Series
info,match_number,4
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,IDM Latin
info,winner,Gibraltar
info,winner_runs,43
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,J West
info,player,Gibraltar,K Nestor
info,player,Gibraltar,A Reyes
info,player,Gibraltar,S Bodha
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,K Mirpuri
info,player,Malta,DR Patankar
info,player,Malta,Fanyan Mughal
info,player,Malta,SSM Stanislaus
info,player,Malta,N Khanna
info,player,Malta,VP Thamotharam
info,player,Malta,Aaftab Alam Khan
info,player,Malta,Jaspal Singh
info,player,Malta,Amar Sharma
info,player,Malta,A Bishnoi
info,player,Malta,Fazil Rahman
info,player,Malta,Yash Singh
info,registry,people,A Bishnoi,376557f7
info,registry,people,A Reyes,fd2b8c06
info,registry,people,Aaftab Alam Khan,9dbc77b3
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,BA Pai,716bf559
info,registry,people,DR Patankar,e661915c
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,Fazil Rahman,d18b7f34
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,J West,1d1c6410
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,L Bruce,2a03bd2f
info,registry,people,N Khanna,0ec6a7c3
info,registry,people,S Bodha,00467a76
info,registry,people,SSM Stanislaus,34dd3fd9
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Yash Singh,7adc2d68
ball,1,0.1,Gibraltar,BA Pai,L Bruce,A Bishnoi,1,0,,,,,,"",""
ball,1,0.2,Gibraltar,L Bruce,BA Pai,A Bishnoi,0,1,1,,,,,"",""
ball,1,0.3,Gibraltar,L Bruce,BA Pai,A Bishnoi,0,1,1,,,,,"",""
ball,1,0.4,Gibraltar,L Bruce,BA Pai,A Bishnoi,0,0,,,,,,"",""
ball,1,0.5,Gibraltar,L Bruce,BA Pai,A Bishnoi,0,1,1,,,,,"",""
ball,1,0.6,Gibraltar,L Bruce,BA Pai,A Bishnoi,1,0,,,,,,"",""
ball,1,0.7,Gibraltar,BA Pai,L Bruce,A Bishnoi,4,0,,,,,,"",""
ball,1,0.8,Gibraltar,BA Pai,L Bruce,A Bishnoi,0,0,,,,,,"",""
ball,1,0.9,Gibraltar,BA Pai,L Bruce,A Bishnoi,2,0,,,,,,"",""
ball,1,1.1,Gibraltar,L Bruce,BA Pai,Fanyan Mughal,0,1,1,,,,,"",""
ball,1,1.2,Gibraltar,L Bruce,BA Pai,Fanyan Mughal,0,0,,,,,,"",""
ball,1,1.3,Gibraltar,L Bruce,BA Pai,Fanyan Mughal,0,0,,,,,,"",""
ball,1,1.4,Gibraltar,L Bruce,BA Pai,Fanyan Mughal,1,0,,,,,,"",""
ball,1,1.5,Gibraltar,BA Pai,L Bruce,Fanyan Mughal,0,0,,,,,,"",""
ball,1,1.6,Gibraltar,BA Pai,L Bruce,Fanyan Mughal,1,0,,,,,,"",""
ball,1,1.7,Gibraltar,L Bruce,BA Pai,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.1,Gibraltar,BA Pai,L Bruce,A Bishnoi,0,0,,,,,,"",""
ball,1,2.2,Gibraltar,BA Pai,L Bruce,A Bishnoi,6,0,,,,,,"",""
ball,1,2.3,Gibraltar,BA Pai,L Bruce,A Bishnoi,0,1,1,,,,,"",""
ball,1,2.4,Gibraltar,BA Pai,L Bruce,A Bishnoi,1,0,,,,,,"",""
ball,1,2.5,Gibraltar,L Bruce,BA Pai,A Bishnoi,4,0,,,,,,"",""
