version,1.7.0
info,balls_per_over,6
info,team,St Helena
info,team,Botswana
info,gender,male
info,season,2024/25
info,date,2024/11/27
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
info,match_number,11
info,venue,"Nigeria Cricket Federation Oval 1, Abuja"
info,city,Abuja
info,toss_winner,St Helena
info,toss_decision,bat
info,player_of_match,K Motlanka
info,umpire,A Louw
info,umpire,Stephen Harris
info,reserve_umpire,D Odhiambo
info,match_referee,O Chirombe
info,winner,Botswana
info,winner_wickets,9
info,player,St Helena,S Crowie
info,player,St Helena,A Yon
info,player,St Helena,Delroy Leo
info,player,St Helena,AR Leo
info,player,St Helena,D Young
info,player,St Helena,CR Richards
info,player,St Helena,J Thomas
info,player,St Helena,B Isaac
info,player,St Helena,Dane Leo
info,player,St Helena,BK Stroud
info,player,St Helena,J Yon
info,player,Botswana,K Motlanka
info,player,Botswana,V Balakrishnan
info,player,Botswana,V Mbazo
info,player,Botswana,R Nehonde
info,player,Botswana,M Kasselman
info,player,Botswana,T Tshose
info,player,Botswana,T Perera
info,player,Botswana,K Piet
info,player,Botswana,B Khumalo
info,player,Botswana,B Kgosiemang
info,player,Botswana,M Mooketsi
info,registry,people,A Louw,5eecae5d
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,B Isaac,2c14421f
info,registry,people,B Kgosiemang,059ec7a5
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,BK Stroud,6577a6ad
info,registry,people,CR Richards,c10a581f
info,registry,people,D Odhiambo,45994517
info,registry,people,D Young,5d9d83e6
info,registry,people,Dane Leo,391d8a48
info,registry,people,Delroy Leo,e71f511e
info,registry,people,J Thomas,11b785d6
info,registry,people,J Yon,ecd41f8c
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,M Kasselman,c6889eb6
info,registry,people,M Mooketsi,008a024c
info,registry,people,O Chirombe,6345307f
info,registry,people,R Nehonde,4393e047
info,registry,people,S Crowie,4040951f
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Perera,456397e5
info,registry,people,T Tshose,18ae55e4
info,registry,people,V Balakrishnan,0c1da0c4
info,registry,people,V Mbazo,a2317d14
ball,1,0.1,St Helena,S Crowie,A Yon,B Khumalo,0,0,,,,,,"",""
ball,1,0.2,St Helena,S Crowie,A Yon,B Khumalo,4,0,,,,,,"",""
ball,1,0.3,St Helena,S Crowie,A Yon,B Khumalo,0,1,,1,,,,"",""
ball,1,0.4,St Helena,S Crowie,A Yon,B Khumalo,0,0,,,,,,"",""
ball,1,0.5,St Helena,S Crowie,A Yon,B Khumalo,0,0,,,,,,"",""
ball,1,0.6,St Helena,S Crowie,A Yon,B Khumalo,0,0,,,,,,"",""
ball,1,0.7,St Helena,S Crowie,A Yon,B Khumalo,0,1,,1,,,,"",""
ball,1,0.8,St Helena,S Crowie,A Yon,B Khumalo,4,0,,,,,,"",""
ball,1,1.1,St Helena,A Yon,S Crowie,T Perera,0,0,,,,,,caught,A Yon
ball,1,1.2,St Helena,Delroy Leo,S Crowie,T Perera,0,0,,,,,,"",""
ball,1,1.3,St Helena,Delroy Leo,S Crowie,T Perera,0,0,,,,,,"",""
ball,1,1.4,St Helena,Delroy Leo,S Crowie,T Perera,0,1,,,,1,,"",""
ball,1,1.5,St Helena,S Crowie,Delroy Leo,T Perera,0,1,1,,,,,"",""
ball,1,1.6,St Helena,S Crowie,Delroy Leo,T Perera,0,0,,,,,,"",""
ball,1,1.7,St Helena,S Crowie,Delroy Leo,T Perera,0,1,1,,,,,"",""
ball,1,1.8,St Helena,S Crowie,Delroy Leo,T Perera,0,0,,,,,,"",""
ball,1,2.1,St Helena,Delroy Leo,S Crowie,T Tshose,1,0,,,,,,"",""
ball,1,2.2,St Helena,S Crowie,Delroy Leo,T Tshose,0,0,,,,,,"",""
ball,1,2.3,St Helena,S Crowie,Delroy Leo,T Tshose,4,0,,,,,,"",""
ball,1,2.4,St Helena,S Crowie,Delroy Leo,T Tshose,0,0,,,,,,"",""
ball,1,2.5,St Helena,S Crowie,Delroy Leo,T Tshose,1,0,,,,,,"",""
ball,1,2.6,St Helena,Delroy Leo,S Crowie,T Tshose,0,1,,,,1,,"",""
ball,1,3.1,St Helena,Delroy Leo,S Crowie,T Perera,1,0,,,,,,"",""
ball,1,3.2,St Helena,S Crowie,Delroy Leo,T Perera,0,1,1,,,,,"",""
