version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,South Africa
info,gender,female
info,season,2024/25
info,date,2024/10/17
info,event,ICC Women's T20 World Cup
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,A Bosch
info,umpire,JM Williams
info,umpire,N Perera
info,reserve_umpire,Kim Cotton
info,tv_umpire,AY Harris
info,match_referee,JM Pereira
info,winner,South Africa
info,winner_wickets,8
info,player,Australia,GM Harris
info,player,Australia,BL Mooney
info,player,Australia,G Wareham
info,player,Australia,TM McGrath
info,player,Australia,EA Perry
info,player,Australia,P Litchfield
info,player,Australia,A Gardner
info,player,Australia,A Sutherland
info,player,Australia,S Molineux
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,A Bosch
info,player,South Africa,CL Tryon
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,A Dercksen
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Gardner,bc969efb
info,registry,people,A Khaka,0d518f89
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AY Harris,90d95b82
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CL Tryon,4d4605e6
info,registry,people,D Brown,2e81be88
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,JM Pereira,f9a4a039
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Molineux,99e23670
info,registry,people,T Brits,06659caa
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Australia,GM Harris,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,0.2,Australia,GM Harris,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,0.3,Australia,GM Harris,BL Mooney,M Kapp,2,0,,,,,,"",""
ball,1,0.4,Australia,GM Harris,BL Mooney,M Kapp,1,0,,,,,,"",""
ball,1,0.5,Australia,BL Mooney,GM Harris,M Kapp,0,4,,,4,,,"",""
ball,1,0.6,Australia,BL Mooney,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.1,Australia,GM Harris,BL Mooney,A Khaka,0,0,,,,,,caught,GM Harris
ball,1,1.2,Australia,G Wareham,BL Mooney,A Khaka,0,0,,,,,,"",""
ball,1,1.3,Australia,G Wareham,BL Mooney,A Khaka,0,0,,,,,,"",""
ball,1,1.4,Australia,G Wareham,BL Mooney,A Khaka,1,0,,,,,,"",""
ball,1,1.5,Australia,BL Mooney,G Wareham,A Khaka,0,1,1,,,,,"",""
ball,1,1.6,Australia,BL Mooney,G Wareham,A Khaka,0,0,,,,,,"",""
ball,1,1.7,Australia,BL Mooney,G Wareham,A Khaka,1,0,,,,,,"",""
ball,1,2.1,Australia,BL Mooney,G Wareham,M Kapp,3,0,,,,,,"",""
ball,1,2.2,Australia,G Wareham,BL Mooney,M Kapp,0,1,,1,,,,"",""
ball,1,2.3,Australia,G Wareham,BL Mooney,M Kapp,4,0,,,,,,"",""
ball,1,2.4,Australia,G Wareham,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,2.5,Australia,G Wareham,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,2.6,Australia,G Wareham,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,2.7,Australia,G Wareham,BL Mooney,M Kapp,0,0,,,,,,caught,G Wareham
ball,1,3.1,Australia,BL Mooney,TM McGrath,A Khaka,1,0,,,,,,"",""
ball,1,3.2,Australia,TM McGrath,BL Mooney,A Khaka,1,0,,,,,,"",""
ball,1,3.3,Australia,BL Mooney,TM McGrath,A Khaka,1,0,,,,,,"",""
ball,1,3.4,Australia,TM McGrath,BL Mooney,A Khaka,0,0,,,,,,"",""
