version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,South Korea
info,gender,female
info,season,2024/25
info,date,2024/10/12
info,event,Women's East Asia Cup
info,match_number,10
info,venue,"Yeonhui Cricket Ground, Incheon"
info,city,Incheon
info,toss_winner,Hong Kong
info,toss_decision,bat
info,player_of_match,M Wai Siu
info,umpire,Raja Shoaib
info,umpire,Shahid Gill
info,winner,Hong Kong
info,winner_runs,70
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Fatima Amir
info,player,Hong Kong,WK Lai
info,player,South Korea,Seri Chang
info,player,South Korea,Seungmin Song
info,player,South Korea,Kim Rang
info,player,South Korea,Sinae Kim
info,player,South Korea,Jiyeon Park
info,player,South Korea,Hyejin Park
info,player,South Korea,Lee Ra
info,player,South Korea,Jiyeon Park (2)
info,player,South Korea,Haliam Kwon
info,player,South Korea,Jeon Myeong
info,player,South Korea,Jang Jin
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Fatima Amir,ba05b211
info,registry,people,Haliam Kwon,87923c78
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Hyejin Park,c3e3d7e7
info,registry,people,Jang Jin,422e179e
info,registry,people,Jeon Myeong,68b9e5ea
info,registry,people,Jiyeon Park,664ad13f
info,registry,people,Jiyeon Park (2),e26f2fe5
info,registry,people,Kim Rang,0cf4b7fe
info,registry,people,Lee Ra,de92dc24
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,Raja Shoaib,7b0ea09e
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,Seri Chang,1f87b800
info,registry,people,Seungmin Song,38476559
info,registry,people,Shahid Gill,e96950b7
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Sinae Kim,60c76b34
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Hong Kong,NT Miles,M Hill,Seungmin Song,0,0,,,,,,"",""
ball,1,0.2,Hong Kong,NT Miles,M Hill,Seungmin Song,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,NT Miles,M Hill,Seungmin Song,0,1,1,,,,,"",""
ball,1,0.4,Hong Kong,NT Miles,M Hill,Seungmin Song,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,NT Miles,M Hill,Seungmin Song,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,NT Miles,M Hill,Seungmin Song,1,0,,,,,,"",""
ball,1,0.7,Hong Kong,M Hill,NT Miles,Seungmin Song,2,0,,,,,,"",""
ball,1,1.1,Hong Kong,NT Miles,M Hill,Seri Chang,0,1,1,,,,,"",""
ball,1,1.2,Hong Kong,NT Miles,M Hill,Seri Chang,2,0,,,,,,"",""
ball,1,1.3,Hong Kong,NT Miles,M Hill,Seri Chang,0,1,1,,,,,"",""
ball,1,1.4,Hong Kong,NT Miles,M Hill,Seri Chang,0,0,,,,,,"",""
ball,1,1.5,Hong Kong,NT Miles,M Hill,Seri Chang,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,NT Miles,M Hill,Seri Chang,0,0,,,,,,"",""
ball,1,1.7,Hong Kong,NT Miles,M Hill,Seri Chang,2,0,,,,,,"",""
ball,1,1.8,Hong Kong,NT Miles,M Hill,Seri Chang,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,M Hill,NT Miles,Seungmin Song,0,1,1,,,,,"",""
ball,1,2.2,Hong Kong,M Hill,NT Miles,Seungmin Song,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,M Hill,NT Miles,Seungmin Song,2,0,,,,,,"",""
ball,1,2.4,Hong Kong,M Hill,NT Miles,Seungmin Song,0,0,,,,,,"",""
ball,1,2.5,Hong Kong,M Hill,NT Miles,Seungmin Song,2,0,,,,,,"",""
ball,1,2.6,Hong Kong,M Hill,NT Miles,Seungmin Song,0,0,,,,,,"",""
ball,1,2.7,Hong Kong,M Hill,NT Miles,Seungmin Song,2,0,,,,,,"",""
ball,1,3.1,Hong Kong,NT Miles,M Hill,Seri Chang,0,0,,,,,,"",""
