version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,Bangladesh
info,gender,female
info,season,2023/24
info,date,2024/04/02
info,event,Australia Women tour of Bangladesh
info,match_number,2
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,G Wareham
info,umpire,Morshed Ali Khan
info,umpire,VG Rathi
info,reserve_umpire,Rokeya Sultana
info,tv_umpire,Shathira Jakir
info,match_referee,Akhtar Ahmad
info,winner,Australia
info,winner_runs,58
info,player,Australia,GM Harris
info,player,Australia,P Litchfield
info,player,Australia,G Wareham
info,player,Australia,A Gardner
info,player,Australia,TM McGrath
info,player,Australia,EA Perry
info,player,Australia,A Sutherland
info,player,Australia,S Molineux
info,player,Australia,BL Mooney
info,player,Australia,AJ Healy
info,player,Australia,ML Schutt
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Shorifa Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Fariha Trisna
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,EA Perry,be150fc8
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fariha Trisna,7b51bfa4
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,ML Schutt,17608a6f
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Molineux,99e23670
info,registry,people,S Mostary,94de63bf
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorifa Khatun,36d2face
info,registry,people,Shorna Akter,89895ae1
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,Australia,GM Harris,P Litchfield,Fariha Trisna,0,0,,,,,,"",""
ball,1,0.2,Australia,GM Harris,P Litchfield,Fariha Trisna,1,0,,,,,,"",""
ball,1,0.3,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,0.4,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,0.5,Australia,P Litchfield,GM Harris,Fariha Trisna,2,0,,,,,,"",""
ball,1,0.6,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,1.1,Australia,GM Harris,P Litchfield,Marufa Akter,4,0,,,,,,"",""
ball,1,1.2,Australia,GM Harris,P Litchfield,Marufa Akter,0,0,,,,,,"",""
ball,1,1.3,Australia,GM Harris,P Litchfield,Marufa Akter,0,0,,,,,,"",""
ball,1,1.4,Australia,GM Harris,P Litchfield,Marufa Akter,4,0,,,,,,"",""
ball,1,1.5,Australia,GM Harris,P Litchfield,Marufa Akter,4,0,,,,,,"",""
ball,1,1.6,Australia,GM Harris,P Litchfield,Marufa Akter,0,0,,,,,,"",""
ball,1,2.1,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,2.2,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,2.3,Australia,P Litchfield,GM Harris,Fariha Trisna,0,0,,,,,,caught,P Litchfield
ball,1,2.4,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,2.5,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,2.6,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,3.1,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,3.2,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,3.3,Australia,GM Harris,G Wareham,Nahida Akter,1,0,,,,,,"",""
ball,1,3.4,Australia,G Wareham,GM Harris,Nahida Akter,1,0,,,,,,"",""
ball,1,3.5,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,3.6,Australia,GM Harris,G Wareham,Nahida Akter,2,0,,,,,,"",""
ball,1,4.1,Australia,G Wareham,GM Harris,Fariha Trisna,4,0,,,,,,"",""
ball,1,4.2,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,4.3,Australia,G Wareham,GM Harris,Fariha Trisna,4,0,,,,,,"",""
ball,1,4.4,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,4.5,Australia,G Wareham,GM Harris,Fariha Trisna,0,0,,,,,,"",""
ball,1,4.6,Australia,G Wareham,GM Harris,Fariha Trisna,2,0,,,,,,"",""
ball,1,5.1,Australia,GM Harris,G Wareham,Nahida Akter,4,0,,,,,,"",""
ball,1,5.2,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,5.3,Australia,GM Harris,G Wareham,Nahida Akter,2,0,,,,,,"",""
ball,1,5.4,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,5.5,Australia,GM Harris,G Wareham,Nahida Akter,1,0,,,,,,"",""
ball,1,5.6,Australia,G Wareham,GM Harris,Nahida Akter,4,0,,,,,,"",""
ball,1,6.1,Australia,GM Harris,G Wareham,Rabeya Khan,4,0,,,,,,"",""
ball,1,6.2,Australia,GM Harris,G Wareham,Rabeya Khan,1,0,,,,,,"",""
ball,1,6.3,Australia,G Wareham,GM Harris,Rabeya Khan,4,0,,,,,,"",""
ball,1,6.4,Australia,G Wareham,GM Harris,Rabeya Khan,0,0,,,,,,"",""
ball,1,6.5,Australia,G Wareham,GM Harris,Rabeya Khan,1,0,,,,,,"",""
ball,1,6.6,Australia,GM Harris,G Wareham,Rabeya Khan,1,0,,,,,,"",""
ball,1,7.1,Australia,GM Harris,G Wareham,Shorna Akter,6,0,,,,,,"",""
ball,1,7.2,Australia,GM Harris,G Wareham,Shorna Akter,1,0,,,,,,"",""
ball,1,7.3,Australia,G Wareham,GM Harris,Shorna Akter,4,0,,,,,,"",""
ball,1,7.4,Australia,G Wareham,GM Harris,Shorna Akter,4,0,,,,,,"",""
ball,1,7.5,Australia,G Wareham,GM Harris,Shorna Akter,4,0,,,,,,"",""
ball,1,7.6,Australia,G Wareham,GM Harris,Shorna Akter,1,0,,,,,,"",""
ball,1,8.1,Australia,G Wareham,GM Harris,Marufa Akter,1,0,,,,,,"",""
ball,1,8.2,Australia,GM Harris,G Wareham,Marufa Akter,0,0,,,,,,"",""
ball,1,8.3,Australia,GM Harris,G Wareham,Marufa Akter,4,0,,,,,,"",""
ball,1,8.4,Australia,GM Harris,G Wareham,Marufa Akter,1,0,,,,,,"",""
ball,1,8.5,Australia,G Wareham,GM Harris,Marufa Akter,4,0,,,,,,"",""
ball,1,8.6,Australia,G Wareham,GM Harris,Marufa Akter,3,0,,,,,,"",""
ball,1,9.1,Australia,G Wareham,GM Harris,Fahima Khatun,2,0,,,,,,"",""
ball,1,9.2,Australia,G Wareham,GM Harris,Fahima Khatun,0,0,,,,,,"",""
ball,1,9.3,Australia,G Wareham,GM Harris,Fahima Khatun,2,0,,,,,,"",""
ball,1,9.4,Australia,G Wareham,GM Harris,Fahima Khatun,1,0,,,,,,"",""
ball,1,9.5,Australia,GM Harris,G Wareham,Fahima Khatun,1,0,,,,,,"",""
ball,1,9.6,Australia,G Wareham,GM Harris,Fahima Khatun,4,0,,,,,,"",""
ball,1,10.1,Australia,GM Harris,G Wareham,Shorifa Khatun,2,0,,,,,,"",""
ball,1,10.2,Australia,GM Harris,G Wareham,Shorifa Khatun,1,0,,,,,,"",""
ball,1,10.3,Australia,G Wareham,GM Harris,Shorifa Khatun,2,0,,,,,,"",""
ball,1,10.4,Australia,G Wareham,GM Harris,Shorifa Khatun,4,0,,,,,,"",""
ball,1,10.5,Australia,G Wareham,GM Harris,Shorifa Khatun,1,0,,,,,,"",""
ball,1,10.6,Australia,GM Harris,G Wareham,Shorifa Khatun,1,0,,,,,,"",""
ball,1,11.1,Australia,GM Harris,G Wareham,Nahida Akter,0,0,,,,,,"",""
ball,1,11.2,Australia,GM Harris,G Wareham,Nahida Akter,1,0,,,,,,"",""
ball,1,11.3,Australia,G Wareham,GM Harris,Nahida Akter,0,0,,,,,,caught,G Wareham
ball,1,11.4,Australia,A Gardner,GM Harris,Nahida Akter,0,0,,,,,,"",""
ball,1,11.5,Australia,A Gardner,GM Harris,Nahida Akter,1,0,,,,,,"",""
ball,1,11.6,Australia,GM Harris,A Gardner,Nahida Akter,0,0,,,,,,"",""
ball,1,12.1,Australia,A Gardner,GM Harris,Fahima Khatun,4,0,,,,,,"",""
ball,1,12.2,Australia,A Gardner,GM Harris,Fahima Khatun,0,0,,,,,,caught and bowled,A Gardner
ball,1,12.3,Australia,TM McGrath,GM Harris,Fahima Khatun,2,0,,,,,,"",""
