version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,West Indies
info,gender,male
info,season,2024/25
info,date,2024/10/13
info,event,West Indies tour of Sri Lanka
info,match_number,1
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,BA King
info,umpire,RR Wimalasiri
info,umpire,RSA Palliyaguruge
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,LE Hannibal
info,match_referee,RS Madugalle
info,winner,West Indies
info,winner_wickets,5
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Wickramasinghe
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,AM Fernando
info,player,West Indies,BA King
info,player,West Indies,E Lewis
info,player,West Indies,SD Hope
info,player,West Indies,RL Chase
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,R Shepherd
info,player,West Indies,SK Springer
info,player,West Indies,AS Joseph
info,player,West Indies,S Joseph
info,player,West Indies,G Motie
info,registry,people,AM Fernando,de3d549a
info,registry,people,AS Joseph,b0946605
info,registry,people,BA King,7fca84b7
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Wickramasinghe,a5c48ed1
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,G Motie,97bdec3d
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RL Chase,3feda4fa
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Joseph,97290faf
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SK Springer,4175d211
ball,1,0.1,Sri Lanka,P Nissanka,BKG Mendis,AS Joseph,1,0,,,,,,"",""
ball,1,0.2,Sri Lanka,BKG Mendis,P Nissanka,AS Joseph,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,BKG Mendis,P Nissanka,AS Joseph,0,1,1,,,,,"",""
ball,1,0.4,Sri Lanka,BKG Mendis,P Nissanka,AS Joseph,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,BKG Mendis,P Nissanka,AS Joseph,3,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,BKG Mendis,AS Joseph,0,1,,,,1,,"",""
ball,1,0.7,Sri Lanka,BKG Mendis,P Nissanka,AS Joseph,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,2,0,,,,,,"",""
ball,1,1.3,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,0,1,1,,,,,"",""
ball,1,1.5,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,P Nissanka,BKG Mendis,S Joseph,0,1,,,,1,,"",""
ball,1,1.7,Sri Lanka,BKG Mendis,P Nissanka,S Joseph,1,0,,,,,,"",""
ball,1,2.1,Sri Lanka,BKG Mendis,P Nissanka,R Shepherd,1,0,,,,,,"",""
ball,1,2.2,Sri Lanka,P Nissanka,BKG Mendis,R Shepherd,4,0,,,,,,"",""
ball,1,2.3,Sri Lanka,P Nissanka,BKG Mendis,R Shepherd,4,0,,,,,,"",""
ball,1,2.4,Sri Lanka,P Nissanka,BKG Mendis,R Shepherd,0,0,,,,,,caught,P Nissanka
ball,1,2.5,Sri Lanka,MDKJ Perera,BKG Mendis,R Shepherd,2,0,,,,,,"",""
ball,1,2.6,Sri Lanka,MDKJ Perera,BKG Mendis,R Shepherd,4,0,,,,,,"",""
ball,1,3.1,Sri Lanka,BKG Mendis,MDKJ Perera,S Joseph,1,0,,,,,,"",""
ball,1,3.2,Sri Lanka,MDKJ Perera,BKG Mendis,S Joseph,0,0,,,,,,bowled,MDKJ Perera
ball,1,3.3,Sri Lanka,PHKD Mendis,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,3.4,Sri Lanka,PHKD Mendis,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,3.5,Sri Lanka,PHKD Mendis,BKG Mendis,S Joseph,0,0,,,,,,"",""
ball,1,3.6,Sri Lanka,PHKD Mendis,BKG Mendis,S Joseph,4,0,,,,,,"",""
ball,1,4.1,Sri Lanka,BKG Mendis,PHKD Mendis,AS Joseph,0,0,,,,,,"",""
ball,1,4.2,Sri Lanka,BKG Mendis,PHKD Mendis,AS Joseph,6,0,,,,,,"",""
ball,1,4.3,Sri Lanka,BKG Mendis,PHKD Mendis,AS Joseph,4,0,,,,,,"",""
ball,1,4.4,Sri Lanka,BKG Mendis,PHKD Mendis,AS Joseph,1,0,,,,,,"",""
ball,1,4.5,Sri Lanka,PHKD Mendis,BKG Mendis,AS Joseph,0,0,,,,,,"",""
ball,1,4.6,Sri Lanka,PHKD Mendis,BKG Mendis,AS Joseph,1,0,,,,,,"",""
ball,1,5.1,Sri Lanka,PHKD Mendis,BKG Mendis,R Shepherd,4,0,,,,,,"",""
ball,1,5.2,Sri Lanka,PHKD Mendis,BKG Mendis,R Shepherd,1,0,,,,,,"",""
ball,1,5.3,Sri Lanka,BKG Mendis,PHKD Mendis,R Shepherd,1,0,,,,,,"",""
ball,1,5.4,Sri Lanka,PHKD Mendis,BKG Mendis,R Shepherd,0,0,,,,,,"",""
ball,1,5.5,Sri Lanka,PHKD Mendis,BKG Mendis,R Shepherd,4,0,,,,,,"",""
ball,1,5.6,Sri Lanka,PHKD Mendis,BKG Mendis,R Shepherd,1,0,,,,,,"",""
ball,1,6.1,Sri Lanka,PHKD Mendis,BKG Mendis,RL Chase,1,0,,,,,,"",""
ball,1,6.2,Sri Lanka,BKG Mendis,PHKD Mendis,RL Chase,1,0,,,,,,"",""
ball,1,6.3,Sri Lanka,PHKD Mendis,BKG Mendis,RL Chase,0,0,,,,,,"",""
ball,1,6.4,Sri Lanka,PHKD Mendis,BKG Mendis,RL Chase,2,0,,,,,,"",""
ball,1,6.5,Sri Lanka,PHKD Mendis,BKG Mendis,RL Chase,0,0,,,,,,"",""
ball,1,6.6,Sri Lanka,PHKD Mendis,BKG Mendis,RL Chase,0,0,,,,,,"",""
ball,1,7.1,Sri Lanka,BKG Mendis,PHKD Mendis,G Motie,0,0,,,,,,"",""
ball,1,7.2,Sri Lanka,BKG Mendis,PHKD Mendis,G Motie,0,0,,,,,,"",""
ball,1,7.3,Sri Lanka,BKG Mendis,PHKD Mendis,G Motie,0,0,,,,,,bowled,BKG Mendis
ball,1,7.4,Sri Lanka,KIC Asalanka,PHKD Mendis,G Motie,1,0,,,,,,"",""
ball,1,7.5,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,1,0,,,,,,"",""
ball,1,7.6,Sri Lanka,KIC Asalanka,PHKD Mendis,G Motie,0,0,,,,,,"",""
ball,1,8.1,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,2,0,,,,,,"",""
ball,1,8.2,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,1,0,,,,,,"",""
ball,1,8.3,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,0,0,,,,,,"",""
ball,1,8.4,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,1,0,,,,,,"",""
ball,1,8.5,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,4,0,,,,,,"",""
ball,1,8.6,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,1,0,,,,,,"",""
ball,1,9.1,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,0,0,,,,,,"",""
ball,1,9.2,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,4,0,,,,,,"",""
ball,1,9.3,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,2,0,,,,,,"",""
ball,1,9.4,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,1,0,,,,,,"",""
ball,1,9.5,Sri Lanka,KIC Asalanka,PHKD Mendis,G Motie,1,0,,,,,,"",""
ball,1,9.6,Sri Lanka,PHKD Mendis,KIC Asalanka,G Motie,6,0,,,,,,"",""
ball,1,10.1,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,1,0,,,,,,"",""
ball,1,10.2,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,1,0,,,,,,"",""
ball,1,10.3,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,4,0,,,,,,"",""
ball,1,10.4,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,1,0,,,,,,"",""
ball,1,10.5,Sri Lanka,PHKD Mendis,KIC Asalanka,RL Chase,1,0,,,,,,"",""
ball,1,10.6,Sri Lanka,KIC Asalanka,PHKD Mendis,RL Chase,1,0,,,,,,"",""
ball,1,11.1,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,0,0,,,,,,"",""
ball,1,11.2,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,4,0,,,,,,"",""
ball,1,11.3,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,4,0,,,,,,"",""
ball,1,11.4,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,4,0,,,,,,"",""
ball,1,11.5,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,2,0,,,,,,"",""
ball,1,11.6,Sri Lanka,KIC Asalanka,PHKD Mendis,SK Springer,0,0,,,,,,"",""
ball,1,12.1,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,0,,,,,,"",""
ball,1,12.2,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,0,,,,,,"",""
ball,1,12.3,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,1,1,,,,,"",""
ball,1,12.4,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,0,,,,,,"",""
ball,1,12.5,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,6,0,,,,,,"",""
ball,1,12.6,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,1,1,,,,,"",""
ball,1,12.7,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,0,,,,,,"",""
ball,1,12.8,Sri Lanka,PHKD Mendis,KIC Asalanka,S Joseph,0,0,,,,,,"",""
ball,1,13.1,Sri Lanka,KIC Asalanka,PHKD Mendis,R Shepherd,1,0,,,,,,"",""
ball,1,13.2,Sri Lanka,PHKD Mendis,KIC Asalanka,R Shepherd,1,0,,,,,,"",""
ball,1,13.3,Sri Lanka,KIC Asalanka,PHKD Mendis,R Shepherd,1,0,,,,,,"",""
ball,1,13.4,Sri Lanka,PHKD Mendis,KIC Asalanka,R Shepherd,1,0,,,,,,"",""
