version,1.7.0
info,balls_per_over,6
info,team,Ghana
info,team,Sierra Leone
info,gender,male
info,season,2023/24
info,date,2023/10/14
info,event,West Africa Trophy
info,match_number,18
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Sierra Leone
info,toss_decision,field
info,umpire,D Odhiambo
info,umpire,T Oladunjoye
info,reserve_umpire,Habib Enesi
info,match_referee,Tonye Timinadi
info,winner,Ghana
info,winner_runs,5
info,player,Ghana,R Bakum
info,player,Ghana,SK Awiah
info,player,Ghana,KM Awala
info,player,Ghana,OH Agbomadzie
info,player,Ghana,TK Joseph
info,player,Ghana,M Aboagye
info,player,Ghana,DK Anefie
info,player,Ghana,G Bakiweyem
info,player,Ghana,KS Bagabena
info,player,Ghana,Aziz Sualley
info,player,Ghana,Syed Aqeel Israr
info,player,Sierra Leone,A Kainessie
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,M Kpaka
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,I Kamara
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,S Conteh
info,registry,people,A Kainessie,c7acf05f
info,registry,people,A Turay,11a22126
info,registry,people,Aziz Sualley,118b0a7c
info,registry,people,C Bah,7213d757
info,registry,people,D Odhiambo,45994517
info,registry,people,DK Anefie,f98c24ec
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Kamara,38702fb5
info,registry,people,J Bangura,d7acab5d
info,registry,people,KM Awala,c6c7d01b
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,L Lamin,5a970aab
info,registry,people,M Aboagye,afe8ff08
info,registry,people,M Kpaka,c381cec5
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Bakum,c74c583b
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Syed Aqeel Israr,4286e899
info,registry,people,T Oladunjoye,a6348da2
info,registry,people,TK Joseph,4fafd79a
info,registry,people,Tonye Timinadi,5cc0fccb
ball,1,0.1,Ghana,R Bakum,SK Awiah,S Conteh,1,0,,,,,,"",""
ball,1,0.2,Ghana,SK Awiah,R Bakum,S Conteh,0,0,,,,,,"",""
ball,1,0.3,Ghana,SK Awiah,R Bakum,S Conteh,0,0,,,,,,"",""
ball,1,0.4,Ghana,SK Awiah,R Bakum,S Conteh,0,0,,,,,,"",""
ball,1,0.5,Ghana,SK Awiah,R Bakum,S Conteh,4,0,,,,,,"",""
ball,1,0.6,Ghana,SK Awiah,R Bakum,S Conteh,0,0,,,,,,"",""
ball,1,1.1,Ghana,R Bakum,SK Awiah,G Sesay,0,0,,,,,,"",""
ball,1,1.2,Ghana,R Bakum,SK Awiah,G Sesay,2,0,,,,,,"",""
ball,1,1.3,Ghana,R Bakum,SK Awiah,G Sesay,1,0,,,,,,"",""
ball,1,1.4,Ghana,SK Awiah,R Bakum,G Sesay,0,0,,,,,,"",""
ball,1,1.5,Ghana,SK Awiah,R Bakum,G Sesay,0,0,,,,,,"",""
ball,1,1.6,Ghana,SK Awiah,R Bakum,G Sesay,0,0,,,,,,"",""
ball,1,2.1,Ghana,R Bakum,SK Awiah,S Conteh,1,0,,,,,,"",""
ball,1,2.2,Ghana,SK Awiah,R Bakum,S Conteh,1,0,,,,,,"",""
ball,1,2.3,Ghana,R Bakum,SK Awiah,S Conteh,1,0,,,,,,"",""
ball,1,2.4,Ghana,SK Awiah,R Bakum,S Conteh,0,1,,,,1,,"",""
ball,1,2.5,Ghana,R Bakum,SK Awiah,S Conteh,1,0,,,,,,"",""
ball,1,2.6,Ghana,SK Awiah,R Bakum,S Conteh,2,0,,,,,,"",""
ball,1,3.1,Ghana,R Bakum,SK Awiah,G Sesay,1,0,,,,,,"",""
ball,1,3.2,Ghana,SK Awiah,R Bakum,G Sesay,0,0,,,,,,bowled,SK Awiah
ball,1,3.3,Ghana,KM Awala,R Bakum,G Sesay,0,0,,,,,,"",""
ball,1,3.4,Ghana,KM Awala,R Bakum,G Sesay,0,0,,,,,,"",""
ball,1,3.5,Ghana,KM Awala,R Bakum,G Sesay,1,0,,,,,,"",""
ball,1,3.6,Ghana,R Bakum,KM Awala,G Sesay,2,0,,,,,,"",""
ball,1,4.1,Ghana,KM Awala,R Bakum,S Conteh,0,1,1,,,,,"",""
