version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Bangladesh
info,gender,female
info,season,2022/23
info,date,2022/12/02
info,event,Bangladesh Women tour of New Zealand
info,match_number,1
info,venue,"Hagley Oval, Christchurch"
info,city,Christchurch
info,toss_winner,New Zealand
info,toss_decision,bat
info,umpire,C Black
info,umpire,JM Dempsey
info,reserve_umpire,C High
info,tv_umpire,Kim Cotton
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_runs,132
info,player,New Zealand,SFM Devine
info,player,New Zealand,SW Bates
info,player,New Zealand,AC Kerr
info,player,New Zealand,ML Green
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,LR Down
info,player,New Zealand,HNK Jensen
info,player,New Zealand,GE Plimmer
info,player,New Zealand,JT McFadyen
info,player,New Zealand,JM Kerr
info,player,New Zealand,FC Jonas
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Fargana Hoque
info,player,Bangladesh,Rumana Ahmed
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Salma Khatun
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Sanjida Akter Meghla
info,player,Bangladesh,Jahanara Alam
info,registry,people,AC Kerr,7673c908
info,registry,people,C Black,75b42f71
info,registry,people,C High,ed55e0da
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,FC Jonas,6df697a9
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,GE Plimmer,575494db
info,registry,people,HNK Jensen,b8cce99f
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Dempsey,153c9f33
info,registry,people,JM Kerr,9af58032
info,registry,people,JT McFadyen,7072542f
info,registry,people,Jahanara Alam,752183c1
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LMM Tahuhu,60471339
info,registry,people,LR Down,19147fe0
info,registry,people,ML Green,865eae1f
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rumana Ahmed,a92763ea
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Salma Khatun,037f2b86
info,registry,people,Sanjida Akter Meghla,a6412417
ball,1,0.1,New Zealand,SFM Devine,SW Bates,Jahanara Alam,4,0,,,,,,"",""
ball,1,0.2,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,0.3,New Zealand,SW Bates,SFM Devine,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.4,New Zealand,SW Bates,SFM Devine,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.5,New Zealand,SW Bates,SFM Devine,Jahanara Alam,3,0,,,,,,"",""
ball,1,0.6,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,1.1,New Zealand,SFM Devine,SW Bates,Salma Khatun,0,1,1,,,,,"",""
ball,1,1.2,New Zealand,SFM Devine,SW Bates,Salma Khatun,1,0,,,,,,"",""
ball,1,1.3,New Zealand,SW Bates,SFM Devine,Salma Khatun,2,0,,,,,,"",""
ball,1,1.4,New Zealand,SW Bates,SFM Devine,Salma Khatun,0,0,,,,,,"",""
ball,1,1.5,New Zealand,SW Bates,SFM Devine,Salma Khatun,2,0,,,,,,"",""
ball,1,1.6,New Zealand,SW Bates,SFM Devine,Salma Khatun,1,0,,,,,,"",""
ball,1,1.7,New Zealand,SFM Devine,SW Bates,Salma Khatun,0,0,,,,,,"",""
ball,1,2.1,New Zealand,SW Bates,SFM Devine,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.2,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.3,New Zealand,SW Bates,SFM Devine,Jahanara Alam,0,0,,,,,,"",""
ball,1,2.4,New Zealand,SW Bates,SFM Devine,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.5,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,SFM Devine,Jahanara Alam,0,0,,,,,,"",""
ball,1,3.1,New Zealand,SFM Devine,SW Bates,Nahida Akter,4,0,,,,,,"",""
ball,1,3.2,New Zealand,SFM Devine,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,3.3,New Zealand,SW Bates,SFM Devine,Nahida Akter,0,0,,,,,,"",""
ball,1,3.4,New Zealand,SW Bates,SFM Devine,Nahida Akter,1,0,,,,,,"",""
ball,1,3.5,New Zealand,SFM Devine,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,3.6,New Zealand,SFM Devine,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,4.1,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,4,0,,,,,,"",""
ball,1,4.2,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,2,0,,,,,,"",""
ball,1,4.3,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,0,0,,,,,,"",""
ball,1,4.4,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,4,0,,,,,,"",""
ball,1,4.5,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,4.6,New Zealand,SW Bates,SFM Devine,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,5.1,New Zealand,SW Bates,SFM Devine,Nahida Akter,4,0,,,,,,"",""
ball,1,5.2,New Zealand,SW Bates,SFM Devine,Nahida Akter,0,0,,,,,,"",""
ball,1,5.3,New Zealand,SW Bates,SFM Devine,Nahida Akter,4,0,,,,,,"",""
ball,1,5.4,New Zealand,SW Bates,SFM Devine,Nahida Akter,2,0,,,,,,"",""
ball,1,5.5,New Zealand,SW Bates,SFM Devine,Nahida Akter,0,0,,,,,,"",""
ball,1,5.6,New Zealand,SW Bates,SFM Devine,Nahida Akter,0,0,,,,,,"",""
ball,1,6.1,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,6.2,New Zealand,SW Bates,SFM Devine,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,6.3,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,0,0,,,,,,"",""
ball,1,6.4,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,2,0,,,,,,"",""
ball,1,6.5,New Zealand,SFM Devine,SW Bates,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,6.6,New Zealand,SW Bates,SFM Devine,Sanjida Akter Meghla,1,0,,,,,,"",""
ball,1,7.1,New Zealand,SW Bates,SFM Devine,Ritu Moni,1,0,,,,,,"",""
