version,1.7.0
info,balls_per_over,6
info,team,Serbia
info,team,Bulgaria
info,gender,male
info,season,2022
info,date,2022/06/26
info,event,Sofia Twenty20
info,match_number,4
info,venue,"National Sports Academy, Sofia"
info,city,Sofia
info,toss_winner,Bulgaria
info,toss_decision,field
info,player_of_match,H Lakov
info,winner,Bulgaria
info,winner_wickets,6
info,player,Serbia,WAE Burton
info,player,Serbia,A Dizija
info,player,Serbia,LA Dunbar
info,player,Serbia,A Mene-Ejegi
info,player,Serbia,ML Kostic
info,player,Serbia,V Zimonjic
info,player,Serbia,NR Johns-Wickberg
info,player,Serbia,N Zimonjic
info,player,Serbia,S Tosic
info,player,Serbia,M Sarenac
info,player,Serbia,RL Vitas
info,player,Bulgaria,H Lakov
info,player,Bulgaria,IA De Silva
info,player,Bulgaria,Saim Hussain
info,player,Bulgaria,KC D'Souza
info,player,Bulgaria,P Mishra
info,player,Bulgaria,M Kadyan
info,player,Bulgaria,I Katzarski
info,player,Bulgaria,Fayaz Mohammad
info,player,Bulgaria,Ahsan Khan
info,player,Bulgaria,Sandeep Nair
info,player,Bulgaria,Asad Ali Rehemtulla
info,registry,people,A Dizija,6483c062
info,registry,people,A Mene-Ejegi,e4f13acd
info,registry,people,Ahsan Khan,4c72b407
info,registry,people,Asad Ali Rehemtulla,c122fe73
info,registry,people,Fayaz Mohammad,67fedcb4
info,registry,people,H Lakov,87a6f411
info,registry,people,I Katzarski,514628bd
info,registry,people,IA De Silva,58973aaf
info,registry,people,J Albin,a4a53adf
info,registry,people,KC D'Souza,2687fff2
info,registry,people,LA Dunbar,f50433e9
info,registry,people,M Kadyan,c7aae1f0
info,registry,people,M Sarenac,f5ba4611
info,registry,people,ML Kostic,79e23cc5
info,registry,people,N Zimonjic,638f451b
info,registry,people,NR Johns-Wickberg,3924b2ee
info,registry,people,P Mishra,3fa5672e
info,registry,people,RL Vitas,869f61bc
info,registry,people,S Tosic,1c40f69f
info,registry,people,Saim Hussain,d300d274
info,registry,people,Sandeep Nair,6ceec40d
info,registry,people,V Zimonjic,7f784eb8
info,registry,people,WAE Burton,b0358c6d
ball,1,0.1,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,4,0,,,,,,"",""
ball,1,0.2,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,0.3,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,0.4,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,6,0,,,,,,"",""
ball,1,0.5,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,4,0,,,,,,"",""
ball,1,0.6,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,1.1,Serbia,A Dizija,WAE Burton,M Kadyan,0,1,1,,,,,"",""
ball,1,1.2,Serbia,A Dizija,WAE Burton,M Kadyan,0,1,1,,,,,"",""
ball,1,1.3,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,1.4,Serbia,A Dizija,WAE Burton,M Kadyan,0,5,5,,,,,"",""
ball,1,1.5,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,1.6,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,1.7,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,1.8,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,1.9,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,2.1,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,2,0,,,,,,"",""
ball,1,2.2,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,2.3,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,6,0,,,,,,"",""
ball,1,2.4,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,6,0,,,,,,"",""
ball,1,2.5,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,2.6,Serbia,WAE Burton,A Dizija,Asad Ali Rehemtulla,0,0,,,,,,"",""
ball,1,3.1,Serbia,A Dizija,WAE Burton,M Kadyan,0,1,1,,,,,"",""
ball,1,3.2,Serbia,A Dizija,WAE Burton,M Kadyan,0,1,1,,,,,"",""
ball,1,3.3,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,3.4,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,3.5,Serbia,A Dizija,WAE Burton,M Kadyan,0,0,,,,,,"",""
ball,1,3.6,Serbia,A Dizija,WAE Burton,M Kadyan,4,0,,,,,,"",""
ball,1,3.7,Serbia,A Dizija,WAE Burton,M Kadyan,4,0,,,,,,"",""
ball,1,3.8,Serbia,A Dizija,WAE Burton,M Kadyan,2,0,,,,,,"",""
ball,1,4.1,Serbia,WAE Burton,A Dizija,H Lakov,1,0,,,,,,"",""
