version,1.7.0
info,balls_per_over,6
info,team,Bhutan
info,team,United Arab Emirates
info,gender,female
info,season,2023
info,date,2023/08/31
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,3
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bhutan
info,toss_decision,bat
info,player_of_match,Vaishnave Mahesh
info,umpire,LDVV Silva
info,umpire,DN Subedi
info,reserve_umpire,VG Rathi
info,match_referee,M Nayyar
info,winner,United Arab Emirates
info,winner_wickets,9
info,player,Bhutan,N Choden
info,player,Bhutan,K Dema
info,player,Bhutan,Y Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,S Choden
info,player,Bhutan,D Wangmo
info,player,Bhutan,A Gurung
info,player,Bhutan,Sonam
info,player,Bhutan,Chado Om
info,player,Bhutan,Kinley Bidha
info,player,Bhutan,Anjuli Ghalley
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,registry,people,A Gurung,10854c82
info,registry,people,Anjuli Ghalley,cfb49f67
info,registry,people,Chado Om,f53fa89c
info,registry,people,Chaya Mughal,77b26349
info,registry,people,D Wangmo,760fcf65
info,registry,people,DN Subedi,fb0a571f
info,registry,people,ER Oza,fdc6b34d
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,K Dema,0b211a32
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,Kinley Bidha,f2a34cbc
info,registry,people,L Keny,aea89d48
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Nayyar,b7bccddb
info,registry,people,N Choden,a904600a
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Choden,e1e0775d
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,Y Choden,6f17c546
ball,1,0.1,Bhutan,N Choden,K Dema,I Nandakumar,0,0,,,,,,"",""
ball,1,0.2,Bhutan,N Choden,K Dema,I Nandakumar,1,0,,,,,,"",""
ball,1,0.3,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,0.4,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,0.5,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,0.6,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,1.1,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.2,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.3,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.4,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.5,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.6,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,2.1,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,2.2,Bhutan,K Dema,N Choden,I Nandakumar,1,0,,,,,,"",""
ball,1,2.3,Bhutan,N Choden,K Dema,I Nandakumar,0,0,,,,,,"",""
ball,1,2.4,Bhutan,N Choden,K Dema,I Nandakumar,1,0,,,,,,"",""
ball,1,2.5,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,2.6,Bhutan,K Dema,N Choden,I Nandakumar,0,0,,,,,,"",""
ball,1,3.1,Bhutan,N Choden,K Dema,Chaya Mughal,0,0,,,,,,bowled,N Choden
ball,1,3.2,Bhutan,Y Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,3.3,Bhutan,Y Choden,K Dema,Chaya Mughal,2,0,,,,,,"",""
ball,1,3.4,Bhutan,Y Choden,K Dema,Chaya Mughal,0,0,,,,,,"",""
ball,1,3.5,Bhutan,Y Choden,K Dema,Chaya Mughal,1,0,,,,,,"",""
ball,1,3.6,Bhutan,K Dema,Y Choden,Chaya Mughal,0,0,,,,,,"",""
ball,1,4.1,Bhutan,Y Choden,K Dema,S Kotte,0,2,2,,,,,"",""
ball,1,4.2,Bhutan,K Dema,Y Choden,S Kotte,0,0,,,,,,"",""
