version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Indonesia
info,gender,male
info,season,2024
info,date,2024/05/05
info,event,Thailand tour of Indonesia
info,match_number,4
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,MK Thakur
info,umpire,IGS Arsa
info,umpire,Samad Akbar
info,winner,Thailand
info,winner_runs,17
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,AV Lazarus
info,player,Thailand,S Rungrueang
info,player,Thailand,J Coetzee
info,player,Thailand,N Senamontree
info,player,Thailand,N Nuntarach
info,player,Thailand,MK Thakur
info,player,Thailand,A Kalasi
info,player,Thailand,Sarawut Maliwan
info,player,Indonesia,KD Kesuma
info,player,Indonesia,F Banunaek
info,player,Indonesia,IK Gamantika
info,player,Indonesia,PR Surve
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,GD Arta
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,RM Koda
info,registry,people,A Kalasi,8930a2a6
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GD Arta,e969e580
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,IGS Arsa,68d52634
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Coetzee,3ad06915
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,MK Thakur,2d9451cc
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,PR Surve,206efeb1
info,registry,people,RM Koda,f0a45427
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Y Saranonnakkun,9c93c0a3
ball,1,0.1,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,0,1,1,,,,,"",""
ball,1,0.2,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,0,1,1,,,,,"",""
ball,1,0.3,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.4,Thailand,C Chatphaisan,AP Yadav,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.5,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.6,Thailand,C Chatphaisan,AP Yadav,DJ Hawoe,1,0,,,,,,"",""
ball,1,0.7,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,0,1,1,,,,,"",""
ball,1,0.8,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,0,0,,,,,,"",""
ball,1,0.9,Thailand,AP Yadav,C Chatphaisan,DJ Hawoe,1,0,,,,,,"",""
ball,1,1.1,Thailand,AP Yadav,C Chatphaisan,RM Koda,0,0,,,,,,"",""
ball,1,1.2,Thailand,AP Yadav,C Chatphaisan,RM Koda,0,1,1,,,,,"",""
ball,1,1.3,Thailand,AP Yadav,C Chatphaisan,RM Koda,0,0,,,,,,"",""
ball,1,1.4,Thailand,AP Yadav,C Chatphaisan,RM Koda,4,0,,,,,,"",""
ball,1,1.5,Thailand,AP Yadav,C Chatphaisan,RM Koda,1,0,,,,,,"",""
ball,1,1.6,Thailand,C Chatphaisan,AP Yadav,RM Koda,1,0,,,,,,"",""
ball,1,1.7,Thailand,AP Yadav,C Chatphaisan,RM Koda,0,0,,,,,,caught,AP Yadav
ball,1,2.1,Thailand,C Chatphaisan,Y Saranonnakkun,DJ Hawoe,1,0,,,,,,"",""
ball,1,2.2,Thailand,Y Saranonnakkun,C Chatphaisan,DJ Hawoe,0,0,,,,,,"",""
ball,1,2.3,Thailand,Y Saranonnakkun,C Chatphaisan,DJ Hawoe,0,0,,,,,,"",""
ball,1,2.4,Thailand,Y Saranonnakkun,C Chatphaisan,DJ Hawoe,0,0,,,,,,"",""
ball,1,2.5,Thailand,Y Saranonnakkun,C Chatphaisan,DJ Hawoe,0,0,,,,,,"",""
