version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Zimbabwe
info,gender,female
info,season,2024
info,date,2024/09/14
info,event,Namibia Women's T20I Tri-Series
info,match_number,9
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,W Mwatile
info,umpire,E Du Plooy
info,umpire,S Loftie-Eaton
info,reserve_umpire,S Schoonbee
info,winner,Namibia
info,winner_runs,24
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Gorases
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Mwatile
info,player,Namibia,W Mwatile
info,player,Namibia,SN Shihepo
info,player,Namibia,E Van Zyl
info,player,Namibia,B Manuel
info,player,Namibia,N Benjamin
info,player,Namibia,S Tuhadeleni
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,B Biza
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,R Pasipanodya
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,L Phiri
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,P Munorwei
info,player,Zimbabwe,L Pemhiwa
info,player,Zimbabwe,C Moyo
info,registry,people,B Biza,8a522c6c
info,registry,people,B Manuel,06cbeba1
info,registry,people,C Moyo,356af6fa
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,E Du Plooy,e56988a1
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,J Nkomo,36dfa62e
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Pemhiwa,02e712ce
info,registry,people,L Phiri,cca8bdca
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,P Munorwei,c7e67ed4
info,registry,people,R Pasipanodya,17ccd296
info,registry,people,S Loftie-Eaton,71cc38ef
info,registry,people,S Schoonbee,9cefa638
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Namibia,SA Wittmann,Yasmeen Khan,J Nkomo,0,0,,,,,,"",""
ball,1,0.2,Namibia,SA Wittmann,Yasmeen Khan,J Nkomo,0,0,,,,,,"",""
ball,1,0.3,Namibia,SA Wittmann,Yasmeen Khan,J Nkomo,1,0,,,,,,"",""
ball,1,0.4,Namibia,Yasmeen Khan,SA Wittmann,J Nkomo,0,0,,,,,,"",""
ball,1,0.5,Namibia,Yasmeen Khan,SA Wittmann,J Nkomo,0,1,,1,,,,"",""
ball,1,0.6,Namibia,Yasmeen Khan,SA Wittmann,J Nkomo,1,0,,,,,,"",""
ball,1,0.7,Namibia,SA Wittmann,Yasmeen Khan,J Nkomo,0,0,,,,,,"",""
ball,1,1.1,Namibia,Yasmeen Khan,SA Wittmann,C Moyo,0,0,,,,,,"",""
ball,1,1.2,Namibia,Yasmeen Khan,SA Wittmann,C Moyo,0,0,,,,,,"",""
ball,1,1.3,Namibia,Yasmeen Khan,SA Wittmann,C Moyo,1,0,,,,,,"",""
ball,1,1.4,Namibia,SA Wittmann,Yasmeen Khan,C Moyo,0,0,,,,,,"",""
ball,1,1.5,Namibia,SA Wittmann,Yasmeen Khan,C Moyo,4,0,,,,,,"",""
ball,1,1.6,Namibia,SA Wittmann,Yasmeen Khan,C Moyo,0,0,,,,,,"",""
ball,1,2.1,Namibia,Yasmeen Khan,SA Wittmann,K Ndlovu,0,1,,,1,,,"",""
ball,1,2.2,Namibia,SA Wittmann,Yasmeen Khan,K Ndlovu,0,0,,,,,,"",""
ball,1,2.3,Namibia,SA Wittmann,Yasmeen Khan,K Ndlovu,4,0,,,,,,"",""
ball,1,2.4,Namibia,SA Wittmann,Yasmeen Khan,K Ndlovu,0,0,,,,,,"",""
ball,1,2.5,Namibia,SA Wittmann,Yasmeen Khan,K Ndlovu,0,0,,,,,,bowled,SA Wittmann
ball,1,2.6,Namibia,M Gorases,Yasmeen Khan,K Ndlovu,4,0,,,,,,"",""
ball,1,3.1,Namibia,Yasmeen Khan,M Gorases,B Biza,2,0,,,,,,"",""
ball,1,3.2,Namibia,Yasmeen Khan,M Gorases,B Biza,0,0,,,,,,"",""
ball,1,3.3,Namibia,Yasmeen Khan,M Gorases,B Biza,0,3,3,,,,,"",""
ball,1,3.4,Namibia,Yasmeen Khan,M Gorases,B Biza,1,0,,,,,,"",""
ball,1,3.5,Namibia,M Gorases,Yasmeen Khan,B Biza,4,0,,,,,,"",""
