version,1.7.0
info,balls_per_over,6
info,team,Greece
info,team,Serbia
info,gender,female
info,season,2024
info,date,2024/08/25
info,event,Women's Valletta Cup
info,match_number,9
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Serbia
info,toss_decision,field
info,player_of_match,M Syrioti
info,umpire,M Loveday
info,umpire,S Fernando
info,reserve_umpire,S Gowda
info,winner,Greece
info,winner_runs,79
info,player,Greece,S Georgota
info,player,Greece,A Argyropoulou
info,player,Greece,DS Vlachopoulou
info,player,Greece,A Makri
info,player,Greece,M Syrioti
info,player,Greece,A Savvani
info,player,Greece,ES Grammenou
info,player,Greece,M Polimeri
info,player,Greece,M Vervitsioti
info,player,Greece,N Dolianiti
info,player,Greece,M Tornarou
info,player,Serbia,S Matijevic
info,player,Serbia,A Mesarovic
info,player,Serbia,M Nikolic
info,player,Serbia,N Nojic
info,player,Serbia,T Martic
info,player,Serbia,E Prokic
info,player,Serbia,M Perisic
info,player,Serbia,N Jovicevic
info,player,Serbia,S Simic
info,player,Serbia,Marija Mratinkovic
info,player,Serbia,M Trajkovi
info,registry,people,A Argyropoulou,3f1bfd19
info,registry,people,A Makri,98affc04
info,registry,people,A Mesarovic,15404b57
info,registry,people,A Savvani,5d006a1a
info,registry,people,DS Vlachopoulou,5c884c17
info,registry,people,E Prokic,6153ce0d
info,registry,people,ES Grammenou,b931fc7b
info,registry,people,M Loveday,e4b126b0
info,registry,people,M Nikolic,852f74c8
info,registry,people,M Perisic,81599c08
info,registry,people,M Polimeri,35ccd83f
info,registry,people,M Syrioti,f9df0aa2
info,registry,people,M Tornarou,b42c477d
info,registry,people,M Trajkovi,2f208ab6
info,registry,people,M Vervitsioti,6fd40892
info,registry,people,Marija Mratinkovic,bda6b4fc
info,registry,people,N Dolianiti,096149b4
info,registry,people,N Jovicevic,b7a608b0
info,registry,people,N Nojic,ef537c2e
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Georgota,d07b6842
info,registry,people,S Gowda,52f6fb22
info,registry,people,S Matijevic,eae6959b
info,registry,people,S Simic,c219a3c4
info,registry,people,T Martic,1acf530e
ball,1,0.1,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,0.2,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,1,,,1,,,"",""
ball,1,0.3,Greece,A Argyropoulou,S Georgota,A Mesarovic,0,2,2,,,,,"",""
ball,1,0.4,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,0.5,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,1,,1,,,,"",""
ball,1,0.6,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,0.7,Greece,S Georgota,A Argyropoulou,A Mesarovic,2,0,,,,,,"",""
ball,1,0.8,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,2,,1,1,,,"",""
ball,1,0.9,Greece,A Argyropoulou,S Georgota,A Mesarovic,1,0,,,,,,"",""
ball,1,1.1,Greece,A Argyropoulou,S Georgota,N Nojic,0,0,,,,,,"",""
ball,1,1.2,Greece,A Argyropoulou,S Georgota,N Nojic,0,0,,,,,,"",""
ball,1,1.3,Greece,A Argyropoulou,S Georgota,N Nojic,1,0,,,,,,"",""
ball,1,1.4,Greece,S Georgota,A Argyropoulou,N Nojic,0,0,,,,,,"",""
ball,1,1.5,Greece,S Georgota,A Argyropoulou,N Nojic,0,0,,,,,,"",""
ball,1,1.6,Greece,S Georgota,A Argyropoulou,N Nojic,0,0,,,,,,"",""
ball,1,2.1,Greece,A Argyropoulou,S Georgota,A Mesarovic,0,1,,,,1,,"",""
ball,1,2.2,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,2.3,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,2.4,Greece,S Georgota,A Argyropoulou,A Mesarovic,1,0,,,,,,"",""
ball,1,2.5,Greece,A Argyropoulou,S Georgota,A Mesarovic,0,0,,,,,,"",""
ball,1,2.6,Greece,A Argyropoulou,S Georgota,A Mesarovic,1,0,,,,,,"",""
ball,1,3.1,Greece,A Argyropoulou,S Georgota,N Nojic,0,0,,,,,,"",""
ball,1,3.2,Greece,A Argyropoulou,S Georgota,N Nojic,0,0,,,,,,"",""
ball,1,3.3,Greece,A Argyropoulou,S Georgota,N Nojic,1,0,,,,,,"",""
ball,1,3.4,Greece,S Georgota,A Argyropoulou,N Nojic,2,0,,,,,,"",""
ball,1,3.5,Greece,S Georgota,A Argyropoulou,N Nojic,1,0,,,,,,"",""
ball,1,3.6,Greece,A Argyropoulou,S Georgota,N Nojic,2,0,,,,,,"",""
ball,1,4.1,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,4.2,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,0,,,,,,"",""
ball,1,4.3,Greece,S Georgota,A Argyropoulou,A Mesarovic,0,1,1,,,,,"",""
ball,1,4.4,Greece,S Georgota,A Argyropoulou,A Mesarovic,1,1,,1,,,,"",""
ball,1,4.5,Greece,A Argyropoulou,S Georgota,E Prokic,1,0,,,,,,"",""
ball,1,4.6,Greece,S Georgota,A Argyropoulou,E Prokic,0,0,,,,,,"",""
ball,1,4.7,Greece,S Georgota,A Argyropoulou,E Prokic,0,2,,1,1,,,"",""
ball,1,4.8,Greece,A Argyropoulou,S Georgota,E Prokic,1,0,,,,,,"",""
ball,1,4.9,Greece,S Georgota,A Argyropoulou,E Prokic,0,0,,,,,,"",""
ball,1,5.1,Greece,A Argyropoulou,S Georgota,S Matijevic,0,0,,,,,,"",""
ball,1,5.2,Greece,A Argyropoulou,S Georgota,S Matijevic,1,0,,,,,,"",""
ball,1,5.3,Greece,S Georgota,A Argyropoulou,S Matijevic,1,0,,,,,,"",""
ball,1,5.4,Greece,A Argyropoulou,S Georgota,S Matijevic,0,0,,,,,,"",""
ball,1,5.5,Greece,A Argyropoulou,S Georgota,S Matijevic,0,0,,,,,,bowled,A Argyropoulou
ball,1,5.6,Greece,DS Vlachopoulou,S Georgota,S Matijevic,1,0,,,,,,"",""
ball,1,6.1,Greece,DS Vlachopoulou,S Georgota,M Trajkovi,0,1,1,,,,,"",""
ball,1,6.2,Greece,DS Vlachopoulou,S Georgota,M Trajkovi,1,0,,,,,,"",""
ball,1,6.3,Greece,S Georgota,DS Vlachopoulou,M Trajkovi,1,0,,,,,,"",""
ball,1,6.4,Greece,DS Vlachopoulou,S Georgota,M Trajkovi,0,1,1,,,,,"",""
ball,1,6.5,Greece,DS Vlachopoulou,S Georgota,M Trajkovi,0,0,,,,,,"",""
ball,1,6.6,Greece,DS Vlachopoulou,S Georgota,M Trajkovi,0,1,,,,1,,"",""
ball,1,6.7,Greece,S Georgota,DS Vlachopoulou,M Trajkovi,2,0,,,,,,"",""
