version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Uganda
info,gender,female
info,season,2025
info,date,2025/04/12
info,event,Uganda Women tour of Namibia
info,match_number,4
info,venue,"High Performance Oval, Windhoek"
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,bat
info,player_of_match,SA Wittmann
info,winner,Namibia
info,winner_runs,21
info,player,Namibia,SA Wittmann
info,player,Namibia,KA Green
info,player,Namibia,B Manuel
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,W Mwatile
info,player,Namibia,M Mwatile
info,player,Namibia,SN Shihepo
info,player,Namibia,M Gorases
info,player,Namibia,EU Kejarukua
info,player,Namibia,V Hamunyela
info,player,Uganda,K Awino
info,player,Uganda,E Iloku
info,player,Uganda,I Nakisuuyi
info,player,Uganda,R Musamali
info,player,Uganda,S Nampiina
info,player,Uganda,M Ariokot
info,player,Uganda,J Mbabazi
info,player,Uganda,PE Kulume
info,player,Uganda,S Walaza
info,player,Uganda,S Akiteng
info,player,Uganda,C Aweko
info,registry,people,B Manuel,06cbeba1
info,registry,people,C Aweko,01c1b96c
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,EU Kejarukua,e7068bfd
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Awino,c4e7749a
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Walaza,f67ea6d2
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Shakirah Sadick,de99b122
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,0.2,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,0.3,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,0.4,Namibia,SA Wittmann,KA Green,S Walaza,4,0,,,,,,"",""
ball,1,0.5,Namibia,SA Wittmann,KA Green,S Walaza,2,0,,,,,,"",""
ball,1,0.6,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,1.1,Namibia,KA Green,SA Wittmann,C Aweko,1,0,,,,,,"",""
ball,1,1.2,Namibia,SA Wittmann,KA Green,C Aweko,0,0,,,,,,"",""
ball,1,1.3,Namibia,SA Wittmann,KA Green,C Aweko,1,0,,,,,,"",""
ball,1,1.4,Namibia,KA Green,SA Wittmann,C Aweko,0,0,,,,,,"",""
ball,1,1.5,Namibia,KA Green,SA Wittmann,C Aweko,0,0,,,,,,"",""
ball,1,1.6,Namibia,KA Green,SA Wittmann,C Aweko,4,0,,,,,,"",""
ball,1,2.1,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,2.2,Namibia,SA Wittmann,KA Green,S Walaza,4,0,,,,,,"",""
ball,1,2.3,Namibia,SA Wittmann,KA Green,S Walaza,4,0,,,,,,"",""
ball,1,2.4,Namibia,SA Wittmann,KA Green,S Walaza,1,0,,,,,,"",""
ball,1,2.5,Namibia,KA Green,SA Wittmann,S Walaza,1,0,,,,,,"",""
ball,1,2.6,Namibia,SA Wittmann,KA Green,S Walaza,0,0,,,,,,"",""
ball,1,3.1,Namibia,KA Green,SA Wittmann,C Aweko,1,0,,,,,,"",""
ball,1,3.2,Namibia,SA Wittmann,KA Green,C Aweko,1,0,,,,,,"",""
ball,1,3.3,Namibia,KA Green,SA Wittmann,C Aweko,0,0,,,,,,"",""
ball,1,3.4,Namibia,KA Green,SA Wittmann,C Aweko,0,0,,,,,,"",""
