version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,Ghana
info,gender,male
info,season,2023/24
info,date,2024/03/17
info,event,African Games
info,match_number,3
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,G Van Heerden
info,umpire,A Kassam
info,umpire,Patric Makumbi
info,reserve_umpire,IO Oyieko
info,match_referee,O Chirombe
info,winner,South Africa
info,winner_runs,134
info,player,South Africa,M Joseph
info,player,South Africa,H Pieterse
info,player,South Africa,G Van Heerden
info,player,South Africa,L Botha
info,player,South Africa,MA Ntobela
info,player,South Africa,E Frosler
info,player,South Africa,J Prodehl
info,player,South Africa,K Lion-Cachet
info,player,South Africa,L Ntanzi
info,player,South Africa,J Raubenheimer
info,player,South Africa,AQM Yako
info,player,Ghana,R Baaleri
info,player,Ghana,JK Vifah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,Devender Singh
info,player,Ghana,KM Awala
info,player,Ghana,M Aboagye
info,player,Ghana,TK Joseph
info,player,Ghana,G Bakiweyem
info,player,Ghana,Syed Aqeel Israr
info,player,Ghana,KS Bagabena
info,registry,people,A Kassam,7d13b388
info,registry,people,AQM Yako,3f4456f5
info,registry,people,Devender Singh,68e21fb1
info,registry,people,E Frosler,333cbc00
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,G Van Heerden,d0332cfb
info,registry,people,H Pieterse,fc2ddc2c
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Prodehl,45be80ed
info,registry,people,J Raubenheimer,3c338b6a
info,registry,people,JK Vifah,a1448a10
info,registry,people,K Lion-Cachet,aed9ac31
info,registry,people,KM Awala,c6c7d01b
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,L Botha,60285d55
info,registry,people,L Ntanzi,5260d30c
info,registry,people,M Aboagye,afe8ff08
info,registry,people,M Joseph,b18ba97a
info,registry,people,MA Ntobela,e41c8d4c
info,registry,people,O Chirombe,6345307f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Baaleri,26c9b5be
info,registry,people,R Bakum,c74c583b
info,registry,people,Syed Aqeel Israr,4286e899
info,registry,people,TK Joseph,4fafd79a
ball,1,0.1,South Africa,M Joseph,H Pieterse,KS Bagabena,0,1,,1,,,,"",""
ball,1,0.2,South Africa,M Joseph,H Pieterse,KS Bagabena,4,0,,,,,,"",""
ball,1,0.3,South Africa,M Joseph,H Pieterse,KS Bagabena,2,0,,,,,,"",""
ball,1,0.4,South Africa,M Joseph,H Pieterse,KS Bagabena,1,0,,,,,,"",""
ball,1,0.5,South Africa,H Pieterse,M Joseph,KS Bagabena,1,0,,,,,,"",""
ball,1,0.6,South Africa,M Joseph,H Pieterse,KS Bagabena,0,0,,,,,,"",""
ball,1,0.7,South Africa,M Joseph,H Pieterse,KS Bagabena,0,1,1,,,,,"",""
ball,1,0.8,South Africa,M Joseph,H Pieterse,KS Bagabena,1,0,,,,,,"",""
ball,1,1.1,South Africa,M Joseph,H Pieterse,G Bakiweyem,0,0,,,,,,caught,M Joseph
ball,1,1.2,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.3,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,4,0,,,,,,"",""
ball,1,1.4,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.5,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,4,1,,1,,,,"",""
ball,1,1.6,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,4,0,,,,,,"",""
ball,1,1.7,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,0,0,,,,,,"",""
ball,1,2.1,South Africa,H Pieterse,G Van Heerden,KS Bagabena,0,0,,,,,,"",""
ball,1,2.2,South Africa,H Pieterse,G Van Heerden,KS Bagabena,3,0,,,,,,"",""
ball,1,2.3,South Africa,G Van Heerden,H Pieterse,KS Bagabena,0,0,,,,,,"",""
ball,1,2.4,South Africa,G Van Heerden,H Pieterse,KS Bagabena,1,0,,,,,,"",""
ball,1,2.5,South Africa,H Pieterse,G Van Heerden,KS Bagabena,2,0,,,,,,"",""
ball,1,2.6,South Africa,H Pieterse,G Van Heerden,KS Bagabena,4,0,,,,,,"",""
ball,1,3.1,South Africa,G Van Heerden,H Pieterse,G Bakiweyem,1,0,,,,,,"",""
ball,1,3.2,South Africa,H Pieterse,G Van Heerden,G Bakiweyem,0,0,,,,,,"",""
