version,1.7.0
info,balls_per_over,6
info,team,Turks and Caicos Island
info,team,Costa Rica
info,gender,male
info,season,2025
info,date,2025/04/20
info,event,Central American Cricket Championships
info,venue,"Clayton Panama, Panama City"
info,city,Panama City
info,toss_winner,Turks and Caicos Island
info,toss_decision,bat
info,player_of_match,D Ganesh
info,umpire,AR Maddela
info,umpire,R Shah
info,winner,Costa Rica
info,winner_runs,21
info,method,D/L
info,player,Turks and Caicos Island,J Daley
info,player,Turks and Caicos Island,D Hardware
info,player,Turks and Caicos Island,M Smith
info,player,Turks and Caicos Island,S Hunter
info,player,Turks and Caicos Island,K Jack
info,player,Turks and Caicos Island,A Kuthalingham
info,player,Turks and Caicos Island,D St Ange
info,player,Turks and Caicos Island,M Turner
info,player,Turks and Caicos Island,I Ganness
info,player,Turks and Caicos Island,D Bourne
info,player,Turks and Caicos Island,S Vithayathil
info,player,Costa Rica,D Ganesh
info,player,Costa Rica,D Rawat
info,player,Costa Rica,O Sam Arthur
info,player,Costa Rica,S Ravikumar
info,player,Costa Rica,S Pillai
info,player,Costa Rica,RR Saun
info,player,Costa Rica,K Shivam
info,player,Costa Rica,ARH Patel
info,player,Costa Rica,JR Lucky
info,player,Costa Rica,PV Naringrekar
info,registry,people,A Kuthalingham,fd4809c8
info,registry,people,AR Maddela,5c861579
info,registry,people,ARH Patel,c5147782
info,registry,people,D Bourne,67d40eaa
info,registry,people,D Ganesh,84624717
info,registry,people,D Hardware,32074eb3
info,registry,people,D Rawat,cda3625c
info,registry,people,D St Ange,ede30898
info,registry,people,I Ganness,0bf08d6d
info,registry,people,J Daley,7b6623bc
info,registry,people,JR Lucky,4a3cbbf2
info,registry,people,K Jack,447bf58e
info,registry,people,K Shivam,f46fbe60
info,registry,people,M Smith,3296507e
info,registry,people,M Turner,27847fec
info,registry,people,O Sam Arthur,11c35bf1
info,registry,people,PV Naringrekar,b0ff13d6
info,registry,people,R Shah,3424e050
info,registry,people,RR Saun,acb6ee37
info,registry,people,S Hunter,aac584a8
info,registry,people,S Pillai,927b34c9
info,registry,people,S Ravikumar,5597338d
info,registry,people,S Vithayathil,b64e0295
ball,1,0.1,Turks and Caicos Island,J Daley,D Hardware,S Pillai,0,0,,,,,,"",""
ball,1,0.2,Turks and Caicos Island,J Daley,D Hardware,S Pillai,0,1,1,,,,,"",""
ball,1,0.3,Turks and Caicos Island,J Daley,D Hardware,S Pillai,2,0,,,,,,"",""
ball,1,0.4,Turks and Caicos Island,J Daley,D Hardware,S Pillai,1,0,,,,,,"",""
ball,1,0.5,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,0,,,,,,"",""
ball,1,0.6,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,0,,,,,,"",""
ball,1,0.7,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,1,1,,,,,"",""
ball,1,0.8,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,2,2,,,,,"",""
ball,1,0.9,Turks and Caicos Island,J Daley,D Hardware,S Pillai,1,0,,,,,,"",""
ball,1,1.1,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,0,0,,,,,,"",""
ball,1,1.2,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,2,0,,,,,,"",""
ball,1,1.3,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,0,0,,,,,,"",""
ball,1,1.4,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,2,0,,,,,,"",""
ball,1,1.5,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,0,1,,,,1,,"",""
ball,1,1.6,Turks and Caicos Island,D Hardware,J Daley,D Ganesh,1,0,,,,,,"",""
ball,1,2.1,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,0,,,,,,"",""
ball,1,2.2,Turks and Caicos Island,D Hardware,J Daley,S Pillai,0,0,,,,,,"",""
ball,1,2.3,Turks and Caicos Island,D Hardware,J Daley,S Pillai,1,0,,,,,,"",""
ball,1,2.4,Turks and Caicos Island,J Daley,D Hardware,S Pillai,0,1,1,,,,,"",""
ball,1,2.5,Turks and Caicos Island,J Daley,D Hardware,S Pillai,0,0,,,,,,"",""
ball,1,2.6,Turks and Caicos Island,J Daley,D Hardware,S Pillai,2,0,,,,,,"",""
ball,1,2.7,Turks and Caicos Island,J Daley,D Hardware,S Pillai,1,0,,,,,,"",""
ball,1,3.1,Turks and Caicos Island,J Daley,D Hardware,D Ganesh,1,0,,,,,,"",""
ball,1,3.2,Turks and Caicos Island,D Hardware,J Daley,D Ganesh,0,0,,,,,,bowled,D Hardware
ball,1,3.3,Turks and Caicos Island,M Smith,J Daley,D Ganesh,0,0,,,,,,"",""
ball,1,3.4,Turks and Caicos Island,M Smith,J Daley,D Ganesh,0,1,,,,1,,"",""
ball,1,3.5,Turks and Caicos Island,J Daley,M Smith,D Ganesh,0,0,,,,,,"",""
