version,1.7.0
info,balls_per_over,6
info,team,Argentina
info,team,Brazil
info,gender,male
info,season,2025/26
info,date,2025/11/30
info,event,Brazil tour of Argentina
info,match_number,5
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,bat
info,outcome,no result
info,player,Argentina,P Baron
info,player,Argentina,Lucas Rossi
info,player,Argentina,A Kirschbaum
info,player,Argentina,Manuel Iturbe
info,player,Argentina,R Escobar
info,player,Argentina,T Rossi
info,player,Argentina,AAP Rivero
info,player,Argentina,H Fennell
info,player,Argentina,Santiago Iturbe
info,player,Argentina,Ian Roberts
info,player,Argentina,Franz Bur
info,player,Brazil,MFI Assuncao
info,player,Brazil,LF Muller
info,player,Brazil,Yasar Haroon
info,player,Brazil,L Maximo
info,player,Brazil,LH Rodrigues
info,player,Brazil,FC Muniz
info,player,Brazil,B Passoni
info,player,Brazil,LG Moras
info,player,Brazil,RV Nascimento
info,player,Brazil,CC Machado
info,player,Brazil,Rejaul Karim
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,B Passoni,a3e8e678
info,registry,people,CC Machado,5992ef03
info,registry,people,FC Muniz,c9c2a7e8
info,registry,people,Franz Bur,61763f48
info,registry,people,H Fennell,0d38ab25
info,registry,people,Ian Roberts,9f236a73
info,registry,people,L Maximo,58c0c30c
info,registry,people,LF Muller,f6411545
info,registry,people,LG Moras,d5dea4e7
info,registry,people,LH Rodrigues,57c95c3c
info,registry,people,Lucas Rossi,2064e555
info,registry,people,MFI Assuncao,d8e48e1b
info,registry,people,Manuel Iturbe,bddbf5ec
info,registry,people,P Baron,c6d1b1e4
info,registry,people,R Escobar,9fa5496f
info,registry,people,RV Nascimento,d9ba93c0
info,registry,people,Rejaul Karim,c767d8ed
info,registry,people,Santiago Iturbe,851b0636
info,registry,people,T Rossi,5470418a
info,registry,people,Yasar Haroon,5a8dc41e
ball,1,0.1,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,0.2,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,0.3,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,0.4,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,0.5,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,0.6,Argentina,P Baron,Lucas Rossi,LG Moras,1,0,,,,,,"",""
ball,1,1.1,Argentina,P Baron,Lucas Rossi,LH Rodrigues,3,0,,,,,,"",""
ball,1,1.2,Argentina,Lucas Rossi,P Baron,LH Rodrigues,0,0,,,,,,"",""
ball,1,1.3,Argentina,Lucas Rossi,P Baron,LH Rodrigues,3,0,,,,,,"",""
ball,1,1.4,Argentina,P Baron,Lucas Rossi,LH Rodrigues,4,0,,,,,,"",""
ball,1,1.5,Argentina,P Baron,Lucas Rossi,LH Rodrigues,1,0,,,,,,"",""
ball,1,1.6,Argentina,Lucas Rossi,P Baron,LH Rodrigues,0,1,1,,,,,"",""
ball,1,1.7,Argentina,Lucas Rossi,P Baron,LH Rodrigues,0,0,,,,,,"",""
ball,1,2.1,Argentina,P Baron,Lucas Rossi,LG Moras,2,0,,,,,,"",""
ball,1,2.2,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,2.3,Argentina,P Baron,Lucas Rossi,LG Moras,2,0,,,,,,"",""
ball,1,2.4,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,2.5,Argentina,P Baron,Lucas Rossi,LG Moras,0,0,,,,,,"",""
ball,1,2.6,Argentina,P Baron,Lucas Rossi,LG Moras,1,0,,,,,,"",""
ball,1,3.1,Argentina,P Baron,Lucas Rossi,LH Rodrigues,0,0,,,,,,"",""
