version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,South Africa
info,gender,female
info,season,2022/23
info,date,2023/02/10
info,event,ICC Women's T20 World Cup
info,match_number,1
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,AY Harris
info,umpire,Kim Cotton
info,reserve_umpire,S Redfern
info,tv_umpire,Eloise Sheridan
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_runs,3
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,OU Ranasinghe
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,A Bosch
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,S Ismail
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Khaka,0d518f89
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AY Harris,90d95b82
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,NND de Silva,f0b4294e
info,registry,people,OU Ranasinghe,52d3b7ff
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Redfern,5b038989
info,registry,people,T Brits,06659caa
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Sri Lanka,H Madavi,AC Jayangani,S Ismail,1,0,,,,,,"",""
ball,1,0.2,Sri Lanka,AC Jayangani,H Madavi,S Ismail,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,AC Jayangani,H Madavi,S Ismail,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,AC Jayangani,H Madavi,S Ismail,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,AC Jayangani,H Madavi,S Ismail,1,0,,,,,,"",""
ball,1,0.6,Sri Lanka,H Madavi,AC Jayangani,S Ismail,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,H Madavi,AC Jayangani,M Kapp,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,H Madavi,AC Jayangani,M Kapp,1,0,,,,,,"",""
ball,1,1.3,Sri Lanka,AC Jayangani,H Madavi,M Kapp,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,AC Jayangani,H Madavi,M Kapp,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,AC Jayangani,H Madavi,M Kapp,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,AC Jayangani,H Madavi,M Kapp,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,2.4,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,2.5,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,H Madavi,AC Jayangani,S Ismail,0,0,,,,,,"",""
ball,1,3.1,Sri Lanka,AC Jayangani,H Madavi,M Kapp,1,0,,,,,,"",""
ball,1,3.2,Sri Lanka,H Madavi,AC Jayangani,M Kapp,0,0,,,,,,"",""
ball,1,3.3,Sri Lanka,H Madavi,AC Jayangani,M Kapp,1,0,,,,,,"",""
ball,1,3.4,Sri Lanka,AC Jayangani,H Madavi,M Kapp,0,0,,,,,,"",""
ball,1,3.5,Sri Lanka,AC Jayangani,H Madavi,M Kapp,4,0,,,,,,"",""
ball,1,3.6,Sri Lanka,AC Jayangani,H Madavi,M Kapp,1,0,,,,,,"",""
