version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Portugal
info,gender,male
info,season,2023
info,date,2023/05/07
info,event,Gibraltar Tri-Nation T20I Series
info,match_number,8
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,Suman Ghimire
info,umpire,SG Chandiramani
info,umpire,T Atoloye
info,reserve_umpire,S Maynard
info,winner,Portugal
info,winner_wickets,1
info,player,Gibraltar,BAA Zammitt
info,player,Gibraltar,L Bruce
info,player,Gibraltar,JD Freyone
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,K Nestor
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,RJ Hatchman
info,player,Gibraltar,A Reyes
info,player,Gibraltar,N Advani
info,player,Gibraltar,K Mirpuri
info,player,Portugal,Kuldeep
info,player,Portugal,ARA Chambers
info,player,Portugal,M Machado
info,player,Portugal,Azhar Andani
info,player,Portugal,Amir Zaib
info,player,Portugal,Najjam Shahzad
info,player,Portugal,F Stoman
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,Suman Ghimire
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,Junaid Khan
info,registry,people,A Reyes,fd2b8c06
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Amir Zaib,973006cc
info,registry,people,Azhar Andani,b5bd99da
info,registry,people,BAA Zammitt,0e102c3b
info,registry,people,F Stoman,69e53eb3
info,registry,people,IDM Latin,78f719ea
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,JD Freyone,7cd7eb50
info,registry,people,Junaid Khan,be0077ba
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,Kuldeep,61c48027
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Machado,fd34bcb0
info,registry,people,N Advani,e4f6147b
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,RJ Hatchman,01c05b6c
info,registry,people,S Maynard,12a7e02a
info,registry,people,SG Chandiramani,4fa795d2
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Suman Ghimire,7d990412
info,registry,people,T Atoloye,9d4f3a74
info,registry,people,Zohaib Sarwar,bd3cecc6
ball,1,0.1,Gibraltar,BAA Zammitt,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.2,Gibraltar,BAA Zammitt,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.3,Gibraltar,BAA Zammitt,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.4,Gibraltar,BAA Zammitt,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.5,Gibraltar,BAA Zammitt,L Bruce,Junaid Khan,0,1,,,,1,,"",""
ball,1,0.6,Gibraltar,L Bruce,BAA Zammitt,Junaid Khan,0,0,,,,,,"",""
ball,1,1.1,Gibraltar,BAA Zammitt,L Bruce,Najjam Shahzad,0,0,,,,,,lbw,BAA Zammitt
ball,1,1.2,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,1.3,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.4,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.5,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,1.6,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,1,0,,,,,,"",""
ball,1,1.7,Gibraltar,L Bruce,JD Freyone,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.8,Gibraltar,L Bruce,JD Freyone,Najjam Shahzad,1,0,,,,,,"",""
ball,1,2.1,Gibraltar,L Bruce,JD Freyone,Junaid Khan,0,0,,,,,,"",""
ball,1,2.2,Gibraltar,L Bruce,JD Freyone,Junaid Khan,1,0,,,,,,"",""
ball,1,2.3,Gibraltar,JD Freyone,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.4,Gibraltar,JD Freyone,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.5,Gibraltar,JD Freyone,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.6,Gibraltar,JD Freyone,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,3.1,Gibraltar,L Bruce,JD Freyone,Najjam Shahzad,4,0,,,,,,"",""
ball,1,3.2,Gibraltar,L Bruce,JD Freyone,Najjam Shahzad,1,0,,,,,,"",""
ball,1,3.3,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,3.4,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,4,0,,,,,,"",""
ball,1,3.5,Gibraltar,JD Freyone,L Bruce,Najjam Shahzad,1,0,,,,,,"",""
ball,1,3.6,Gibraltar,L Bruce,JD Freyone,Najjam Shahzad,0,0,,,,,,"",""
ball,1,4.1,Gibraltar,JD Freyone,L Bruce,Sirajullah Khadim,0,0,,,,,,caught,JD Freyone
ball,1,4.2,Gibraltar,IDM Latin,L Bruce,Sirajullah Khadim,1,0,,,,,,"",""
ball,1,4.3,Gibraltar,L Bruce,IDM Latin,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,4.4,Gibraltar,L Bruce,IDM Latin,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,4.5,Gibraltar,L Bruce,IDM Latin,Sirajullah Khadim,2,0,,,,,,"",""
ball,1,4.6,Gibraltar,L Bruce,IDM Latin,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,5.1,Gibraltar,IDM Latin,L Bruce,Junaid Khan,2,0,,,,,,"",""
ball,1,5.2,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,5.3,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,5.4,Gibraltar,IDM Latin,L Bruce,Junaid Khan,2,0,,,,,,"",""
ball,1,5.5,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,5.6,Gibraltar,IDM Latin,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,6.1,Gibraltar,L Bruce,IDM Latin,Sirajullah Khadim,1,0,,,,,,"",""
ball,1,6.2,Gibraltar,IDM Latin,L Bruce,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,6.3,Gibraltar,IDM Latin,L Bruce,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,6.4,Gibraltar,IDM Latin,L Bruce,Sirajullah Khadim,0,0,,,,,,"",""
ball,1,6.5,Gibraltar,IDM Latin,L Bruce,Sirajullah Khadim,1,0,,,,,,"",""
