version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,England
info,gender,female
info,season,2024/25
info,date,2024/11/24
info,event,England Women tour of South Africa
info,match_number,1
info,venue,"Buffalo Park, East London"
info,city,East London
info,toss_winner,England
info,toss_decision,field
info,player_of_match,NR Sciver-Brunt
info,umpire,Lauren Agenbag
info,umpire,N Perera
info,reserve_umpire,Siphelele Gasa
info,tv_umpire,K Klaaste
info,match_referee,SA Fritz
info,winner,England
info,winner_wickets,4
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,A Bosch
info,player,South Africa,S Luus
info,player,South Africa,A Dercksen
info,player,South Africa,N Shangase
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,E Marx
info,player,South Africa,N Mlaba
info,player,South Africa,A Hlubi
info,player,England,DN Wyatt
info,player,England,ME Bouchier
info,player,England,SIR Dunkley
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,FG Kemp
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,S Glenn
info,player,England,LK Bell
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Hlubi,ccaa3434
info,registry,people,AE Jones,b05e45e4
info,registry,people,CE Dean,c6625a26
info,registry,people,DN Wyatt,a139c379
info,registry,people,E Marx,be592751
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,HC Knight,4ba0289e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LK Bell,38b4583c
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ME Bouchier,c2554b59
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N Shangase,b17a4a93
info,registry,people,N de Klerk,ea544967
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,T Brits,06659caa
ball,1,0.1,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,2,0,,,,,,"",""
ball,1,0.2,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,4,0,,,,,,"",""
ball,1,0.3,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,0.4,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,0.5,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,2,0,,,,,,"",""
ball,1,0.6,South Africa,L Wolvaardt,T Brits,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.1,South Africa,T Brits,L Wolvaardt,LK Bell,0,1,1,,,,,"",""
ball,1,1.2,South Africa,T Brits,L Wolvaardt,LK Bell,1,0,,,,,,"",""
ball,1,1.3,South Africa,L Wolvaardt,T Brits,LK Bell,0,0,,,,,,"",""
ball,1,1.4,South Africa,L Wolvaardt,T Brits,LK Bell,4,0,,,,,,"",""
ball,1,1.5,South Africa,L Wolvaardt,T Brits,LK Bell,1,0,,,,,,"",""
ball,1,1.6,South Africa,T Brits,L Wolvaardt,LK Bell,1,0,,,,,,"",""
ball,1,1.7,South Africa,L Wolvaardt,T Brits,LK Bell,2,0,,,,,,"",""
ball,1,2.1,South Africa,T Brits,L Wolvaardt,S Ecclestone,0,0,,,,,,"",""
ball,1,2.2,South Africa,T Brits,L Wolvaardt,S Ecclestone,0,0,,,,,,"",""
ball,1,2.3,South Africa,T Brits,L Wolvaardt,S Ecclestone,1,0,,,,,,"",""
ball,1,2.4,South Africa,L Wolvaardt,T Brits,S Ecclestone,0,0,,,,,,"",""
ball,1,2.5,South Africa,L Wolvaardt,T Brits,S Ecclestone,0,0,,,,,,"",""
ball,1,2.6,South Africa,L Wolvaardt,T Brits,S Ecclestone,4,0,,,,,,"",""
ball,1,3.1,South Africa,T Brits,L Wolvaardt,CE Dean,0,0,,,,,,"",""
ball,1,3.2,South Africa,T Brits,L Wolvaardt,CE Dean,4,0,,,,,,"",""
ball,1,3.3,South Africa,T Brits,L Wolvaardt,CE Dean,0,0,,,,,,"",""
