version,1.7.0
info,balls_per_over,6
info,team,Isle of Man
info,team,Luxembourg
info,gender,male
info,season,2024
info,date,2024/06/15
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,17
info,venue,Roma Cricket Ground
info,city,Spinaceto
info,toss_winner,Isle of Man
info,toss_decision,bat
info,player_of_match,CJ Langford
info,umpire,I McDonald
info,umpire,M Jameson
info,reserve_umpire,J Jensen
info,match_referee,G McCrea
info,winner,Isle of Man
info,winner_runs,63
info,player,Isle of Man,OJ Webster
info,player,Isle of Man,A McAuley
info,player,Isle of Man,EF Beard
info,player,Isle of Man,C Hartmann
info,player,Isle of Man,G Burrows
info,player,Isle of Man,H McAleer
info,player,Isle of Man,L Ward
info,player,Isle of Man,CJ Langford
info,player,Isle of Man,JA Burrows
info,player,Isle of Man,MJ Ansell
info,player,Isle of Man,K Cawte
info,player,Luxembourg,TC Barker
info,player,Luxembourg,J Barker
info,player,Luxembourg,SKS Gill
info,player,Luxembourg,Anoop Orsu
info,player,Luxembourg,V Vijh
info,player,Luxembourg,WJ Cope
info,player,Luxembourg,J Mees
info,player,Luxembourg,P Malav
info,player,Luxembourg,A Nanda
info,player,Luxembourg,Milad Momend
info,player,Luxembourg,S Kushretha
info,registry,people,A McAuley,39e599c8
info,registry,people,A Nanda,704e0160
info,registry,people,Anoop Orsu,488b7e22
info,registry,people,C Hartmann,467c28f9
info,registry,people,CJ Langford,3967b66f
info,registry,people,EF Beard,68019a70
info,registry,people,G Burrows,8bee668b
info,registry,people,G McCrea,46f4a901
info,registry,people,H McAleer,8b39d02a
info,registry,people,I McDonald,37b55799
info,registry,people,J Barker,c18cecbe
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Mees,ab1445ea
info,registry,people,JA Burrows,dba54d8e
info,registry,people,K Cawte,a2dd9236
info,registry,people,L Ward,98f33eed
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,MJ Ansell,6e60a792
info,registry,people,Milad Momend,84880baf
info,registry,people,OJ Webster,a69e2964
info,registry,people,P Malav,02b078b1
info,registry,people,S Kushretha,4e3fd330
info,registry,people,SKS Gill,faef026c
info,registry,people,TC Barker,c31adb5c
info,registry,people,V Vijh,b857468a
info,registry,people,WJ Cope,fb34b0ec
ball,1,0.1,Isle of Man,OJ Webster,A McAuley,S Kushretha,1,0,,,,,,"",""
ball,1,0.2,Isle of Man,A McAuley,OJ Webster,S Kushretha,2,0,,,,,,"",""
ball,1,0.3,Isle of Man,A McAuley,OJ Webster,S Kushretha,0,0,,,,,,"",""
ball,1,0.4,Isle of Man,A McAuley,OJ Webster,S Kushretha,0,0,,,,,,"",""
ball,1,0.5,Isle of Man,A McAuley,OJ Webster,S Kushretha,0,0,,,,,,caught,A McAuley
ball,1,0.6,Isle of Man,EF Beard,OJ Webster,S Kushretha,0,0,,,,,,"",""
ball,1,1.1,Isle of Man,OJ Webster,EF Beard,A Nanda,0,0,,,,,,"",""
ball,1,1.2,Isle of Man,OJ Webster,EF Beard,A Nanda,0,0,,,,,,"",""
ball,1,1.3,Isle of Man,OJ Webster,EF Beard,A Nanda,0,0,,,,,,"",""
ball,1,1.4,Isle of Man,OJ Webster,EF Beard,A Nanda,0,0,,,,,,"",""
ball,1,1.5,Isle of Man,OJ Webster,EF Beard,A Nanda,1,0,,,,,,"",""
ball,1,1.6,Isle of Man,EF Beard,OJ Webster,A Nanda,3,0,,,,,,"",""
ball,1,2.1,Isle of Man,EF Beard,OJ Webster,Milad Momend,1,0,,,,,,"",""
ball,1,2.2,Isle of Man,OJ Webster,EF Beard,Milad Momend,4,0,,,,,,"",""
ball,1,2.3,Isle of Man,OJ Webster,EF Beard,Milad Momend,0,0,,,,,,"",""
ball,1,2.4,Isle of Man,OJ Webster,EF Beard,Milad Momend,6,0,,,,,,"",""
ball,1,2.5,Isle of Man,OJ Webster,EF Beard,Milad Momend,4,0,,,,,,"",""
ball,1,2.6,Isle of Man,OJ Webster,EF Beard,Milad Momend,1,0,,,,,,"",""
ball,1,3.1,Isle of Man,OJ Webster,EF Beard,A Nanda,1,0,,,,,,"",""
ball,1,3.2,Isle of Man,EF Beard,OJ Webster,A Nanda,4,0,,,,,,"",""
ball,1,3.3,Isle of Man,EF Beard,OJ Webster,A Nanda,0,0,,,,,,"",""
ball,1,3.4,Isle of Man,EF Beard,OJ Webster,A Nanda,4,0,,,,,,"",""
ball,1,3.5,Isle of Man,EF Beard,OJ Webster,A Nanda,0,0,,,,,,"",""
