version,1.7.0
info,balls_per_over,6
info,team,Austria
info,team,Romania
info,gender,male
info,season,2025/26
info,date,2025/10/18
info,event,Austria tour of Romania
info,match_number,2
info,venue,"Moara Vlasiei Cricket Ground, Ilfov County"
info,city,Ilfov County
info,toss_winner,Austria
info,toss_decision,bat
info,player_of_match,Md Ariyan
info,winner,Romania
info,winner_wickets,3
info,player,Austria,Karanbir Singh
info,player,Austria,Bilal Zalmai
info,player,Austria,Amar Naeem
info,player,Austria,Ranjit Singh
info,player,Austria,Aqib Iqbal
info,player,Austria,A Randhawa
info,player,Austria,Zeshan Arif
info,player,Austria,Irfan Safi
info,player,Austria,SFS Cheema
info,player,Austria,KR Jha
info,player,Austria,Umair Tariq
info,player,Romania,G Manan
info,player,Romania,Taranjeet Singh
info,player,Romania,R Satheesan
info,player,Romania,Avishka Iroshan
info,player,Romania,Rohit Kumar
info,player,Romania,Md Ariyan
info,player,Romania,T Sandaruwan
info,player,Romania,J Fernando
info,player,Romania,M Koli
info,player,Romania,Luca Petre
info,player,Romania,J Khadka
info,registry,people,A Randhawa,1798078c
info,registry,people,Amar Naeem,f9dc404a
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Avishka Iroshan,2964821b
info,registry,people,Bilal Zalmai,33b67317
info,registry,people,G Manan,d7265622
info,registry,people,Irfan Safi,6c53ffb2
info,registry,people,J Fernando,898a21a4
info,registry,people,J Khadka,191ee2f2
info,registry,people,KR Jha,9bdb9aa9
info,registry,people,Karanbir Singh,6a97c7a4
info,registry,people,Luca Petre,b31d458f
info,registry,people,M Koli,eb0f2802
info,registry,people,Md Ariyan,ff4805ee
info,registry,people,R Satheesan,1125ebe4
info,registry,people,Ranjit Singh,0467bd8d
info,registry,people,Rohit Kumar,43462314
info,registry,people,SFS Cheema,507fc658
info,registry,people,T Sandaruwan,2c31f58a
info,registry,people,Taranjeet Singh,ec483176
info,registry,people,Umair Tariq,67ec2b09
info,registry,people,Zeshan Arif,6829b373
ball,1,0.1,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,1,1,,,,,"",""
ball,1,0.2,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,6,0,,,,,,"",""
ball,1,0.3,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,0.4,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,0.5,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,0.6,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,0.7,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,5,5,,,,,"",""
ball,1,0.8,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,1.1,Austria,Bilal Zalmai,Karanbir Singh,M Koli,1,0,,,,,,"",""
ball,1,1.2,Austria,Karanbir Singh,Bilal Zalmai,M Koli,0,0,,,,,,"",""
ball,1,1.3,Austria,Karanbir Singh,Bilal Zalmai,M Koli,0,1,1,,,,,"",""
ball,1,1.4,Austria,Karanbir Singh,Bilal Zalmai,M Koli,6,0,,,,,,"",""
ball,1,1.5,Austria,Karanbir Singh,Bilal Zalmai,M Koli,0,1,1,,,,,"",""
ball,1,1.6,Austria,Karanbir Singh,Bilal Zalmai,M Koli,6,0,,,,,,"",""
ball,1,1.7,Austria,Karanbir Singh,Bilal Zalmai,M Koli,0,1,1,,,,,"",""
ball,1,1.8,Austria,Karanbir Singh,Bilal Zalmai,M Koli,1,0,,,,,,"",""
ball,1,1.9,Austria,Bilal Zalmai,Karanbir Singh,M Koli,0,0,,,,,,"",""
ball,1,2.1,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,0,0,,,,,,"",""
ball,1,2.2,Austria,Karanbir Singh,Bilal Zalmai,J Khadka,6,0,,,,,,"",""
