version,1.7.0
info,balls_per_over,6
info,team,Brazil
info,team,Argentina
info,gender,female
info,season,2024/25
info,date,2025/03/10
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,2
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,player_of_match,NC Monteiro
info,umpire,C La Borde
info,umpire,Jermaine Lindo
info,reserve_umpire,JM Williams
info,tv_umpire,M Abbott
info,match_referee,Denavon Hayles
info,winner,Brazil
info,winner_runs,25
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,MR Machado
info,player,Brazil,CS Nascimento
info,player,Brazil,AC Sabino
info,player,Brazil,MLG Silva
info,player,Brazil,NC Monteiro
info,player,Brazil,M Ribeiro
info,player,Brazil,L Moises
info,player,Argentina,A Galan
info,player,Argentina,M Lollo
info,player,Argentina,M Castineiras
info,player,Argentina,L Taylor
info,player,Argentina,M Martinez
info,player,Argentina,A Stocks
info,player,Argentina,JC Cullen
info,player,Argentina,C Sosa
info,player,Argentina,M Bestani
info,player,Argentina,A Prince
info,player,Argentina,MV Lehmann
info,registry,people,A Galan,ad5165c2
info,registry,people,A Prince,da994dd7
info,registry,people,A Stocks,c999c416
info,registry,people,AC Sabino,dd45b04b
info,registry,people,C La Borde,32157f67
info,registry,people,C Sosa,b2f4cb0d
info,registry,people,CS Nascimento,df997334
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,JC Cullen,22595a2d
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,L Moises,b27f9716
info,registry,people,L Taylor,8af91a3e
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Bestani,e8045847
info,registry,people,M Castineiras,b9094958
info,registry,people,M Lollo,e6d1f4bb
info,registry,people,M Martinez,f0ddeafb
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,MV Lehmann,d2c61d83
info,registry,people,NC Monteiro,752af5a4
info,registry,people,RMAM Avery,4cf645c9
ball,1,0.1,Brazil,LV Boas,L Agatha,A Galan,0,1,1,,,,,"",""
ball,1,0.2,Brazil,LV Boas,L Agatha,A Galan,0,0,,,,,,caught,LV Boas
ball,1,0.3,Brazil,RMAM Avery,L Agatha,A Galan,0,0,,,,,,"",""
ball,1,0.4,Brazil,RMAM Avery,L Agatha,A Galan,0,0,,,,,,caught,RMAM Avery
ball,1,0.5,Brazil,L Cardoso,L Agatha,A Galan,0,0,,,,,,"",""
ball,1,0.6,Brazil,L Cardoso,L Agatha,A Galan,1,0,,,,,,"",""
ball,1,0.7,Brazil,L Agatha,L Cardoso,A Galan,0,0,,,,,,"",""
ball,1,1.1,Brazil,L Cardoso,L Agatha,C Sosa,0,0,,,,,,"",""
ball,1,1.2,Brazil,L Cardoso,L Agatha,C Sosa,0,0,,,,,,"",""
ball,1,1.3,Brazil,L Cardoso,L Agatha,C Sosa,0,2,2,,,,,"",""
ball,1,1.4,Brazil,L Agatha,L Cardoso,C Sosa,0,1,,,,1,,"",""
ball,1,1.5,Brazil,L Cardoso,L Agatha,C Sosa,1,0,,,,,,"",""
ball,1,1.6,Brazil,L Agatha,L Cardoso,C Sosa,0,1,1,,,,,"",""
ball,1,1.7,Brazil,L Agatha,L Cardoso,C Sosa,0,0,,,,,,"",""
ball,1,1.8,Brazil,L Agatha,L Cardoso,C Sosa,0,1,1,,,,,"",""
ball,1,1.9,Brazil,L Agatha,L Cardoso,C Sosa,2,1,,1,,,,"",""
ball,1,1.10,Brazil,L Agatha,L Cardoso,C Sosa,2,0,,,,,,"",""
ball,1,2.1,Brazil,L Cardoso,L Agatha,A Galan,0,0,,,,,,"",""
ball,1,2.2,Brazil,L Cardoso,L Agatha,A Galan,1,0,,,,,,"",""
ball,1,2.3,Brazil,L Agatha,L Cardoso,A Galan,0,0,,,,,,"",""
ball,1,2.4,Brazil,L Agatha,L Cardoso,A Galan,0,1,,,,1,,"",""
ball,1,2.5,Brazil,L Cardoso,L Agatha,A Galan,0,0,,,,,,"",""
ball,1,2.6,Brazil,L Cardoso,L Agatha,A Galan,0,0,,,,,,"",""
ball,1,3.1,Brazil,L Agatha,L Cardoso,L Taylor,0,1,1,,,,,"",""
ball,1,3.2,Brazil,L Agatha,L Cardoso,L Taylor,1,0,,,,,,"",""
ball,1,3.3,Brazil,L Cardoso,L Agatha,L Taylor,1,0,,,,,,"",""
ball,1,3.4,Brazil,L Agatha,L Cardoso,L Taylor,0,0,,,,,,"",""
ball,1,3.5,Brazil,L Agatha,L Cardoso,L Taylor,1,0,,,,,,"",""
ball,1,3.6,Brazil,L Cardoso,L Agatha,L Taylor,0,0,,,,,,"",""
ball,1,3.7,Brazil,L Cardoso,L Agatha,L Taylor,2,0,,,,,,"",""
ball,1,4.1,Brazil,L Agatha,L Cardoso,A Galan,0,0,,,,,,"",""
ball,1,4.2,Brazil,L Agatha,L Cardoso,A Galan,0,0,,,,,,"",""
ball,1,4.3,Brazil,L Agatha,L Cardoso,A Galan,1,0,,,,,,"",""
