version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Nigeria
info,gender,male
info,season,2023/24
info,date,2023/11/26
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,11
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,P Useni
info,umpire,D Odhiambo
info,umpire,S Dambanevana
info,reserve_umpire,L Rusere
info,match_referee,GH Pienaar
info,winner,Nigeria
info,winner_wickets,3
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,K Nassoro
info,player,Tanzania,Akhil Anil
info,player,Tanzania,AM Kimote
info,player,Tanzania,SA Jumbe
info,player,Tanzania,S Thakor
info,player,Tanzania,HA Chohan
info,player,Tanzania,YM Nkanya
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,D Ajekun
info,player,Nigeria,A Shreshta
info,player,Nigeria,JO Adedeji
info,player,Nigeria,I Danladi
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Useni
info,player,Nigeria,IO Okpe
info,player,Nigeria,SA Okpe
info,player,Nigeria,P Aho
info,player,Nigeria,Mohameed Taiwo
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,D Ajekun,2494ff9e
info,registry,people,D Odhiambo,45994517
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HA Chohan,847b4bdd
info,registry,people,I Danladi,c156cc1f
info,registry,people,II Selemani,b2dadc51
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JO Adedeji,abee08c7
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,L Rusere,6a4734ae
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,P Aho,2e392afa
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,YM Nkanya,9238dd92
ball,1,0.1,Tanzania,AR Patwa,II Selemani,P Aho,0,0,,,,,,"",""
ball,1,0.2,Tanzania,AR Patwa,II Selemani,P Aho,4,0,,,,,,"",""
ball,1,0.3,Tanzania,AR Patwa,II Selemani,P Aho,0,0,,,,,,"",""
ball,1,0.4,Tanzania,AR Patwa,II Selemani,P Aho,4,0,,,,,,"",""
ball,1,0.5,Tanzania,AR Patwa,II Selemani,P Aho,1,0,,,,,,"",""
ball,1,0.6,Tanzania,II Selemani,AR Patwa,P Aho,0,0,,,,,,"",""
ball,1,1.1,Tanzania,AR Patwa,II Selemani,P Useni,1,0,,,,,,"",""
ball,1,1.2,Tanzania,II Selemani,AR Patwa,P Useni,0,0,,,,,,"",""
ball,1,1.3,Tanzania,II Selemani,AR Patwa,P Useni,0,0,,,,,,"",""
ball,1,1.4,Tanzania,II Selemani,AR Patwa,P Useni,1,0,,,,,,"",""
ball,1,1.5,Tanzania,AR Patwa,II Selemani,P Useni,1,0,,,,,,"",""
ball,1,1.6,Tanzania,II Selemani,AR Patwa,P Useni,0,0,,,,,,"",""
ball,1,2.1,Tanzania,AR Patwa,II Selemani,P Aho,4,0,,,,,,"",""
ball,1,2.2,Tanzania,AR Patwa,II Selemani,P Aho,2,0,,,,,,"",""
ball,1,2.3,Tanzania,AR Patwa,II Selemani,P Aho,0,0,,,,,,"",""
ball,1,2.4,Tanzania,AR Patwa,II Selemani,P Aho,1,0,,,,,,"",""
ball,1,2.5,Tanzania,II Selemani,AR Patwa,P Aho,0,0,,,,,,"",""
ball,1,2.6,Tanzania,II Selemani,AR Patwa,P Aho,0,0,,,,,,"",""
ball,1,3.1,Tanzania,AR Patwa,II Selemani,P Useni,1,0,,,,,,"",""
ball,1,3.2,Tanzania,II Selemani,AR Patwa,P Useni,2,0,,,,,,"",""
ball,1,3.3,Tanzania,II Selemani,AR Patwa,P Useni,1,0,,,,,,"",""
ball,1,3.4,Tanzania,AR Patwa,II Selemani,P Useni,0,0,,,,,,"",""
ball,1,3.5,Tanzania,AR Patwa,II Selemani,P Useni,4,0,,,,,,"",""
ball,1,3.6,Tanzania,AR Patwa,II Selemani,P Useni,0,0,,,,,,"",""
ball,1,4.1,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,4.2,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,6,0,,,,,,"",""
ball,1,4.3,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,4.4,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,4,0,,,,,,"",""
ball,1,4.5,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,4.6,Tanzania,II Selemani,AR Patwa,Mohameed Taiwo,0,0,,,,,,"",""
ball,1,5.1,Tanzania,AR Patwa,II Selemani,IO Okpe,1,0,,,,,,"",""
