version,1.7.0
info,balls_per_over,6
info,team,Oman
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2023/11/02
info,event,ICC Men's T20 World Cup Asia Qualifier Final
info,match_number,9
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Shakeel Ahmed
info,umpire,LE Hannibal
info,umpire,Rashid Riaz
info,reserve_umpire,Gazi Sohel
info,match_referee,Ali Naqvi
info,winner,Oman
info,winner_runs,5
info,player,Oman,KH Prajapati
info,player,Oman,PS Athavale
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Shoaib Khan
info,player,Oman,Ayan Khan
info,player,Oman,Mehran Khan
info,player,Oman,Naseem Khushi
info,player,Oman,Shakeel Ahmed
info,player,Oman,Kaleemullah
info,player,Oman,Bilal Khan
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Sompal Kami
info,player,Nepal,Kushal Malla
info,player,Nepal,RK Paudel
info,player,Nepal,S Jora
info,player,Nepal,Gulsan Jha
info,player,Nepal,B Yadav
info,player,Nepal,S Lamichhane
info,player,Nepal,Karan KC
info,player,Nepal,A Bohara
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,B Yadav,ef07f354
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,Mehran Khan,d7bfcc0b
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,PS Athavale,c2f12310
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,S Jora,156378d8
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Oman,KH Prajapati,PS Athavale,Karan KC,4,0,,,,,,"",""
ball,1,0.2,Oman,KH Prajapati,PS Athavale,Karan KC,0,0,,,,,,"",""
ball,1,0.3,Oman,KH Prajapati,PS Athavale,Karan KC,0,0,,,,,,"",""
ball,1,0.4,Oman,KH Prajapati,PS Athavale,Karan KC,4,0,,,,,,"",""
ball,1,0.5,Oman,KH Prajapati,PS Athavale,Karan KC,0,0,,,,,,caught,KH Prajapati
ball,1,0.6,Oman,Aqib Ilyas,PS Athavale,Karan KC,0,0,,,,,,"",""
ball,1,1.1,Oman,PS Athavale,Aqib Ilyas,Sompal Kami,0,0,,,,,,"",""
ball,1,1.2,Oman,PS Athavale,Aqib Ilyas,Sompal Kami,1,0,,,,,,"",""
ball,1,1.3,Oman,Aqib Ilyas,PS Athavale,Sompal Kami,0,0,,,,,,"",""
ball,1,1.4,Oman,Aqib Ilyas,PS Athavale,Sompal Kami,0,0,,,,,,"",""
ball,1,1.5,Oman,Aqib Ilyas,PS Athavale,Sompal Kami,1,0,,,,,,"",""
ball,1,1.6,Oman,PS Athavale,Aqib Ilyas,Sompal Kami,1,0,,,,,,"",""
ball,1,2.1,Oman,PS Athavale,Aqib Ilyas,Karan KC,0,0,,,,,,"",""
ball,1,2.2,Oman,PS Athavale,Aqib Ilyas,Karan KC,1,0,,,,,,"",""
ball,1,2.3,Oman,Aqib Ilyas,PS Athavale,Karan KC,1,0,,,,,,"",""
ball,1,2.4,Oman,PS Athavale,Aqib Ilyas,Karan KC,2,0,,,,,,"",""
ball,1,2.5,Oman,PS Athavale,Aqib Ilyas,Karan KC,6,0,,,,,,"",""
ball,1,2.6,Oman,PS Athavale,Aqib Ilyas,Karan KC,0,0,,,,,,"",""
ball,1,3.1,Oman,Aqib Ilyas,PS Athavale,Sompal Kami,0,0,,,,,,bowled,Aqib Ilyas
ball,1,3.2,Oman,Zeeshan Maqsood,PS Athavale,Sompal Kami,1,0,,,,,,"",""
ball,1,3.3,Oman,PS Athavale,Zeeshan Maqsood,Sompal Kami,2,0,,,,,,"",""
ball,1,3.4,Oman,PS Athavale,Zeeshan Maqsood,Sompal Kami,0,0,,,,,,"",""
ball,1,3.5,Oman,PS Athavale,Zeeshan Maqsood,Sompal Kami,0,0,,,,,,"",""
