version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Vanuatu
info,gender,male
info,season,2023/24
info,date,2024/03/06
info,event,Malaysia Open T20 Championship
info,match_number,4
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Virandeep Singh
info,umpire,Sarika Prasad
info,umpire,Tabarak Dar
info,reserve_umpire,Nasir Ali
info,tv_umpire,V Kalidas
info,match_referee,Edwin Seah
info,winner,Malaysia
info,winner_runs,52
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Muhammad Wafiq
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Fitri Sham
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,JD Allan
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,W Wotu
info,player,Vanuatu,J Rasu
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,R Tari
info,player,Vanuatu,AL Stephen
info,player,Vanuatu,J Vira
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,TL Cutler
info,registry,people,AL Stephen,49f6d023
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Edwin Seah,be24f868
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,J Rasu,1021b6e5
info,registry,people,J Vira,2090e94d
info,registry,people,JD Allan,3758028b
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,N Nipiko,c498c510
info,registry,people,Nasir Ali,567675c8
info,registry,people,PK Matautaava,af19aa66
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Tari,c4d19735
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Syed Aziz,6667067e
info,registry,people,TL Cutler,384fa385
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,AL Stephen,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Zubaidi Zulkifle,Virandeep Singh,AL Stephen,0,0,,,,,,caught,Zubaidi Zulkifle
ball,1,0.3,Malaysia,S Muniandy,Virandeep Singh,AL Stephen,1,0,,,,,,"",""
ball,1,0.4,Malaysia,Virandeep Singh,S Muniandy,AL Stephen,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Virandeep Singh,S Muniandy,AL Stephen,0,1,,1,,,,"",""
ball,1,0.6,Malaysia,Virandeep Singh,S Muniandy,AL Stephen,4,0,,,,,,"",""
ball,1,0.7,Malaysia,Virandeep Singh,S Muniandy,AL Stephen,0,0,,,,,,"",""
ball,1,1.1,Malaysia,S Muniandy,Virandeep Singh,TL Cutler,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,1,0,,,,,,"",""
ball,1,1.3,Malaysia,S Muniandy,Virandeep Singh,TL Cutler,1,0,,,,,,"",""
ball,1,1.4,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,1,0,,,,,,"",""
ball,1,2.1,Malaysia,Virandeep Singh,S Muniandy,J Rasu,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Virandeep Singh,S Muniandy,J Rasu,1,0,,,,,,"",""
ball,1,2.3,Malaysia,S Muniandy,Virandeep Singh,J Rasu,0,0,,,,,,"",""
ball,1,2.4,Malaysia,S Muniandy,Virandeep Singh,J Rasu,2,0,,,,,,"",""
ball,1,2.5,Malaysia,S Muniandy,Virandeep Singh,J Rasu,0,0,,,,,,"",""
ball,1,2.6,Malaysia,S Muniandy,Virandeep Singh,J Rasu,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,1,0,,,,,,"",""
ball,1,3.2,Malaysia,S Muniandy,Virandeep Singh,TL Cutler,1,0,,,,,,"",""
ball,1,3.3,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,4,0,,,,,,"",""
ball,1,3.5,Malaysia,Virandeep Singh,S Muniandy,TL Cutler,4,0,,,,,,"",""
