version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Kuwait
info,gender,male
info,season,2023
info,date,2023/09/16
info,event,Gulf Cricket T20I Championship
info,match_number,4
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Meet Bhavsar
info,umpire,Mohammad Nasim
info,umpire,Shiju Sam
info,reserve_umpire,Furqan Dawood Sange
info,tv_umpire,Azad KR
info,match_referee,Shivani Mishra
info,winner,Kuwait
info,winner_wickets,8
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Imran Ali Butt
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Mohsin Zaki
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Ahsan ul Haq
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Parvindar Kumar
info,player,Kuwait,Shahrukh Quddus
info,player,Kuwait,Sayed Monib
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ahsan ul Haq,877ab296
info,registry,people,Ali Dawood,596982e6
info,registry,people,Azad KR,d620b86a
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Furqan Dawood Sange,a46ccefa
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Ali Butt,5d60560f
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,Mohsin Zaki,09c766ec
info,registry,people,Parvindar Kumar,7a27bee5
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,1,1,,,,,"",""
ball,1,0.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.5,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.6,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,0.7,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,1.1,Bahrain,Imran Ali Butt,Umer Imtiaz,Parvindar Kumar,0,1,1,,,,,"",""
ball,1,1.2,Bahrain,Imran Ali Butt,Umer Imtiaz,Parvindar Kumar,1,0,,,,,,"",""
ball,1,1.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Parvindar Kumar,6,0,,,,,,"",""
ball,1,1.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Parvindar Kumar,0,0,,,,,,"",""
ball,1,1.5,Bahrain,Umer Imtiaz,Imran Ali Butt,Parvindar Kumar,1,0,,,,,,"",""
ball,1,1.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Parvindar Kumar,6,0,,,,,,"",""
ball,1,1.7,Bahrain,Imran Ali Butt,Umer Imtiaz,Parvindar Kumar,1,0,,,,,,"",""
ball,1,2.1,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,4,0,,,,,,"",""
ball,1,2.2,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,2.3,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,2.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,2,0,,,,,,"",""
ball,1,2.5,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,2.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,3.1,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,0,0,,,,,,"",""
ball,1,3.2,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,0,0,,,,,,"",""
ball,1,3.3,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,0,0,,,,,,"",""
ball,1,3.4,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,0,0,,,,,,"",""
ball,1,3.5,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,2,0,,,,,,"",""
ball,1,3.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Yasin Patel,0,0,,,,,,"",""
ball,1,4.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,1,1,,,,,"",""
ball,1,4.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,4.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,4.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,4.5,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,2,0,,,,,,"",""
ball,1,4.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,4.7,Bahrain,Umer Imtiaz,Imran Ali Butt,Shahrukh Quddus,0,1,,,,1,,"",""
ball,1,5.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,0,0,,,,,,"",""
ball,1,5.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,0,0,,,,,,"",""
ball,1,5.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,0,0,,,,,,"",""
ball,1,5.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,4,0,,,,,,"",""
ball,1,5.5,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,2,0,,,,,,"",""
ball,1,5.6,Bahrain,Umer Imtiaz,Imran Ali Butt,Yasin Patel,0,0,,,,,,"",""
ball,1,6.1,Bahrain,Imran Ali Butt,Umer Imtiaz,Shiraz Khan,0,0,,,,,,"",""
ball,1,6.2,Bahrain,Imran Ali Butt,Umer Imtiaz,Shiraz Khan,0,0,,,,,,caught,Imran Ali Butt
