version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,United Arab Emirates
info,gender,male
info,season,2024
info,date,2024/04/12
info,event,ACC Men's Premier Cup
info,match_number,2
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,A Sharafu
info,umpire,Morshed Ali Khan
info,umpire,Rahul Asher
info,reserve_umpire,Vinod Babu
info,tv_umpire,V Kalidas
info,match_referee,Selim Shahid
info,winner,United Arab Emirates
info,winner_wickets,7
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Yasin Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Ilyas Ahmed
info,player,Kuwait,Shahrukh Quddus
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,T Suri
info,player,United Arab Emirates,V Sukumaran
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Muhammad Farooq
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Akif Raja
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Akif Raja,9d0344f3
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,Basil Hameed,adbf0400
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Muhammad Farooq,8f3c6b8a
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Selim Shahid,b478bce3
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,T Suri,a76d4082
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,V Sukumaran,5eb51b97
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.2,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,0,1,1,,,,,"",""
ball,1,0.3,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.4,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.5,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,1,0,,,,,,"",""
ball,1,0.6,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.7,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,0,0,,,,,,"",""
ball,1,1.1,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,1.2,Kuwait,CV Anto,R Sandaruwan,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,1.3,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.4,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.5,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.6,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,2.1,Kuwait,R Sandaruwan,CV Anto,Junaid Siddique,0,1,,,,1,,"",""
ball,1,2.2,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,6,0,,,,,,"",""
ball,1,2.3,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.4,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,6,0,,,,,,"",""
ball,1,2.5,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,4,0,,,,,,"",""
ball,1,2.6,Kuwait,CV Anto,R Sandaruwan,Junaid Siddique,4,0,,,,,,"",""
ball,1,3.1,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,3.2,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,6,0,,,,,,"",""
ball,1,3.3,Kuwait,R Sandaruwan,CV Anto,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,3.4,Kuwait,CV Anto,R Sandaruwan,Aayan Afzal Khan,2,0,,,,,,"",""
ball,1,3.5,Kuwait,CV Anto,R Sandaruwan,Aayan Afzal Khan,0,0,,,,,,"",""
