version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,male
info,season,2025
info,date,2025/04/12
info,event,Quadrangular Twenty20 Series (Hong Kong)
info,match_number,6
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Nepal
info,toss_decision,field
info,umpire,SJ D'Cruz
info,umpire,Tabarak Dar
info,reserve_umpire,H Tukrul
info,match_referee,G Sankaranarayanan
info,outcome,no result
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Kalhan Challu
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Waqas Barkat
info,player,Nepal,RK Paudel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,K Bhurtel
info,player,Nepal,DS Airee
info,player,Nepal,Basir Ahamad
info,player,Nepal,Kushal Malla
info,player,Nepal,Sompal Kami
info,player,Nepal,Gulsan Jha
info,player,Nepal,R Dhakal
info,player,Nepal,LN Rajbanshi
info,player,Nepal,NK Yadav
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Basir Ahamad,218c7eab
info,registry,people,DS Airee,1747ea18
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Tukrul,a2880cb1
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Kalhan Challu,cc6b0cda
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,NK Yadav,737e595d
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Dhakal,8399a7af
info,registry,people,RK Paudel,1a3cc554
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Waqas Barkat,a2eac9df
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,0,0,,,,,,"",""
ball,1,0.2,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,2,0,,,,,,"",""
ball,1,0.3,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,1,0,,,,,,"",""
ball,1,0.4,Hong Kong,Anshuman Rath,Zeeshan Ali,R Dhakal,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,Anshuman Rath,Zeeshan Ali,R Dhakal,0,1,,,,1,,"",""
ball,1,0.6,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,0,0,,,,,,"",""
ball,1,1.1,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,0,,,,,,"",""
ball,1,1.2,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,1,1,,,,,"",""
ball,1,1.3,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,0,,,,,,"",""
ball,1,1.4,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,4,0,,,,,,"",""
ball,1,1.5,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,1,1,,,,,"",""
ball,1,1.6,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,0,,,,,,"",""
ball,1,1.7,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,1,1,,,,,"",""
ball,1,1.8,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,0,0,,,,,,"",""
ball,1,1.9,Hong Kong,Anshuman Rath,Zeeshan Ali,Sompal Kami,2,0,,,,,,"",""
ball,1,2.1,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,0,0,,,,,,"",""
ball,1,2.2,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,4,0,,,,,,"",""
ball,1,2.3,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,4,0,,,,,,"",""
ball,1,2.4,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,0,0,,,,,,"",""
ball,1,2.5,Hong Kong,Zeeshan Ali,Anshuman Rath,R Dhakal,0,1,,,,1,,"",""
ball,1,2.6,Hong Kong,Anshuman Rath,Zeeshan Ali,R Dhakal,4,0,,,,,,"",""
ball,1,3.1,Hong Kong,Zeeshan Ali,Anshuman Rath,NK Yadav,1,0,,,,,,"",""
ball,1,3.2,Hong Kong,Anshuman Rath,Zeeshan Ali,NK Yadav,1,0,,,,,,"",""
ball,1,3.3,Hong Kong,Zeeshan Ali,Anshuman Rath,NK Yadav,0,1,1,,,,,"",""
ball,1,3.4,Hong Kong,Zeeshan Ali,Anshuman Rath,NK Yadav,1,0,,,,,,"",""
ball,1,3.5,Hong Kong,Anshuman Rath,Zeeshan Ali,NK Yadav,6,0,,,,,,"",""
ball,1,3.6,Hong Kong,Anshuman Rath,Zeeshan Ali,NK Yadav,0,0,,,,,,caught,Anshuman Rath
ball,1,3.7,Hong Kong,Nizakat Khan,Zeeshan Ali,NK Yadav,0,0,,,,,,"",""
ball,1,4.1,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,1,0,,,,,,"",""
ball,1,4.2,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,6,0,,,,,,"",""
ball,1,4.3,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,0,0,,,,,,"",""
ball,1,4.4,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,0,0,,,,,,"",""
ball,1,4.5,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,1,0,,,,,,"",""
ball,1,4.6,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,1,0,,,,,,"",""
ball,1,5.1,Hong Kong,Zeeshan Ali,Nizakat Khan,NK Yadav,6,0,,,,,,"",""
ball,1,5.2,Hong Kong,Zeeshan Ali,Nizakat Khan,NK Yadav,1,0,,,,,,"",""
ball,1,5.3,Hong Kong,Nizakat Khan,Zeeshan Ali,NK Yadav,2,0,,,,,,"",""
ball,1,5.4,Hong Kong,Nizakat Khan,Zeeshan Ali,NK Yadav,0,0,,,,,,"",""
ball,1,5.5,Hong Kong,Nizakat Khan,Zeeshan Ali,NK Yadav,0,0,,,,,,"",""
ball,1,5.6,Hong Kong,Nizakat Khan,Zeeshan Ali,NK Yadav,0,0,,,,,,"",""
ball,1,6.1,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,1,0,,,,,,"",""
ball,1,6.2,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,0,0,,,,,,"",""
ball,1,6.3,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,1,0,,,,,,"",""
ball,1,6.4,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,1,0,,,,,,"",""
ball,1,6.5,Hong Kong,Nizakat Khan,Zeeshan Ali,LN Rajbanshi,1,0,,,,,,"",""
ball,1,6.6,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,4,0,,,,,,"",""
ball,1,7.1,Hong Kong,Nizakat Khan,Zeeshan Ali,K Bhurtel,1,0,,,,,,"",""
ball,1,7.2,Hong Kong,Zeeshan Ali,Nizakat Khan,K Bhurtel,0,0,,,,,,"",""
ball,1,7.3,Hong Kong,Zeeshan Ali,Nizakat Khan,K Bhurtel,1,0,,,,,,"",""
ball,1,7.4,Hong Kong,Nizakat Khan,Zeeshan Ali,K Bhurtel,0,0,,,,,,"",""
ball,1,7.5,Hong Kong,Nizakat Khan,Zeeshan Ali,K Bhurtel,1,0,,,,,,"",""
ball,1,7.6,Hong Kong,Zeeshan Ali,Nizakat Khan,K Bhurtel,1,0,,,,,,"",""
ball,1,8.1,Hong Kong,Zeeshan Ali,Nizakat Khan,LN Rajbanshi,0,0,,,,,,caught,Zeeshan Ali
ball,1,8.2,Hong Kong,Babar Hayat,Nizakat Khan,LN Rajbanshi,1,0,,,,,,"",""
ball,1,8.3,Hong Kong,Nizakat Khan,Babar Hayat,LN Rajbanshi,0,0,,,,,,caught,Nizakat Khan
ball,1,8.4,Hong Kong,Kalhan Challu,Babar Hayat,LN Rajbanshi,1,0,,,,,,"",""
ball,1,8.5,Hong Kong,Babar Hayat,Kalhan Challu,LN Rajbanshi,0,0,,,,,,"",""
ball,1,8.6,Hong Kong,Babar Hayat,Kalhan Challu,LN Rajbanshi,0,0,,,,,,"",""
